"","X.1","X","Tract","Total.Population","Pop.per.10000","Acute.Bronchitis...Bronchiolitis","Alzheimers.Disease","Anemias","Aortic.Aneurysm...Dissection","Appendix.Diseases","Atherosclerosis","Cerebrovascular.Diseases","Cholelithiasis...Other.Gallbladder.Disorders","Chronic.Liver.Disease...Cirrhosis","Chronic.Lower.Respiratory.Disease","Congenital.Malformations","Diabetes.Mellitus","Essen.Hypertension...Hypertensive.Renal.Dis","Female.Pelvic.Organs.Inflammatory.Diseases","Heart.Diseases","Hernia","Homicide","Hyperplasia.of.Prostate","In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms","Influenza...Pneumonia","Kidney.Infections","Legal.Intervention","Malaria","Malignant.Neoplasm.or.Cancer","Medical...Surgical.Care.Complications","Meningitis","Meningococcal.Infection","Nephritis..Nephrotic.Syndrome..Nephrosis","Nutritional.Deficiencies","Other.Non.rankable.Cause.of.Death","Parkinsons.Disease","Peptic.Ulcer","Perinatal.Period.Conditions","Pneumoconiosis...Chemical.Effects","Pneumonitis.Due.To.Solids...Liquids","Pregnancy..Childbirth.and.the.Puerperium","Salmonella.Infections","Septicemia","Syphilis","Tuberculosis","Unintentional.Injury","Viral.Hepatitis","County"
"1",1,1,12001000200,6834,0.6834,3,3,3,3,3,3,3724,3,2052,50,3,2910,117,3,1880,3,3,3,205,1279,3,3,3,2221,3,3,3,75,3,1512,3,3,202,3,234,3,3,95,3,3,1058,217,"010"
"2",2,2,12001000301,3849,0.3849,3,1343,3,3,3,714,1287,3,282,856,3,3348,3,3,2665,3,1730,3,3,2190,3,3,3,2501,559,3,3,2244,3,2559,3,707,795,3,969,3,3,2083,3,3,276,828,"010"
"3",3,3,12001000302,2374,0.2374,3,3424,3,3,3,3,1323,804,3078,3647,561,1923,1822,3,3238,3,3,3,3,572,3,3,3,1053,3,3,3,1941,3,46,2794,3,1635,3,3,3,3,2919,3,3,2753,1259,"010"
"4",4,4,12001000400,5996,0.5996,3,2065,929,349,3,3,984,3,2245,27,1538,2003,2063,3,3082,3,1238,3,1332,3,3,3,3,3888,3,3,3,1674,3,3724,3,3,1034,3,1284,3,3,2013,3,3,308,3,"010"
"5",5,5,12001000500,5202,0.5202,3,578,451,3,3,1016,858,3,701,952,3,2894,3,3,2854,3,1397,3,3,3244,3,3,3,3616,354,3,3,185,3,2835,291,290,1174,3,3,3,3,2776,3,3,1421,475,"010"
"6",6,6,12001000600,4689,0.4689,3,3,557,655,3,3,1811,3,1123,746,1602,1113,936,3,3264,3,3,3,784,2528,3,3,3,963,3,3,3,3121,3,3948,3,3,1520,3,1607,178,3,373,3,3,255,604,"010"
"7",7,7,12001000700,6212,0.6212,3,3033,299,1126,3,3,2379,3,633,1532,3,2357,761,3,4047,167,2073,3,3,3257,3,3,3,1011,677,3,3,904,3,556,166,3,1357,3,1752,115,3,3120,3,3,438,295,"010"
"8",8,8,12001000806,2043,0.2043,3,2579,3,3,3,3,3,3,3,3854,1411,3702,3,3,3751,3,3,3,1828,2091,3,3,3,2387,3,3,3,2143,3,3871,3,3,3,3,3,3,3,3,3,3,455,1352,"010"
"9",9,9,12001000808,3466,0.3466,3,3,807,3,3,3,3197,3,3,504,3,1525,3,3,1876,3,1836,3,3,3,3,3,3,1073,619,88,3,1358,3,1048,3,3,1469,3,3,3,3,2274,3,3,3758,3,"010"
"10",10,10,12001000809,1215,0.1215,3,1729,3,3,3,3,754,3,3,3391,3,3417,3,3,199,3,3,3,3,2994,3,3,3,3487,3,3,3,3049,3,1038,3,3,3,3,2235,3,3,793,3,3,3251,3,"010"
"11",11,11,12001000901,5093,0.5093,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,3,"010"
"12",12,12,12001000902,6634,0.6634,3,3,3,3,3,3,3,3,3,3,255,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"010"
"13",13,13,12001001000,5777,0.5777,3,133,3,3,3,308,439,3,3,3274,3,3166,204,3,2527,3,3,3,3,157,3,3,3,3001,3,3,3,134,3,1742,525,3,334,3,3,3,3,175,3,3,358,3,"010"
"14",14,14,12001001100,6952,0.6952,3,874,3,221,3,1084,3008,3,640,1073,217,85,2285,3,317,3,3,3,1670,2758,3,3,3,222,3,3,3,1355,162,652,329,3,903,3,221,3,3,2666,3,3,1586,3,"010"
"15",15,15,12001001201,3531,0.3531,3,664,3,3,3,3,812,3,1347,475,957,3,2256,3,2716,3,1014,3,1994,2332,3,3,3,3388,3,3,3,3,3,2058,1207,3,1461,3,3,3,3,2938,3,3,1026,3,"010"
"16",16,16,12001001202,6898,0.6898,3,1385,3,226,3,3,3716,156,3134,916,227,2901,1866,3,2852,3,3,3,1678,79,3,3,3,3666,185,3,3,1981,3,3078,1875,3,1472,3,3,3,3,1822,3,3,1748,213,"010"
"17",17,17,12001001203,3481,0.3481,3,2835,3,3,3,3,498,3,1363,183,973,2891,1224,3,3314,3,3,3,2010,1256,3,3,3,3976,3,3,3,3,3,3655,3,3,3,3,1098,3,3,2266,3,3,2905,3,"010"
"18",18,18,12001001400,4389,0.4389,3,3108,3,3,3,3,3800,3,2096,420,714,1595,1924,3,2294,3,787,3,3,3,3,3,3,2621,3,3,3,2038,3,1855,1938,3,3,3,3,3,3,3,3,3,848,3,"010"
"19",19,19,12001001514,1549,0.1549,3,3,3,3,3,3,3,3,636,3234,3,1367,3,3,2867,3,3,3,2130,2545,3,3,3,1720,3,3,3,2594,3,1268,3,3,1525,3,3,3,3,3,3,3,3,3,"010"
"20",20,20,12001001515,5174,0.5174,3,71,3,3,3,3,9,3,200,193,3,650,274,3,294,3,3,3,3,2366,3,3,3,2112,3,3,3,1814,3,1170,3,3,3,3,3,3,3,3,3,3,138,484,"010"
"21",21,21,12001001516,2005,0.2005,3,3,3,3,3,3,2855,3,2228,3,3,2684,3,3,1028,3,3,3,3,3,3,3,3,1075,3,3,3,3,3,3781,3,696,1383,3,3,3,3,3,3,3,2894,3,"010"
"22",22,22,12001001517,5435,0.5435,3,62,3,3,3,3,3576,3,2383,3468,3,3256,246,3,1886,3,389,3,3,1689,3,3,3,2243,3,3,3,1763,3,2006,3,3,1450,3,1407,3,3,215,3,3,669,432,"010"
"23",23,23,12001001519,2742,0.2742,3,3,3,3,3,3,3,3,1790,3,3,3,3,3,3186,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3095,3,3,3,3,3,3,3,3,3,3,3635,3,"010"
"24",24,24,12001001520,2282,0.2282,3,3,3,3,3,3,887,3,2048,360,1335,583,586,3,2265,3,1545,132,3,3,3,3,3,1877,3,3,3,3,3,3103,599,3,523,3,3,3,3,2982,3,3,290,1288,"010"
"25",25,25,12001001521,4431,0.4431,3,1301,3,3,3,3,3449,3,1162,3,1354,288,3,3,2054,3,3,3,3,3,3,3,3,2295,3,3,3,1164,3,754,3,3,654,3,3,3,3,973,3,3,3532,3,"010"
"26",26,26,12001001603,1493,0.1493,3,568,3,1744,3,3,403,3,2674,3,3,625,1274,3,2529,3,3,3,3,3,3,3,3,21,863,3,3,2661,3,2107,3,3,3,3,3,3,3,3,3,3,316,3,"010"
"27",27,27,12001001604,8042,0.8042,3,2988,122,3,3,3,421,3,2223,422,3,268,1078,3,2793,69,3,3,959,1700,3,3,3,2460,3,3,3,1243,3,2834,1041,3,753,3,120,3,3,38,3,3,758,107,"010"
"28",28,28,12001001701,5944,0.5944,3,1858,3,358,3,3,3033,3,1695,888,1425,369,605,3,1476,3,3,3,1348,2142,3,3,3,831,278,3,3,218,3,965,769,3,308,3,341,3,3,2027,3,3,2702,346,"010"
"29",29,29,12001001702,5244,0.5244,3,560,3,3,3,3,2857,3,1836,571,1233,890,1650,3,3567,3,3,3,1512,637,3,3,3,321,342,3,3,2884,330,153,713,3,1168,3,461,3,3,2757,3,3,1821,464,"010"
"30",30,30,12001001801,7718,0.7718,3,2158,144,3,3,3,1110,3,2629,718,1442,929,2489,3,3331,3,3,3,1545,2185,3,3,3,3916,125,3,3,2936,104,4003,1100,3,790,3,966,3,3,2073,3,3,1877,3,"010"
"31",31,31,12001001802,2493,0.2493,3,3356,3,1352,3,3,2043,3,1391,2515,1593,1859,758,3,574,3,3,3,1587,1832,3,3,3,705,771,3,3,3,3,3587,3,640,1210,3,1520,3,3,1706,3,3,3218,1221,"010"
