Tract,Aortic.Aneurysm...Dissection,Cerebrovascular.Diseases,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Heart.Diseases,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Malignant.Neoplasm.or.Cancer,Nephritis..Nephrotic.Syndrome..Nephrosis,Atherosclerosis
12001000200,0,8.78,5.85,1.46,23.41,1.46,33.66,1.46,0
12001000301,0,20.78,7.79,0,51.96,0,49.36,5.2,2.6
12001000302,0,21.06,25.27,4.21,71.61,0,139.01,4.21,0
12001000400,1.67,18.35,26.68,5,66.71,3.34,95.06,3.34,0
12001000500,0,17.3,5.77,0,59.59,0,86.51,1.92,3.84
12001000600,2.13,25.59,17.06,2.13,72.51,2.13,134.36,8.53,0
12001000700,3.22,32.2,32.2,16.1,99.81,0,136.83,16.1,0
12001000806,0,0,9.79,0,9.79,4.89,44.05,4.89,0
12001000808,0,5.77,2.89,0,23.08,0,14.43,2.89,0
12001000809,0,16.46,8.23,0,107,0,82.3,8.23,0
12001000901,0,0,0,0,0,0,0,0,0
12001000902,0,0,0,0,0,0,0,0,0
12001001000,0,13.85,6.92,1.73,46.74,0,67.51,1.73,1.73
12001001100,1.44,44.59,10.07,5.75,110.76,4.32,106.44,2.88,4.32
12001001201,0,16.99,0,5.66,53.81,5.66,79.3,0,0
12001001202,1.45,8.7,5.8,4.35,59.44,4.35,88.43,4.35,0
12001001203,0,14.36,5.75,2.87,74.69,5.75,97.67,0,0
12001001400,0,9.11,20.51,4.56,36.45,0,54.68,4.56,0
12001001514,0,0,19.37,0,6.46,6.46,19.37,6.46,0
12001001515,0,1.93,13.53,1.93,11.6,0,28.99,3.87,0
12001001516,0,4.99,4.99,0,14.96,0,14.96,0,0
12001001517,0,7.36,7.36,1.84,23.92,0,34.96,3.68,0
12001001519,0,0,0,0,7.29,0,10.94,0,0
12001001520,0,17.53,13.15,13.15,35.06,0,21.91,0,0
12001001521,0,6.77,11.28,0,27.08,0,38.37,2.26,0
12001001603,6.7,13.4,13.4,20.09,46.89,0,100.47,6.7,0
12001001604,0,13.68,11.19,2.49,57.2,2.49,47.25,2.49,0
12001001701,1.68,45.42,11.78,13.46,171.6,3.36,129.54,10.09,0
12001001702,0,40.05,15.26,3.81,83.91,3.81,110.6,7.63,0
12001001801,0,19.44,15.55,6.48,75.15,3.89,95.88,7.77,0
12001001802,4.01,28.08,24.07,16.04,120.34,4.01,124.35,0,0
12001001803,1.65,23.04,16.46,16.46,97.1,1.65,121.79,3.29,0
12001001805,0,6.7,20.09,0,20.09,6.7,100.47,13.4,0
12001001806,3.21,26.74,14.98,6.42,70.6,0,90.93,7.49,0
12001001811,1.44,15.79,7.18,4.31,50.24,5.74,61.73,0,0
12001001813,0,24.18,9.07,0,66.49,0,75.55,9.07,0
12001001814,0,6.96,6.96,0,62.65,0,80.06,0,0
12001001902,9.67,32.23,25.78,12.89,64.45,0,77.34,12.89,0
12001001907,7.03,24.61,10.55,10.55,94.94,0,123.07,3.52,3.52
12001001908,2.39,28.63,31.01,4.77,114.5,0,159.83,16.7,0
12001002000,3.33,18.32,18.32,11.66,104.91,5,159.87,8.33,0
12001002101,4.62,27.74,4.62,0,120.2,0,101.71,0,0
