GEOID,Diabetes.Mellitus,College.Educated
12001000200,5.85,37.90
12001000301,7.79,41.30
12001000302,25.27,25.90
12001000400,26.68,18.70
12001000500,5.77,58.60
12001000600,17.06,17.10
12001000700,32.20,14.20
12001000806,9.79,55.30
12001000808,2.89,55.70
12001000809,8.23,47.40
12001000901,0.00,81.90
12001000902,0.00,41.90
12001001000,6.92,69.70
12001001100,10.07,62.40
12001001201,0.00,45.20
12001001202,5.80,40.40
12001001203,5.75,44.60
12001001400,20.51,12.70
12001001514,19.37,49.60
12001001515,13.53,43.30
12001001516,4.99,41.10
12001001517,7.36,59.50
12001001519,0.00,59.30
12001001520,13.15,37.60
12001001521,11.28,29.90
12001001603,13.40,51.40
12001001604,11.19,53.80
12001001701,11.78,44.10
12001001702,15.26,67.20
12001001801,15.55,24.90
12001001802,24.07,22.00
12001001803,16.46,28.70
12001001805,20.09,45.50
12001001806,14.98,25.40
12001001811,7.18,63.50
12001001813,9.07,62.50
12001001814,6.96,57.20
12001001902,25.78,4.40
12001001907,10.55,21.30
12001001908,31.01,20.00
12001002000,18.32,14.20
12001002101,4.62,34.00
12001002102,34.25,33.30
12001002201,4.02,36.50
12001002202,17.22,47.80
12001002204,11.54,56.30
12001002205,7.49,67.20
12001002207,8.85,54.30
12001002208,4.05,60.50
12001002209,10.55,49.00
12001002210,16.07,25.00
12001002217,20.44,21.40
12001002218,8.51,17.30
12001002219,8.64,33.20
12001002220,23.23,35.00
12001110800,24.78,60.70
12003040101,17.24,19.50
12003040102,6.64,11.40
12003040201,13.54,7.40
12003040202,10.60,14.70
12005000201,15.02,11.90
12005000202,22.36,22.10
12005000300,17.52,8.00
12005000400,18.79,10.70
12005000500,24.85,15.80
12005000600,27.08,35.70
12005000700,0.00,46.80
12005000803,16.25,9.20
12005000804,19.11,20.40
12005000805,26.22,11.00
12005000806,17.05,16.50
12005000900,17.59,14.10
12005001000,38.12,8.60
12005001100,32.71,7.60
12005001200,20.02,11.40
12005001301,25.35,35.10
12005001302,22.18,19.60
12005001402,17.82,38.70
12005001403,9.73,19.30
12005001404,13.56,31.90
12005001501,20.99,38.40
12005001502,38.17,29.30
12005001600,46.56,8.70
12005001700,47.12,3.20
12005001800,32.63,9.40
12005001900,16.65,43.60
12005002000,48.68,24.10
12005002200,20.71,14.00
12005002300,20.90,18.20
12005002400,28.49,13.00
12005002500,12.47,34.50
12005002601,8.20,28.80
12005002603,14.54,27.20
12005002604,22.10,23.90
12005002605,53.96,21.60
12005002606,13.40,37.40
12005002607,53.81,21.40
12005002608,14.51,45.90
12005002701,13.31,30.60
12005002702,20.27,27.90
12005002703,29.13,27.20
12005002704,12.80,24.80
12005002705,17.91,30.00
12007000100,26.86,9.00
12007000200,7.04,9.40
12007000300,14.01,16.20
12007000400,18.07,6.00
12009060101,10.71,15.40
12009060102,12.81,20.90
12009060200,13.64,29.20
12009060300,19.86,12.90
12009060400,17.01,14.40
12009060500,17.79,19.30
12009060600,12.93,21.60
12009060700,46.97,7.20
12009061001,18.98,30.00
12009061002,12.02,16.10
12009061100,14.71,32.70
12009061201,13.56,29.10
12009061202,14.65,41.90
12009062103,9.05,23.30
12009062104,11.65,17.20
12009062106,12.44,13.00
12009062107,29.34,22.10
12009062108,8.29,25.90
12009062109,4.54,14.00
12009062301,15.93,7.10
12009062302,32.97,5.30
12009062400,8.49,10.70
12009062500,19.43,15.20
12009062600,18.48,10.10
12009062800,15.24,37.90
12009062900,18.15,21.30
12009063000,4.54,34.10
12009063102,9.45,40.20
12009063104,19.09,33.70
12009063105,19.19,27.30
12009063106,9.79,36.90
12009063107,10.82,46.30
12009064102,12.96,46.60
12009064123,10.02,30.00
12009064124,26.29,24.40
12009064125,10.02,30.50
12009064126,11.52,30.40
12009064127,10.52,38.60
12009064128,10.91,45.20
12009064201,29.07,27.50
12009064202,9.93,22.60
12009064301,11.34,15.10
12009064302,18.86,17.30
12009064400,16.47,21.20
12009064500,18.00,12.80
12009064601,17.16,35.30
12009064602,38.04,19.60
12009064700,24.61,16.30
12009064800,34.73,20.10
12009064901,7.66,44.80
12009064902,16.39,17.70
12009065001,24.71,27.50
12009065021,12.00,28.80
12009065022,7.64,26.70
12009065121,19.09,24.40
12009065122,11.28,22.60
12009065123,31.91,17.20
12009065124,15.14,10.50
12009065125,26.55,32.70
12009065201,36.62,13.00
12009065202,28.53,20.70
12009065231,12.17,28.10
12009065234,17.99,13.20
12009065235,37.92,12.10
12009065236,6.70,29.40
12009066101,4.50,49.10
12009066103,5.14,37.30
12009066104,14.74,43.70
12009066200,7.47,48.10
12009066301,7.44,50.50
12009066302,0.00,51.50
12009066400,8.46,42.50
12009066500,7.95,48.60
12009066600,7.19,43.60
12009066700,6.10,36.60
12009066800,5.79,47.80
12009066900,13.22,41.80
12009067100,0.00,35.90
12009068101,9.78,31.00
12009068102,5.97,50.90
12009068200,3.35,43.70
12009068300,15.11,43.30
12009068400,37.40,39.60
12009068501,34.48,41.20
12009068502,12.57,27.40
12009068601,15.33,28.60
12009068602,17.21,29.00
12009069100,17.38,37.60
12009069200,15.39,27.20
12009069300,6.34,24.30
12009069400,12.46,54.70
12009069700,19.24,20.50
12009069801,2.78,37.20
12009069802,18.87,17.00
12009069901,8.98,40.20
12009069902,27.02,23.70
12009071100,17.00,31.10
12009071200,13.02,36.40
12009071301,6.07,39.60
12009071322,14.59,14.30
12009071332,16.33,17.20
12009071334,6.87,18.10
12009071335,15.50,31.50
12009071336,20.03,14.10
12009071337,10.10,18.80
12009071338,11.18,13.00
12009071339,10.02,18.00
12009071340,8.15,19.70
12009071400,20.75,22.40
12009071500,25.75,41.30
12009071600,23.84,29.60
12011010102,3.37,36.40
12011010103,9.84,42.40
12011010104,4.64,46.00
12011010200,14.45,23.70
12011010304,23.04,11.90
12011010305,11.38,23.10
12011010306,11.49,16.60
12011010307,24.41,10.70
12011010308,12.17,34.00
12011010401,9.97,28.90
12011010402,28.50,21.40
12011010403,23.53,31.50
12011010405,4.17,27.90
12011010406,7.19,32.30
12011010407,11.52,33.80
12011010502,0.00,45.50
12011010503,1.98,62.70
12011010504,1.45,55.10
12011010601,6.56,58.00
12011010603,3.54,44.60
12011010604,2.11,45.20
12011010605,4.11,56.10
12011010606,1.31,42.20
12011010607,2.85,26.90
12011010609,7.11,43.10
12011010610,2.97,22.80
12011010611,2.31,43.50
12011010612,1.64,55.60
12011010701,9.51,10.40
12011010702,12.05,13.30
12011010800,5.12,13.20
12011010901,11.62,47.00
12011010902,0.00,44.60
12011011000,6.83,57.40
12011020101,7.17,20.40
12011020103,6.81,20.80
12011020104,6.93,32.80
12011020204,7.00,28.20
12011020205,6.27,32.30
12011020206,10.91,13.30
12011020207,15.45,17.40
12011020209,11.38,16.20
12011020210,10.23,15.80
12011020211,15.16,18.20
12011020212,21.90,23.60
12011020302,6.76,27.00
12011020308,1.56,28.20
12011020309,4.78,35.40
12011020311,12.29,27.10
12011020312,5.56,34.50
12011020313,4.72,36.00
12011020314,7.58,24.00
12011020315,5.73,35.30
12011020316,5.10,36.60
12011020317,5.93,39.50
12011020318,2.13,46.80
12011020319,6.16,34.20
12011020320,3.72,44.30
12011020321,0.00,53.10
12011020322,0.00,43.50
12011020323,5.27,22.90
12011020324,9.29,29.30
12011020325,6.30,26.50
12011020326,9.00,22.60
12011020404,4.64,17.30
12011020405,3.98,7.00
12011020406,19.00,22.60
12011020407,14.45,15.50
12011020409,26.86,29.20
12011020411,6.67,37.60
12011020412,2.83,7.20
12011020413,5.30,13.30
12011020414,25.26,29.70
12011020415,9.18,30.30
12011020501,8.67,11.60
12011020502,4.09,14.50
12011030100,2.18,49.70
12011030201,21.31,19.50
12011030202,12.44,14.70
12011030203,4.35,10.20
12011030301,3.10,11.00
12011030302,9.30,11.10
12011030401,15.73,16.70
12011030402,23.76,9.10
12011030500,12.86,10.70
12011030600,7.19,6.70
12011030702,2.93,32.50
12011030703,13.90,30.70
12011030704,5.89,35.80
12011030705,23.19,36.90
12011030801,11.26,13.10
12011030802,11.92,30.50
12011030902,6.62,37.20
12011030903,2.38,23.40
12011030904,8.98,34.90
12011031001,12.90,18.90
12011031002,13.82,21.90
12011031101,0.00,38.80
12011031102,3.08,35.00
12011031202,15.05,47.60
12011031203,10.18,43.50
12011031204,18.51,43.50
12011031205,6.56,50.30
12011040101,6.69,38.70
12011040102,7.02,53.60
12011040203,0.00,45.20
12011040204,20.13,55.70
12011040205,9.14,39.40
12011040206,8.73,45.80
12011040300,15.84,28.70
12011040401,17.35,49.50
12011040402,6.95,59.20
12011040502,16.68,65.40
12011040503,19.17,46.10
12011040504,19.91,57.60
12011040601,5.79,59.40
12011040602,6.83,57.20
12011040701,20.10,43.90
12011040702,13.86,44.00
12011040801,8.75,13.00
12011040802,8.62,37.90
12011040901,25.85,7.00
12011040902,15.54,9.80
12011041000,14.79,11.00
12011041100,27.25,9.00
12011041200,29.81,8.20
12011041300,23.36,17.80
12011041400,8.96,7.10
12011041500,25.30,1.50
12011041600,6.39,21.20
12011041700,20.34,6.50
12011041801,10.72,66.80
12011041802,11.80,47.50
12011041900,0.00,60.80
12011042000,3.20,62.60
12011042100,13.71,54.50
12011042200,0.00,62.50
12011042301,2.85,44.10
12011042302,39.15,27.30
12011042400,7.23,60.30
12011042500,2.97,52.40
12011042600,8.47,47.60
12011042700,15.66,29.30
12011042800,10.15,8.20
12011042900,10.42,13.50
12011043001,0.00,43.10
12011043002,11.44,18.40
12011043100,12.67,29.00
12011043301,5.86,45.30
12011043302,4.39,13.70
12011050100,6.38,11.70
12011050204,8.62,31.80
12011050205,10.88,48.30
12011050206,11.38,43.50
12011050207,19.57,28.10
12011050208,8.29,13.20
12011050301,3.17,16.30
12011050306,4.81,7.20
12011050307,16.61,10.90
12011050308,20.20,10.20
12011050309,4.58,6.90
12011050310,29.54,15.60
12011050311,21.09,22.00
12011050312,23.43,15.80
12011050401,4.72,40.20
12011050402,7.05,22.70
12011050501,2.55,26.00
12011050502,6.04,16.30
12011050601,0.00,38.40
12011050602,5.61,30.80
12011050701,12.98,16.30
12011050702,5.16,13.30
12011050800,21.59,14.90
12011050900,16.37,36.30
12011051001,8.64,45.40
12011051002,10.51,59.90
12011060105,7.37,31.70
12011060107,18.00,23.90
