,MSPB,FacilityID,Name,County
1474,1.155087,100053,HIALEAH HOSPITAL,Miami-Dade
2660,1.141556,100187,PALMETTO GENERAL HOSPITAL,Miami-Dade
2421,1.133491,100029,NORTH SHORE MEDICAL CENTER,Miami-Dade
197,1.130458,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,Broward
0,1.1103180000000001,100183,CORAL GABLES HOSPITAL,Miami-Dade
2388,1.110135,100288,ST MARY'S MEDICAL CENTER,Palm Beach
1510,1.10895,100258,DELRAY MEDICAL CENTER,Palm Beach
1061,1.10283,100248,LARGO MEDICAL CENTER,Pinellas
2175,1.099258,100284,WESTCHESTER GENERAL HOSPITAL,Miami-Dade
867,1.094272,100180,ST PETERSBURG GENERAL HOSPITAL,Pinellas
2998,1.084905,100287,GOOD SAMARITAN MEDICAL CENTER,Palm Beach
2972,1.080482,100238,NORTHSIDE HOSPITAL,Pinellas
918,1.07949,100242,GULF COAST REGIONAL MEDICAL CENTER,Bay
872,1.0788440000000001,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,St. Lucie
2454,1.077755,100166,DOCTORS HOSPITAL OF SARASOTA,Sarasota
1010,1.0736700000000001,100291,STEWARD MELBOURNE HOSPITAL,Brevard
1935,1.072611,100176,PALM BEACH GARDENS MEDICAL CENTER,Palm Beach
366,1.071835,100181,LARKIN COMMUNITY HOSPITAL,Miami-Dade
2778,1.0711979999999999,100035,MANATEE MEMORIAL HOSPITAL,Manatee
1602,1.068322,100275,WELLINGTON REGIONAL MEDICAL CENTER LLC,Palm Beach
1760,1.066557,100126,PALMS OF PASADENA HOSPITAL,Pinellas
1565,1.064568,100268,WEST BOCA MEDICAL CENTER,Palm Beach
2144,1.05824,100189,NORTHWEST MEDICAL CENTER,Broward
1563,1.054522,100299,LAKEWOOD RANCH MEDICAL CENTER,Manatee
368,1.053607,100070,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,Sarasota
2736,1.052792,100223,FORT WALTON BEACH MEDICAL CENTER,Okaloosa
390,1.047958,100228,WESTSIDE REGIONAL MEDICAL CENTER,Broward
707,1.04341,100236,FAWCETT MEMORIAL HOSPITAL,Charlotte
1632,1.043318,100254,CAPITAL REGIONAL MEDICAL CENTER,Leon
638,1.0406,100179,MEMORIAL HOSPITAL JACKSONVILLE,Duval
1106,1.036359,100302,ST CLOUD REGIONAL MEDICAL CENTER,Osceola
1671,1.034058,100255,TAMPA COMMUNITY HOSPITAL,Hillsborough
990,1.03106,100267,ENGLEWOOD COMMUNITY HOSPITAL,Sarasota
40,1.029061,100256,REGIONAL MEDICAL CENTER BAYONET POINT,Pasco
833,1.028804,100080,JFK MEDICAL CENTER,Palm Beach
155,1.0278610000000001,100269,PALMS WEST HOSPITAL,Palm Beach
814,1.0278120000000002,100081,HEALTHMARK REGIONAL MEDICAL CENTER,Walton
799,1.0277319999999999,100077,BAYFRONT HEALTH PORT CHARLOTTE,Charlotte
337,1.024832,100213,BLAKE MEDICAL CENTER,Manatee
1683,1.024327,100209,KENDALL REGIONAL MEDICAL CENTER,Miami-Dade
2744,1.023776,100099,LAKE WALES MEDICAL CENTER,Polk
160,1.0237180000000001,100092,STEWARD ROCKLEDGE HOSPITAL,Brevard
2964,1.0217040000000002,100212,OCALA REGIONAL MEDICAL CENTER,Marion
92,1.020726,100121,BARTOW REGIONAL MEDICAL CENTER,Polk
2220,1.018784,100260,ST LUCIE MEDICAL CENTER,St. Lucie
2877,1.016232,100259,SOUTH BAY HOSPITAL,Hillsborough
125,1.014817,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,Seminole
1270,1.013896,100047,BAYFRONT HEALTH PUNTA GORDA,Charlotte
2402,1.013862,100249,BAYFRONT HEALTH SEVEN RIVERS,Citrus
2579,1.008456,100217,STEWARD SEBASTIAN RIVER MEDICAL CENTER,Indian River
1712,1.005788,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,Alachua
2705,1.004573,100316,PALM BAY HOSPITAL,Brevard
1743,1.004294,100232,PUTNAM COMMUNITY MEDICAL CENTER,Putnam
1987,1.001992,100211,ADVENTHEALTH DADE CITY,Pasco
714,1.001671,100049,HIGHLANDS REGIONAL MEDICAL CENTER,Highlands
957,0.997554,100191,MEDICAL CENTER OF TRINITY,Pasco
534,0.9947969999999999,100231,WEST FLORIDA HOSPITAL,Escambia
2779,0.9944940000000001,100124,SANTA ROSA MEDICAL CENTER,Santa Rosa
2448,0.988022,100320,POINCIANA MEDICAL CENTER,Osceola
1966,0.9878299999999999,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,Polk
2407,0.987504,100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,Collier
824,0.978377,100110,OSCEOLA REGIONAL MEDICAL CENTER,Osceola
2133,0.957549,100243,BRANDON REGIONAL HOSPITAL,Hillsborough
985,0.952656,100252,RAULERSON HOSPITAL,Okeechobee
374,0.944267,100206,MEMORIAL HOSPITAL OF TAMPA,Hillsborough
1912,0.9437040000000001,100054,TWIN CITIES HOSPITAL,Okaloosa
1052,0.929898,100150,LOWER KEYS MEDICAL CENTER,Monroe
