,MSPB,FacilityID,Name,County
1567,1.220458,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,Miami-Dade
1474,1.155087,100053,HIALEAH HOSPITAL,Miami-Dade
602,1.1528129999999999,100063,MORTON PLANT NORTH BAY HOSPITAL,Pasco
2660,1.141556,100187,PALMETTO GENERAL HOSPITAL,Miami-Dade
2421,1.133491,100029,NORTH SHORE MEDICAL CENTER,Miami-Dade
197,1.130458,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,Broward
2300,1.123787,100125,HOMESTEAD HOSPITAL,Miami-Dade
0,1.1103180000000001,100183,CORAL GABLES HOSPITAL,Miami-Dade
2388,1.110135,100288,ST MARY'S MEDICAL CENTER,Palm Beach
1510,1.10895,100258,DELRAY MEDICAL CENTER,Palm Beach
1536,1.108271,100086,BROWARD HEALTH NORTH,Broward
1061,1.10283,100248,LARGO MEDICAL CENTER,Pinellas
2175,1.099258,100284,WESTCHESTER GENERAL HOSPITAL,Miami-Dade
2574,1.095913,100002,BETHESDA HOSPITAL EAST,Palm Beach
867,1.094272,100180,ST PETERSBURG GENERAL HOSPITAL,Pinellas
2718,1.091823,100032,BAYFRONT HEALTH - ST PETERSBURG,Pinellas
1285,1.0867639999999998,100285,MEMORIAL HOSPITAL MIRAMAR,Broward
2998,1.084905,100287,GOOD SAMARITAN MEDICAL CENTER,Palm Beach
2972,1.080482,100238,NORTHSIDE HOSPITAL,Pinellas
503,1.0801370000000001,100026,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,Bay
2583,1.079962,100038,MEMORIAL REGIONAL HOSPITAL,Broward
918,1.07949,100242,GULF COAST REGIONAL MEDICAL CENTER,Bay
1787,1.0791959999999998,100173,ADVENTHEALTH TAMPA,Hillsborough
872,1.0788440000000001,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,St. Lucie
612,1.077895,100052,WINTER HAVEN HOSPITAL,Polk
2454,1.077755,100166,DOCTORS HOSPITAL OF SARASOTA,Sarasota
1010,1.0736700000000001,100291,STEWARD MELBOURNE HOSPITAL,Brevard
1935,1.072611,100176,PALM BEACH GARDENS MEDICAL CENTER,Palm Beach
1442,1.072435,100265,MEASE COUNTRYSIDE HOSPITAL,Pinellas
366,1.071835,100181,LARKIN COMMUNITY HOSPITAL,Miami-Dade
2778,1.0711979999999999,100035,MANATEE MEMORIAL HOSPITAL,Manatee
919,1.070757,100071,BAYFRONT HEALTH BROOKSVILLE,Hernando
2965,1.068557,100168,BOCA RATON REGIONAL HOSPITAL,Palm Beach
1602,1.068322,100275,WELLINGTON REGIONAL MEDICAL CENTER LLC,Palm Beach
1760,1.066557,100126,PALMS OF PASADENA HOSPITAL,Pinellas
1565,1.064568,100268,WEST BOCA MEDICAL CENTER,Palm Beach
1820,1.063383,100043,MEASE DUNEDIN HOSPITAL,Pinellas
1235,1.062531,100276,BROWARD HEALTH CORAL SPRINGS,Broward
1834,1.059411,100226,ORANGE PARK MEDICAL CENTER,Clay
2088,1.059299,100281,MEMORIAL HOSPITAL WEST,Broward
