FacilityID,Name,Address,City,State,ZIP,County,Type,Ownership,Emergency,EHR,Geo
400120,HIMA SAN PABLO-CAGUAS,AVE LUIS MUNOZ MARIN,CAGUAS,PR,725,CAGUAS,Acute Care Hospitals,Proprietary,TRUE,,"AVE LUIS MUNOZ MARIN CAGUAS, PR 00725"
314005,ANCORA PSYCH HOSP,ANCORA BRANCH,HAMMONTON,NJ,8037,ATLANTIC,Psychiatric,Government - State,FALSE,,"ANCORA BRANCH HAMMONTON, NJ 08037"
194073,OCEANS HOSPITAL OF BROUSSARD,420 ALBERTSONS PARKWAY,BROUSSARD,LA,70518,LAFAYETTE,Psychiatric,Proprietary,FALSE,,"420 ALBERTSONS PARKWAY BROUSSARD, LA 70518"
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,MIAMI-DADE,Acute Care Hospitals,Proprietary,TRUE,TRUE,"3100 DOUGLAS RD CORAL GABLES, FL 33134"
454008,NORTH TEXAS STATE HOSPITAL,6515 KEMP BLVD,WICHITA FALLS,TX,76308,WICHITA,Psychiatric,Government - State,FALSE,,"6515 KEMP BLVD WICHITA FALLS, TX 76308 (33.840213, -98.527677)"
250124,MAGEE GENERAL HOSPITAL,300 3RD AVE SE,MAGEE,MS,39111,SIMPSON,Acute Care Hospitals,Government - Local,TRUE,,"300 3RD AVE SE MAGEE, MS 39111 (31.870585, -89.728389)"
454108,CYPRESS CREEK HOSPITAL,17750 CALI DRIVE,HOUSTON,TX,77090,HARRIS,Psychiatric,Proprietary,FALSE,,"17750 CALI DRIVE HOUSTON, TX 77090 (30.024186, -95.445783)"
431312,MARSHALL COUNTY HEALTHCARE CENTER - CAH,413 9TH STREET,BRITTON,SD,57430,MARSHALL,Critical Access Hospitals,Proprietary,TRUE,TRUE,"413 9TH STREET BRITTON, SD 57430 (45.789215, -97.746049)"
504012,SMOKEY POINT BEHAVIORAL HOSPITAL,3955 156TH ST NE,MARYSVILLE,WA,98271,SNOHOMISH,Psychiatric,Proprietary,FALSE,,"3955 156TH ST NE MARYSVILLE, WA 98271"
363306,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,MONTGOMERY,Childrens,Voluntary non-profit - Private,TRUE,,"ONE CHILDRENS PLAZA DAYTON, OH 45404"
