FacilityID,MSPB
100220,1.01753
450891,0.98165
110045,0.83197
10005,1.011978
100281,1.059299
80007,0.982613
250057,0.979702
100110,0.978377
250009,1.006405
370183,0.92558
200034,1.014651
290039,1.091637
460019,0.93557
300005,0.997003
170199,2.372943
230117,0.942667
140011,1.004135
500016,0.888535
460001,1.028382
450229,1.021531
60112,0.956988
190274,0.948523
340020,0.917148
260009,0.85182
10103,1.007988
260005,0.999916
110226,0.964792
410004,1.005278
450068,1.045622
380075,0.890843
140304,1.085251
500012,0.930138
520071,0.866882
450080,1.027127
220020,1.017305
360109,0.87736
370034,0.942725
450056,1.063209
330065,0.959785
100008,1.013727
150101,0.908109
450894,1.0593
340064,0.938652
50245,1.086835
360036,0.967973
450716,1.156354
330011,0.899508
50248,1.029603
190011,1.077104
520136,1.02714
110113,0.800913
340085,0.963097
440040,0.833269
120004,0.84161
110032,0.912836
310110,1.084445
320063,0.878392
450670,1.181578
520102,0.950157
100034,1.046162
390068,1.03272
100223,1.052792
50136,0.969558
60016,0.910311
280133,0.94111
180088,1.021551
330197,0.825655
60022,1.017402
180067,1.032462
140181,1.013823
250049,1.013891
120005,0.903668
50082,0.978096
370211,0.970047
50224,0.963855
490013,0.939397
240030,0.933369
170110,0.774816
530015,0.85176
50454,0.98398
70017,1.00243
450079,1.021276
440159,N/A
500150,0.885963
450046,1.077437
520049,0.962311
250082,1.026043
10051,1.103157
390322,0.830827
140286,0.988513
390061,0.972921
100109,1.007846
470024,0.945278
460013,0.973406
340155,0.947269
450152,1.009398
10120,1.085824
60034,1.023731
70011,1.021934
50726,0.903283
220035,0.974179
330264,1.01876
40022,1.000853
340041,1.013815
380018,0.934856
220084,0.938742
530008,0.837825
490117,0.88431
330201,1.031588
440025,0.925982
100319,0.971311
450672,1.076351
50139,0.874827
100126,1.066557
160112,0.91002
310024,1.164221
110083,0.951078
240071,0.893675
510022,0.983731
140191,1.036324
280023,1.005802
440102,1.085773
340014,0.970208
670046,1.139901
10079,1.019142
450747,1.061219
180124,0.998991
110177,0.978961
370037,0.993203
450746,N/A
260077,0.966329
440081,0.937789
520202,0.953093
30131,0.931472
460009,1.030969
310029,1.00964
380027,0.862697
390145,1.017768
360125,1.051243
140217,1.122006
450087,1.123403
450537,1.173093
100243,0.957549
180106,1.06285
340123,0.903604
520033,0.832807
50502,1.023485
40029,1.003778
310039,1.072853
390110,1.028238
140089,0.947085
100180,1.094272
50084,0.983775
450369,0.955717
390316,0.892573
360012,0.992763
50168,1.018792
260023,0.978538
670069,1.120844
30093,0.933918
240101,0.8529
310111,1.087353
330107,1.034652
100105,1.054337
10011,1.04882
390195,0.989509
50744,1.110347
330231,0.938105
220070,1.028257
390323,0.957708
100080,1.028804
100307,0.984895
330061,1.055046
440137,0.975443
440235,N/A
40152,1.068967
250042,0.939086
160030,0.940208
330151,0.891766
360052,1.053274
110095,0.952512
170203,0.919254
50517,1.060223
450718,1.051145
230273,1.039977
510091,0.923307
30115,0.913685
260200,0.968236
360263,0.978338
240020,0.864359
140240,1.054063
450669,1.08424
360020,1.02811
420104,0.896548
330182,1.017726
450184,1.045942
450659,1.227549
390093,0.987007
50124,1.10759
10039,1.01623
330265,0.823127
10069,0.956708
360189,0.980043
390003,0.930906
300012,1.021478
110233,1.052343
370039,0.983471
190079,0.956364
150012,0.99834
180002,0.885117
330234,1.12015
330277,0.939845
360362,0.956684
30064,0.980401
330221,0.965157
460015,0.95751
260163,0.945564
20001,0.917143
40072,0.91426
110168,0.938738
130025,0.998804
370214,N/A
50663,1.231767
50373,0.958263
390009,1.008158
140067,0.988744
310074,1.041425
260062,1.028717
260085,0.990444
290056,N/A
110089,0.924285
70012,0.929827
140224,1.046459
360351,0.935801
220116,1.011595
180046,0.959291
330084,0.815838
360017,1.038032
40114,1.018882
60124,0.901833
500050,0.920899
450641,1.031684
330160,1.025972
310047,0.998598
450855,0.987119
180027,1.036717
30024,0.998105
360261,N/A
150150,0.942891
40134,0.917606
420073,0.968528
50455,1.018632
320018,1.013774
450869,0.988618
190039,1.025121
500025,1.010524
280131,0.840411
240053,0.917701
170188,0.880389
330195,1.039304
330030,0.869388
460052,1.078088
450766,1.054625
490007,0.962649
100018,1.026866
260104,0.986116
450742,1.084848
440072,1.02736
520205,0.961695
320006,0.922685
310001,1.094176
120006,0.904884
390178,0.964637
30055,0.935987
450694,0.975907
100156,1.018796
60011,0.946838
150075,0.943899
450605,1.150786
40085,0.744963
50407,0.80266
140001,0.943722
330049,0.969927
140008,1.041459
220030,0.984626
490002,0.945989
50393,1.104904
420051,0.972395
160101,0.865095
230046,0.988459
450586,0.967724
110027,0.998269
190026,1.064188
230208,0.9606
340090,0.95099
130066,0.929935
180130,0.989219
360068,1.00987
490044,0.939091
30120,1.062823
