FacilityID,Measure,ERR
10001,READM_30_AMI_HRRP,1.0072
10001,READM_30_CABG_HRRP,1.1392
10001,READM_30_COPD_HRRP,0.9913
10001,READM_30_HF_HRRP,1.0135
10001,READM_30_HIP_KNEE_HRRP,1.0468
10001,READM_30_PN_HRRP,1.0454
10005,READM_30_AMI_HRRP,0.9518
10005,READM_30_CABG_HRRP,Not Available
10005,READM_30_COPD_HRRP,0.9054
10005,READM_30_HF_HRRP,1.0288
10005,READM_30_HIP_KNEE_HRRP,1.0913
10005,READM_30_PN_HRRP,0.9677
10006,READM_30_AMI_HRRP,1.0332
10006,READM_30_CABG_HRRP,1.1655
10006,READM_30_COPD_HRRP,0.9974
10006,READM_30_HF_HRRP,0.9558
10006,READM_30_HIP_KNEE_HRRP,1.3032
10006,READM_30_PN_HRRP,0.9817
10007,READM_30_AMI_HRRP,Not Available
10007,READM_30_CABG_HRRP,Not Available
10007,READM_30_COPD_HRRP,1.0096
10007,READM_30_HF_HRRP,1.1313
10007,READM_30_HIP_KNEE_HRRP,1.1117
10007,READM_30_PN_HRRP,0.9891
10008,READM_30_AMI_HRRP,Not Available
10008,READM_30_CABG_HRRP,Not Available
10008,READM_30_COPD_HRRP,0.9730
10008,READM_30_HF_HRRP,1.0064
10008,READM_30_HIP_KNEE_HRRP,Not Available
10008,READM_30_PN_HRRP,0.9805
10011,READM_30_AMI_HRRP,0.9481
10011,READM_30_CABG_HRRP,1.0112
10011,READM_30_COPD_HRRP,0.9531
10011,READM_30_HF_HRRP,0.9563
10011,READM_30_HIP_KNEE_HRRP,0.9986
10011,READM_30_PN_HRRP,1.0099
10012,READM_30_AMI_HRRP,0.9661
10012,READM_30_CABG_HRRP,Not Available
10012,READM_30_COPD_HRRP,0.9921
10012,READM_30_HF_HRRP,1.0578
10012,READM_30_HIP_KNEE_HRRP,Not Available
10012,READM_30_PN_HRRP,1.0008
10016,READM_30_AMI_HRRP,1.0075
10016,READM_30_CABG_HRRP,1.0032
10016,READM_30_COPD_HRRP,1.0074
10016,READM_30_HF_HRRP,0.9699
10016,READM_30_HIP_KNEE_HRRP,1.0110
10016,READM_30_PN_HRRP,0.9828
10018,READM_30_AMI_HRRP,Not Available
10018,READM_30_CABG_HRRP,Not Available
10018,READM_30_COPD_HRRP,Not Available
10018,READM_30_HF_HRRP,Not Available
10018,READM_30_HIP_KNEE_HRRP,Not Available
10018,READM_30_PN_HRRP,Not Available
10019,READM_30_AMI_HRRP,Not Available
10019,READM_30_CABG_HRRP,Not Available
10019,READM_30_COPD_HRRP,1.0306
10019,READM_30_HF_HRRP,1.0618
10019,READM_30_HIP_KNEE_HRRP,1.0077
10019,READM_30_PN_HRRP,1.0528
10021,READM_30_AMI_HRRP,Not Available
10021,READM_30_CABG_HRRP,Not Available
10021,READM_30_COPD_HRRP,0.9344
10021,READM_30_HF_HRRP,1.0429
10021,READM_30_HIP_KNEE_HRRP,Not Available
10021,READM_30_PN_HRRP,0.9534
10022,READM_30_AMI_HRRP,Not Available
10022,READM_30_CABG_HRRP,Not Available
10022,READM_30_COPD_HRRP,0.9660
10022,READM_30_HF_HRRP,1.0090
10022,READM_30_HIP_KNEE_HRRP,Not Available
10022,READM_30_PN_HRRP,0.9202
10023,READM_30_AMI_HRRP,1.0291
10023,READM_30_CABG_HRRP,1.3264
10023,READM_30_COPD_HRRP,1.0155
10023,READM_30_HF_HRRP,1.0435
10023,READM_30_HIP_KNEE_HRRP,0.9677
10023,READM_30_PN_HRRP,1.0820
10024,READM_30_AMI_HRRP,1.0870
10024,READM_30_CABG_HRRP,1.1183
10024,READM_30_COPD_HRRP,0.9537
10024,READM_30_HF_HRRP,1.0641
10024,READM_30_HIP_KNEE_HRRP,1.0030
10024,READM_30_PN_HRRP,1.1265
10029,READM_30_AMI_HRRP,1.0049
10029,READM_30_CABG_HRRP,0.7689
10029,READM_30_COPD_HRRP,0.9180
10029,READM_30_HF_HRRP,0.9770
10029,READM_30_HIP_KNEE_HRRP,1.2428
10029,READM_30_PN_HRRP,1.0780
10032,READM_30_AMI_HRRP,Not Available
10032,READM_30_CABG_HRRP,Not Available
10032,READM_30_COPD_HRRP,0.9453
10032,READM_30_HF_HRRP,Not Available
10032,READM_30_HIP_KNEE_HRRP,Not Available
10032,READM_30_PN_HRRP,0.9893
10033,READM_30_AMI_HRRP,0.9877
10033,READM_30_CABG_HRRP,1.0268
10033,READM_30_COPD_HRRP,0.9637
10033,READM_30_HF_HRRP,0.9946
10033,READM_30_HIP_KNEE_HRRP,1.1316
10033,READM_30_PN_HRRP,1.0961
10034,READM_30_AMI_HRRP,Not Available
10034,READM_30_CABG_HRRP,Not Available
10034,READM_30_COPD_HRRP,0.9865
10034,READM_30_HF_HRRP,1.0163
10034,READM_30_HIP_KNEE_HRRP,Not Available
10034,READM_30_PN_HRRP,0.9586
10035,READM_30_AMI_HRRP,1.0506
10035,READM_30_CABG_HRRP,Not Available
10035,READM_30_COPD_HRRP,0.9731
10035,READM_30_HF_HRRP,1.0834
10035,READM_30_HIP_KNEE_HRRP,1.2678
10035,READM_30_PN_HRRP,0.9992
10036,READM_30_AMI_HRRP,1.0077
10036,READM_30_CABG_HRRP,Not Available
10036,READM_30_COPD_HRRP,1.0369
10036,READM_30_HF_HRRP,0.9710
10036,READM_30_HIP_KNEE_HRRP,0.9967
10036,READM_30_PN_HRRP,1.0739
10038,READM_30_AMI_HRRP,1.0080
