FacilityID,Name,Address,City,State,ZIP,County,Type,Ownership,Emergency,EHR,Geo,MSPB,ERR.AMI,ERR.CBG,ERR.COPD,ERR.HF,ERR.HIPKNEE,ERR.PNEU
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,Miami-Dade,Acute Care Hospitals,Proprietary,TRUE,TRUE,"3100 DOUGLAS RD CORAL GABLES, FL 33134",1.110318,1.0043,,1.0573,1.1208,0.9252,0.9927
250124,MAGEE GENERAL HOSPITAL,300 3RD AVE SE,MAGEE,MS,39111,Simpson,Acute Care Hospitals,Government - Local,TRUE,,"300 3RD AVE SE MAGEE, MS 39111 (31.870585, -89.728389)",0.968133,,,1.0017,0.9433,,0.9883
70018,GREENWICH HOSPITAL ASSOCIATION -,5 PERRYRIDGE RD,GREENWICH,CT,6830,Fairfield,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"5 PERRYRIDGE RD GREENWICH, CT 06830 (41.034395, -73.629632)",1.023036,1.0556,,0.9799,1.0871,0.7167,1.0275
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,Swain,Acute Care Hospitals,Government - Federal,TRUE,,"CALLER BOX C268 CHEROKEE, NC 28719",0.731682,,,,,,0.9958
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,Greene,Acute Care Hospitals,Government - Local,TRUE,,"509 WILSON AVENUE EUTAW, AL 35462 (32.844744, -87.889307)",1.103157,,,0.9624,1.031,,
430089,DUNES SURGICAL HOSPITAL,600 N SIOUX POINT ROAD,DAKOTA DUNES,SD,57049,Union,Acute Care Hospitals,Proprietary,FALSE,,"600 N SIOUX POINT ROAD DAKOTA DUNES, SD 57049 (42.504753, -96.496816)",0.86398,,,,,0.6958,
270003,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601,Lewis And Clark,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"2475 BROADWAY HELENA, MT 59601",0.858554,0.9647,,0.9992,0.8581,1.2606,0.9556
250134,WHITFIELD MEDICAL SURGICAL HOSPITAL,"3550 HWY 468 W, BLDG 60",WHITFIELD,MS,39193,Rankin,Acute Care Hospitals,Government - State,FALSE,,"3550 HWY 468 W, BLDG 60 WHITFIELD, MS 39193",0.47548,,,,,,0.9453
670103,MEDICAL CITY ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,Tarrant,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"3101 NORTH TARRANT PARKWAY FORT WORTH, TX 76177 (32.898527, -97.313814)",1.080746,,,0.9966,1.0001,,1.0471
390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,1503 CEDAR CREST BOULEVARD,ALLENTOWN,PA,18104,Lehigh,Acute Care Hospitals,Physician,FALSE,,"1503 CEDAR CREST BOULEVARD ALLENTOWN, PA 18104 (40.61219, -75.53275)",0.909132,,,,,1.0856,
180049,BAPTIST HEALTH RICHMOND,801 EASTERN BYPASS,RICHMOND,KY,40475,Madison,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,"801 EASTERN BYPASS RICHMOND, KY 40475 (37.73176, -84.293078)",0.988868,1.0465,,0.9314,0.97,0.9503,1.0438
250099,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD,GREENWOOD,MS,38935,Leflore,Acute Care Hospitals,Government - Local,TRUE,TRUE,"1401 RIVER RD GREENWOOD, MS 38935 (33.518254, -90.200189)",1.059595,0.9997,,0.9199,1.08,1.0999,1.1433
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,Queens,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,"56-45 MAIN STREET FLUSHING, NY 11355",1.019417,1.1127,0.9893,1.0172,1.0858,0.9654,1.1112
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,MOULTRIE,GA,31768,Colquitt,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,"3131 THOMASVILLE HWY BOX 40 MOULTRIE, GA 31768 (31.126747, -83.782918)",0.949255,,,1.0783,1.0656,0.9947,1.1924
