Tract,County,Acute.Bronchitis...Bronchiolitis,Alzheimers.Disease,Anemias,Aortic.Aneurysm...Dissection,Appendix.Diseases,Atherosclerosis,Cerebrovascular.Diseases,Cholelithiasis...Other.Gallbladder.Disorders,Chronic.Liver.Disease...Cirrhosis,Chronic.Lower.Respiratory.Disease,Congenital.Malformations,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Female.Pelvic.Organs.Inflammatory.Diseases,Heart.Diseases,Hernia,Homicide,Hyperplasia.of.Prostate,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Influenza...Pneumonia,Kidney.Infections,Legal.Intervention,Malaria,Malignant.Neoplasm.or.Cancer,Medical...Surgical.Care.Complications,Meningitis,Meningococcal.Infection,Nephritis..Nephrotic.Syndrome..Nephrosis,Nutritional.Deficiencies,Other.Non.rankable.Cause.of.Death,Parkinsons.Disease,Peptic.Ulcer,Perinatal.Period.Conditions,Pneumoconiosis...Chemical.Effects,Pneumonitis.Due.To.Solids...Liquids,Pregnancy..Childbirth.and.the.Puerperium,Salmonella.Infections,Septicemia,Syphilis,Tuberculosis,Unintentional.Injury,Viral.Hepatitis
12001000200,Alachua,0,0,0,0,0,0,8.78,0,4.39,10.24,0,5.85,1.46,0,23.41,0,0,0,1.46,2.93,0,0,0,33.66,0,0,0,1.46,0,32.19,0,0,1.46,0,1.46,0,0,1.46,0,0,2.93,1.46
12001000301,Alachua,0,2.6,0,0,0,2.6,20.78,0,10.39,18.19,0,7.79,0,0,51.96,0,5.2,0,0,5.2,0,0,0,49.36,2.6,0,0,5.2,0,57.16,0,5.2,2.6,0,2.6,0,0,5.2,0,0,12.99,2.6
12001000302,Alachua,0,8.42,0,0,0,0,21.06,8.42,8.42,8.42,12.64,25.27,4.21,0,71.61,0,0,0,0,12.64,0,0,0,139.01,0,0,0,4.21,0,101.1,8.42,0,8.42,0,0,0,0,8.42,0,0,37.91,4.21
12001000400,Alachua,0,3.34,3.34,1.67,0,0,18.35,0,5,10.01,6.67,26.68,5,0,66.71,0,3.34,0,3.34,0,0,0,0,95.06,0,0,0,3.34,0,88.39,0,0,3.34,0,3.34,0,0,5,0,0,13.34,0
12001000500,Alachua,0,13.46,1.92,0,0,3.84,17.3,0,13.46,19.22,0,5.77,0,0,59.59,0,3.84,0,0,9.61,0,0,0,86.51,1.92,0,0,1.92,0,63.44,1.92,1.92,3.84,0,0,0,0,7.69,0,0,23.07,1.92
12001000600,Alachua,0,0,2.13,2.13,0,0,25.59,0,2.13,17.06,8.53,17.06,2.13,0,72.51,0,0,0,2.13,6.4,0,0,0,134.36,0,0,0,8.53,0,95.97,0,0,6.4,0,4.27,2.13,0,10.66,0,0,12.8,2.13
12001000700,Alachua,0,6.44,1.61,3.22,0,0,32.2,0,12.88,25.76,0,32.2,16.1,0,99.81,1.61,8.05,0,0,9.66,0,0,0,136.83,3.22,0,0,16.1,0,128.78,1.61,0,4.83,0,4.83,1.61,0,9.66,0,0,14.49,1.61
12001000806,Alachua,0,4.89,0,0,0,0,0,0,0,9.79,4.89,9.79,0,0,9.79,0,0,0,4.89,4.89,0,0,0,44.05,0,0,0,4.89,0,93,0,0,0,0,0,0,0,0,0,0,14.68,4.89
12001000808,Alachua,0,0,2.89,0,0,0,5.77,0,0,14.43,0,2.89,0,0,23.08,0,5.77,0,0,0,0,0,0,14.43,2.89,2.89,0,2.89,0,20.2,0,0,5.77,0,0,0,0,5.77,0,0,8.66,0
12001000809,Alachua,0,24.69,0,0,0,0,16.46,0,0,65.84,0,8.23,0,0,107,0,0,0,0,8.23,0,0,0,82.3,0,0,0,8.23,0,197.53,0,0,0,0,8.23,0,0,16.46,0,0,49.38,0
