County,AADR
Alachua,749.3
Baker,906.4
Bay,899.8
Bradford,860.8
Brevard,769.8
Broward,638.2
Calhoun,909.4
Charlotte,652.3
Citrus,835.1
Clay,807.2
Collier,467.9
Columbia,922.7
Miami-Dade,595.2
Desoto,691.1
Dixie,960.9
Duval,847.9
Escambia,893.9
Flagler,699.1
Franklin,867.6
Gadsden,825.9
Gilchrist,819.8
Glades,577.5
Gulf,855.1
Hamilton,889.8
Hardee,692.8
Hendry,757.6
Hernando,798.2
Highlands,700.5
Hillsborough,737.2
Holmes,952.6
Indian River,646.6
Jackson,903.3
Jefferson,796.9
Lafayette,799.0
Lake,720.4
Lee,598.8
Leon,706.9
Levy,903.0
Liberty,795.9
Madison,901.3
Manatee,640.8
Marion,815.0
Martin,601.0
Monroe,683.4
Nassau,803.0
Okaloosa,809.8
Okeechobee,862.2
Orange,682.4
Osceola,708.2
Palm Beach,585.2
Pasco,772.3
Pinellas,711.5
Polk,759.2
Putnam,933.1
Saint Johns,649.0
Saint Lucie,681.3
Santa Rosa,797.8
Sarasota,596.6
Seminole,657.9
Sumter,612.3
Suwannee,913.0
Taylor,869.2
Union,1489.5
Volusia,814.4
Wakulla,890.6
Walton,770.0
Washington,986.1
Total,681.8
