Tract,Heart.Diseases
12001000200,23.41
12001000301,51.96
12001000302,71.61
12001000400,66.71
12001000500,59.59
12001000600,72.51
12001000700,99.81
12001000806,9.79
12001000808,23.08
12001000809,107
12001000901,0
12001000902,0
12001001000,46.74
12001001100,110.76
12001001201,53.81
12001001202,59.44
12001001203,74.69
12001001400,36.45
12001001514,6.46
12001001515,11.6
12001001516,14.96
12001001517,23.92
12001001519,7.29
12001001520,35.06
12001001521,27.08
12001001603,46.89
12001001604,57.2
12001001701,171.6
12001001702,83.91
12001001801,75.15
12001001802,120.34
12001001803,97.1
12001001805,20.09
12001001806,70.6
12001001811,50.24
12001001813,66.49
12001001814,62.65
12001001902,64.45
12001001907,94.94
12001001908,114.5
12001002000,104.91
12001002101,120.2
12001002102,125.57
12001002201,56.32
12001002202,65.45
12001002204,65.66
12001002205,43.06
12001002207,56.06
12001002208,60.8
12001002209,53.94
12001002210,94.43
12001002217,49.4
12001002218,38.3
12001002219,38.87
12001002220,88.29
12001110800,193.26
12003040101,79.01
12003040102,128.8
12003040201,66.36
12003040202,84.79
12005000201,67.58
12005000202,82.56
12005000300,156.36
12005000400,98.35
12005000500,79.51
12005000600,115.1
12005000700,0
12005000803,119.13
12005000804,119.45
12005000805,139.83
12005000806,82.81
12005000900,171.47
12005001000,203.3
12005001100,109.03
12005001200,100.11
12005001301,86.91
12005001302,119.21
12005001402,98
12005001403,136.19
12005001404,85.4
12005001501,134.66
12005001502,175.93
12005001600,183.51
12005001700,164.93
12005001800,87
12005001900,139.44
12005002000,292.07
12005002200,194.7
12005002300,143.68
12005002400,104.46
12005002500,143.39
12005002601,131.15
12005002603,87.24
12005002604,76.11
12005002605,125.9
12005002606,174.26
12005002607,107.62
12005002608,123.32
12005002701,102.04
12005002702,129.71
12005002703,113.27
12005002704,80.47
12005002705,120.91
12007000100,164.73
12007000200,97.42
12007000300,109.3
12007000400,75.89
12009060101,200.86
12009060102,179.37
12009060200,139.76
12009060300,123.11
12009060400,221.14
12009060500,184.57
12009060600,173.59
12009060700,207.44
12009061001,177.89
12009061002,210.27
12009061100,209.25
12009061201,131.51
12009061202,152.31
12009062103,139.61
12009062104,68.58
12009062106,167.91
12009062107,241.2
12009062108,92.85
12009062109,90.74
12009062301,111.49
12009062302,149.88
12009062400,125.94
12009062500,146.84
12009062600,150.91
12009062800,121.89
12009062900,96.77
12009063000,83.98
12009063102,113.43
12009063104,95.45
12009063105,106.63
12009063106,95.49
12009063107,155.05
12009064102,77.77
12009064123,131.89
12009064124,142.42
12009064125,140.21
12009064126,89.84
12009064127,123.55
12009064128,103.69
12009064201,208.33
12009064202,241.56
12009064301,118.24
12009064302,97.19
12009064400,152.36
12009064500,116.99
12009064601,220.19
12009064602,296.69
12009064700,361.8
12009064800,232.72
12009064901,127.13
12009064902,191.2
12009065001,151.33
12009065021,151.7
12009065022,175.64
12009065121,135.12
12009065122,163.61
12009065123,148.9
12009065124,196.82
12009065125,245.6
12009065201,239.68
12009065202,150.8
12009065231,135.58
