TABLE 16A.—UPDATED PROXY HOSPITAL VALUE-BASED PURCHASING PROGRAM (VBP) ADJUSTMENT FACTORS FOR FY 2018*					
CMS Certification Number (CCN)	Proxy FY 2018 Hospital VBP Adjustment Factor				
010001	0.9992347162				
010005	0.9976488752				
010006	0.9966769082				
010007	0.9982243820				
010011	0.9970861575				
010012	1.0034295213				
010016	0.9948864426				
010019	0.9941702563				
010021	0.9978407108				
010022	1.0056710912				
010023	0.9922774784				
010024	0.9966769082				
010029	1.0079824196				
010033	1.0097728852				
010034	1.0129957232				
010035	1.0016390557				
010036	1.0066523594				
010038	0.9999509024				
010039	1.0006670887				
010040	0.9983139053				
010044	1.0235292416				
010045	1.0197099692				
010046	1.0026621789				
010047	1.0070662592				
010049	0.9944771933				
010052	1.0101356288				
010055	1.0011274941				
010056	0.9980581245				
010059	1.0116528740				
010061	1.0040433952				
010062	0.9955386836				
010069	1.0012937516				
010073	0.9961141904				
010078	0.9992347162				
010079	1.0059361731				
010083	1.0100798221				
010085	0.9962165027				
010086	1.0028284364				
010087	1.0038728747				
010089	0.9988766231				
010090	0.9938633194				
010091	0.9974570396				
010092	0.9921240099				
010097	1.0106936960				
010099	0.9880570952				
010100	1.0028668035				
010101	0.9905509580				
010103	0.9972907821				
010104	1.0049130499				
010108	1.0099263536				
010112	0.9892081088				
010113	0.9993370285				
010114	1.0004113079				
010118	0.9997769715				
010120	0.9984162176				
010125	1.0154895860				
010126	1.0014855872				
010129	1.0039794500				
010130	1.0160650928				
010131	0.9969838451				
010139	0.9968815328				
010144	1.0006670887				
010146	0.9964629824				
010148	1.0097345180				
010149	1.0084428250				
010150	1.0005264092				
010157	0.9978023437				
010158	0.9982243820				
010164	1.0003089955				
010168	1.0026017216				
010169	1.0147222436				
020001	0.9959095658				
020006	1.0124023118				
020008	0.9997590668				
020012	1.0165254983				
020017	1.0116145069				
020024	1.0009100804				
020026	1.0008205571				
030001	0.9963699712				
030002	0.9964211274				
030006	0.9902312320				
030007	1.0020176113				
030010	0.9934540701				
030011	0.9979046560				
030012	0.9932494455				
030013	0.9969326890				
030014	0.9955514727				
030016	1.0054246115				
030022	0.9971884698				
030023	1.0036853021				
030024	0.9975465629				
030030	0.9905893251				
030033	1.0035318336				
030036	0.9976488752				
030037	0.9927378839				
030038	0.9971884698				
030043	0.9974954067				
030055	1.0000532147				
030061	1.0112564138				
030062	1.0158604682				
030064	0.9944260371				
030065	1.0034806775				
030068	1.0120888640				
030069	1.0055269239				
030073	1.0187856704				
030078	1.0201808384				
030083	0.9995928093				
030084	1.0207389056				
030085	0.9940167879				
030087	0.9945795056				
030088	1.0026110227				
030089	0.9968815328				
030092	0.9935563824				
030093	1.0026621789				
030094	0.9949375987				
030101	1.0008614821				
030103	1.0187763693				
030105	1.0079312634				
030107	1.0268776449				
030110	0.9989789354				
030111	0.9931471331				
030112	1.0042759232				
030114	0.9965848271				
030115	1.0121260685				
030117	1.0106936960				
030118	0.9980325464				
030119	1.0039922391				
030120	0.9825113024				
030121	0.9960630343				
030122	0.9978534999				
030123	1.0012605001				
030130	1.0085792414				
030131	1.0003694528				
030134	1.0316212161				
040001	0.9911264648				
040002	0.9943876700				
040004	0.9972907821				
040007	0.9868549254				
040010	1.0070104525				
040011	1.0199018048				
040014	1.0039410829				
040015	0.9947713412				
040016	1.0006670887				
040017	1.0045549568				
040018	1.0146001664				
