State,Tract,Total Population
FL,12001000200,6834
FL,12001000301,3849
FL,12001000302,2374
FL,12001000400,5996
FL,12001000500,5202
FL,12001000600,4689
FL,12001000700,6212
FL,12001000806,2043
FL,12001000808,3466
FL,12001000809,1215
FL,12001000901,5093
FL,12001000902,6634
FL,12001001000,5777
FL,12001001100,6952
FL,12001001201,3531
FL,12001001202,6898
FL,12001001203,3481
FL,12001001400,4389
FL,12001001514,1549
FL,12001001515,5174
FL,12001001516,2005
FL,12001001517,5435
FL,12001001519,2742
FL,12001001520,2282
FL,12001001521,4431
FL,12001001603,1493
FL,12001001604,8042
FL,12001001701,5944
FL,12001001702,5244
FL,12001001801,7718
FL,12001001802,2493
FL,12001001803,6076
FL,12001001805,1493
FL,12001001806,9348
FL,12001001811,6966
FL,12001001813,3309
FL,12001001814,2873
FL,12001001902,3103
FL,12001001907,2844
FL,12001001908,4192
FL,12001002000,6005
FL,12001002101,2163
FL,12001002102,876
FL,12001002201,4972
FL,12001002202,5806
FL,12001002204,11270
FL,12001002205,10684
FL,12001002207,3389
FL,12001002208,2467
FL,12001002209,8528
FL,12001002210,4977
FL,12001002217,5870
FL,12001002218,2350
FL,12001002219,6947
FL,12001002220,2152
FL,12001110800,2018
FL,12003040101,6961
FL,12003040102,7531
FL,12003040201,7384
FL,12003040202,5661
FL,12005000201,5327
FL,12005000202,5814
FL,12005000300,7419
FL,12005000400,9049
FL,12005000500,6037
FL,12005000600,1477
FL,12005000700,3557
FL,12005000803,5540
FL,12005000804,2093
FL,12005000805,4577
FL,12005000806,4106
FL,12005000900,4549
FL,12005001000,2361
FL,12005001100,4586
FL,12005001200,3496
FL,12005001301,5523
FL,12005001302,7214
FL,12005001402,7857
FL,12005001403,2056
FL,12005001404,7377
FL,12005001501,5718
FL,12005001502,6025
FL,12005001600,3651
FL,12005001700,2971
FL,12005001800,1839
FL,12005001900,4805
FL,12005002000,1438
FL,12005002200,4828
FL,12005002300,3828
FL,12005002400,4212
FL,12005002500,3208
FL,12005002601,2440
FL,12005002603,2751
FL,12005002604,8146
FL,12005002605,1112
FL,12005002606,1492
FL,12005002607,1115
FL,12005002608,2757
FL,12005002701,4508
FL,12005002702,2467
FL,12005002703,3090
FL,12005002704,5468
FL,12005002705,2233
FL,12005990000,0
FL,12007000100,5585
FL,12007000200,8520
FL,12007000300,7136
FL,12007000400,5534
FL,12009060101,3734
FL,12009060102,3122
FL,12009060200,5867
FL,12009060300,5036
FL,12009060400,4115
FL,12009060500,4497
FL,12009060600,5415
FL,12009060700,2555
FL,12009061001,4216
FL,12009061002,3329
FL,12009061100,6117
FL,12009061201,7376
FL,12009061202,3414
FL,12009062103,7736
FL,12009062104,7728
FL,12009062106,3216
FL,12009062107,3068
FL,12009062108,6031
FL,12009062109,4408
FL,12009062301,3767
FL,12009062302,3336
FL,12009062400,7067
FL,12009062500,4631
FL,12009062600,3247
FL,12009062800,3938
FL,12009062900,4960
FL,12009063000,4406
FL,12009063102,8463
FL,12009063104,3667
FL,12009063105,9378
FL,12009063106,4084
FL,12009063107,11093
