TractFIPS,State,City,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
12099007002,FL,Boca Raton,14.6,14.9,24.1,18.5,66.3,4.6,6.5,3.2,73.2,79.6,65.8,3.9,38.6,41.5,13.7,77.6,5.8,29.3,1.7,19.8,81.5,10.5,20.2,86.7,8.7,37.6,1.5,6.2
12099007006,FL,Boca Raton,10.7,30.3,14.8,34.4,84.5,11.1,6.5,9,82.2,87.3,73.7,6.8,39,40,9.1,80.5,11.3,43.2,3.4,22,81.1,8.3,19.3,85.7,11,31.1,3.6,6
12099007007,FL,Boca Raton,9.8,25.7,17.9,29.2,80.6,9.1,6.8,6.6,80.4,88.4,72.1,5.8,40.1,41.8,10.5,82.3,9.3,40,2.6,20.2,81.8,8.9,19.7,85.9,10.4,32.6,2.6,5.5
12099007008,FL,Boca Raton,10.1,17.9,23.2,20.7,74,6.1,6.7,4.1,76.7,81.8,70.3,4.2,40.1,41.9,10.3,83.6,6.4,32.6,1.8,17,81.9,9.3,17.8,85.2,8.2,33.2,1.7,4.8
12099007009,FL,Boca Raton,9.5,23.8,19.1,28.4,79.3,8.4,6.5,5.9,79.6,87.3,71.4,5.2,39.9,41.4,10,83,8.7,39.2,2.5,19.2,81.8,8.6,19.6,86.4,9.7,32.9,2.4,4.9
12099007011,FL,Boca Raton,10,23.7,19.3,27.9,78.6,7.9,6.7,5.9,79.3,87.3,69.8,5.4,38.7,40.4,11.1,82.3,8.9,39.1,2.4,20.1,82.4,9.4,20.5,85.8,10.4,34,2.4,5.3
12099007100,FL,Boca Raton,19.9,3.2,29.4,11.3,23.4,0.7,8.3,0.6,70.7,33.7,,2.1,,,13,74,1.1,12.8,0.7,17.6,,14.7,14.2,74.3,5.1,37,0.3,
12099007201,FL,Boca Raton,13.2,26.8,17.6,30.7,81.3,9.5,6.7,7.6,79.9,85.8,70.1,6.4,38.2,37.6,11.6,78.8,10,39.5,3,23.5,79.9,9.5,20.1,85.4,11.3,33.9,3.2,7.3
12099007202,FL,Boca Raton,15.1,20.4,20.9,24.2,75.6,6.6,7,5.3,76.2,78.4,67.1,5.4,36.6,36.1,13.1,76.6,7.9,34.3,2.4,22.5,80.8,10.8,20.1,84.2,10.3,35.5,2.4,8
12099007203,FL,Boca Raton,22.5,21.7,19.3,27.2,74.5,5.9,7.6,6.4,75.1,73.6,59.5,7,31.2,30.7,17.4,65.9,10.3,36.1,2.9,29.5,79.5,13.4,24.8,83.8,13.4,39.6,3.1,12.9
