HUC_12,P_NonBuff_Ag,P_Ag_Buffered,Avg_Buff_Width
010100020101,0.0,100.0,971.0
010100020102,0.0,100.0,1086.0
010100020103,0.00610403716564,50.0,105.5
010100020104,0.0,100.0,227.0
010100020105,0.0,100.0,12.8592592593
010100020201,0.0,100.0,1077.0
010100020202,0.0,100.0,936.0
010100020203,0.0,100.0,187.5
010100020204,0.0,100.0,493.466666667
010100020301,0.0,None,None
010100020302,0.0,None,None
010100020303,0.0,None,None
010100020304,0.0,100.0,89.8571428571
010100020305,0.0,100.0,165.0
010100020306,0.0,100.0,327.0
010100020307,0.0,100.0,293.333333333
010100020308,0.00660742027685,94.4444444444,242.25
010100020401,0.0,100.0,457.0
010100020402,0.0,100.0,191.333333333
010100020403,0.0258167684078,78.7671232877,20.7739726027
010100020404,0.00305544096045,90.9090909091,1183.27272727
010100020405,0.0,100.0,878.555555556
010100020406,0.0,100.0,437.653846154
010100020501,0.00872371997684,27.2727272727,0.0
010100020502,0.0,100.0,144.5
010100020503,0.0,100.0,534.0
010100020504,0.0,100.0,729.5
010100020505,0.0,100.0,1578.88888889
010100020601,0.0,100.0,901.285714286
010100020602,0.0,100.0,1335.48453608
010100020701,0.0,100.0,428.0
010100020702,0.0,100.0,597.75
010100020703,0.0,100.0,868.909090909
010100020704,0.00610873568803,54.5454545455,55.8181818182
010100020705,0.00222447142005,94.4444444444,332.361111111
010100020706,0.0,100.0,485.857142857
010100020707,0.0,None,None
010100020708,0.012384923175,88.4615384615,430.923076923
010100020709,0.0,100.0,0.0
010100020710,0.0,100.0,306.64
010100020711,0.0777202099562,60.2040816327,112.446938776
010100030101,0.0,100.0,371.571428571
010100030102,0.0,100.0,717.296296296
010100030103,0.0,100.0,931.857142857
010100030104,0.00141610961873,96.875,479.875
010100030105,0.0,100.0,335.678571429
010100030201,0.0,100.0,856.761061947
010100030202,0.00659326184541,98.6899563319,862.43231441
010100030203,0.0562783665955,96.2225832656,248.930138099
010100030204,0.0,100.0,637.005102041
010100030205,0.00115946063306,99.8039215686,853.620588235
010100030206,0.0,100.0,519.742857143
010100030207,0.0461038276553,96.9489742241,178.067332983
010100030301,6.42696285248,76.4884747425,277.378911231
010100030302,7.08749103546,69.1360902606,151.490908667
010100030303,0.0746736750007,98.4615384615,568.150769231
010100030304,6.30542945862,74.3406056659,143.09009009
010100030305,5.66158866882,66.9381949832,155.965477114
010100030306,0.826358497143,86.3076381556,794.528687082
010100030307,0.0,100.0,1135.5754717
010100030308,0.0,100.0,1455.56849315
010100030309,0.0279882661998,98.2625482625,420.035392535
010100030310,0.113451257348,87.8489326765,139.993842365
010100030401,0.123180635273,92.6302806044,169.808202282
010100030402,4.68077087402,80.8802915615,218.666736754
010100030403,1.53103208542,88.7418716426,193.325586655
010100040101,0.0,100.0,907.963636364
010100040102,0.384302586317,54.3524416136,166.423566879
010100040103,0.0,100.0,612.388888889
010100040104,0.0134767862037,95.0819672131,1270.59836066
010100040201,0.0,100.0,528.111111111
010100040202,0.0,100.0,0.0
010100040203,0.0,100.0,1338.24390244
010100040301,0.00455394154415,89.1891891892,649.243243243
010100040302,0.0,100.0,661.36637931
010100040303,0.00517152203247,75.0,317.541666667
010100040304,0.0,None,None
010100040305,0.00133911834564,98.1132075472,521.905660377
010100040306,0.00416142167524,95.2941176471,324.8
010100040401,0.00173445499968,97.3333333333,1153.78666667
010100040402,0.0180905032903,96.3855421687,479.874354561
010100040501,0.00993788801134,96.511627907,618.212209302
010100040502,0.0141932051629,94.4827586207,673.224137931
010100040503,0.0106487451121,93.4306569343,841.160583942
010100040504,0.00206372793764,97.2222222222,714.583333333
010100040505,0.00950718205422,99.2323796232,662.58688067
010100040506,0.0319442562759,93.8872970392,726.402101242
010100040601,0.0,100.0,1317.48333333
010100040602,0.0,100.0,647.652173913
010100040603,0.0,100.0,810.286407767
010100040604,0.00767194759101,97.4522292994,827.789808917
010100040605,0.031336735934,97.0526315789,818.067368421
010100040606,0.316528975964,89.7806580259,554.117647059
010100040701,0.0,100.0,57.0
010100040702,0.00124964071438,94.5945945946,292.810810811
010100040703,0.0139938425273,89.6774193548,330.483870968
010100040801,0.0111962705851,92.9936305732,245.866242038
010100040802,0.0,100.0,1354.21505376
010100040803,0.0,100.0,1406.58333333
010100040804,0.0,100.0,670.759689922
010100040805,0.0265733450651,97.9605945385,551.192533702
010100040901,0.116367079318,96.8813387424,638.622971602
010100040902,0.00222153100185,99.649737303,558.936952715
010100040903,0.12666516006,93.8090241343,658.414480588
010100040904,1.12549293041,89.6217185717,358.983694766
010100040905,0.0,100.0,1122.8012959
010100040906,0.00466875219718,98.8636363636,1052.92424242
010100040907,0.00939187593758,99.4616419919,697.146702557
010100040908,0.0,100.0,1176.03797468
010100040909,0.935640931129,84.9360613811,306.440153453
010100041001,1.53067302704,92.2046012955,365.124158397
010100041002,0.00427941745147,95.7746478873,1052.46478873
010100041003,0.0,100.0,1280.03846154
010100041004,0.00146972364746,99.358974359,502.58974359
010100041005,0.014104870148,96.4391691395,859.261127596
010100041006,0.865277588367,91.8356263577,550.741491673
010100041007,5.93813705444,76.5058484269,229.949292033
010100041008,3.35873627663,79.9113327792,221.715248915
010100041009,10.161242485,78.68585814,185.400773217
010100041101,1.08813333511,95.7801870748,438.576557185
010100041102,1.36999106407,96.4630380235,426.036768964
010100041103,0.173993855715,94.18562658,346.830985915
010100041104,0.0632076859474,97.1741112124,636.605591006
010100041105,0.00387787283398,99.9120234604,1344.15131965
010100041106,0.332908809185,94.9267960504,491.07320395
010100041107,1.98851084709,86.4280687645,306.522569619
010100041108,0.846020817757,94.2518089725,620.118321274
010100041109,4.88435649872,87.7321475281,218.397767896
010100041110,10.4610719681,69.5023730764,160.277552048
010100041111,5.20165109634,88.1436607529,184.736796537
010100041112,10.220240593,72.569326429,123.437816218
010100041113,17.9822158813,67.073896184,94.0041539953
010100050101,0.0695785284042,95.0186799502,816.915317559
010100050102,0.725816190243,87.6172125883,407.756069364
010100050201,0.0136219672859,95.7597173145,455.954063604
010100050202,2.85183763504,87.5690365565,242.358621295
010100050203,0.864878416061,76.9498910675,166.040813362
010100050301,0.0923264175653,57.6923076923,121.711538462
010100050302,0.173325762153,94.465648855,465.41221374
010100050303,1.33512794971,89.1409905535,221.94393926
010100050304,2.65196728706,68.7634024303,121.112699547
010100050305,0.50421077013,83.6632422952,204.451265347
010100050306,4.29968309402,68.2440230833,95.382852432
010100050307,5.0573387146,74.6463727355,123.361857887
010100050308,4.22275733948,85.8274231678,333.909026381
010100060101,0.0,None,None
010100060102,0.0,100.0,267.848484848
010100060103,0.0,100.0,793.1
010100060104,0.0,100.0,469.46
010100060105,0.0,None,None
010100060106,0.0,100.0,87.0
010100060107,0.0,100.0,899.333333333
010100060108,0.0,100.0,1264.75609756
010100060109,0.0,100.0,1223.0
010100060201,0.0,None,None
010100060202,0.0,100.0,729.0
010100060203,0.0,100.0,106.666666667
010100060204,0.0,100.0,2114.18181818
010100060205,0.00111919420306,95.2380952381,541.285714286
010100060206,0.0,None,None
010100060207,0.0,None,None
010100060208,0.00231062946841,92.3076923077,519.769230769
010100060305,0.0,100.0,619.782608696
010100060306,0.0,100.0,1159.4
010100060307,0.0,None,None
010100060312,0.0,100.0,501.894736842
010100060313,0.00143765949178,99.1666666667,766.55
010100070101,0.0,100.0,135.714285714
010100070102,0.0,100.0,1276.72058824
010100070103,0.00372397876345,85.7142857143,144.142857143
010100070204,0.0,100.0,615.142857143
010100070205,0.0,100.0,313.246268657
010100070206,0.00442432193086,93.4782608696,677.065217391
010100070207,0.0,100.0,1131.81818182
010100070208,0.0,100.0,1008.2
010100070209,0.0021318779327,90.9090909091,673.909090909
010100070301,0.0,100.0,0.0
010100070302,0.0,100.0,2251.0
010100070303,0.0100577315316,80.0,129.76
010100070304,0.0,100.0,986.583333333
010100070305,0.0,100.0,1809.25
010100070306,0.0,100.0,1630.35714286
010100070401,0.0,100.0,512.636363636
010100070402,0.00491771008819,78.5714285714,726.5
010100070403,0.0419919937849,77.3851590106,156.431095406
010100070404,0.0,100.0,867.0
010100070405,0.0,100.0,965.6
010100070502,0.0,None,None
010100070503,0.0,100.0,573.730769231
010100070504,0.0,100.0,404.0625
010100070505,0.0,100.0,1050.40909091
010100070506,0.0,100.0,954.0
010100070507,0.0125524206087,64.5161290323,188.564516129
010100070601,0.0,100.0,606.0
010100070602,0.0,None,None
010100070603,0.0,100.0,769.117647059
010100070604,0.0,100.0,713.166666667
010100070605,0.00133262260351,98.9795918367,790.37755102
010100070606,0.00153746805154,96.6666666667,676.8
010100070607,0.0620392486453,55.9523809524,194.265873016
010100070701,0.0,100.0,413.0
010100070702,0.0,100.0,538.477272727
010100070703,0.18128234148,68.5964912281,78.9263157895
010100080101,0.00571825355291,94.262295082,742.057377049
010100080102,0.677003920078,57.8396072013,46.8759410802
010100080401,1.37054991722,33.6032388664,20.991902834
010100080403,0.00291738682427,97.5308641975,890.666666667
010100080404,0.0184162054211,96.9696969697,490.62962963
010100080405,0.225804761052,72.8991596639,424.796218487
010100080406,0.0168907940388,91.8238993711,489.031446541
010100080407,0.0,100.0,938.367346939
010100080408,0.0239528138191,93.3884297521,465.380165289
010100080503,1.19915175438,69.6623093682,55.0400326797
010100080504,4.88169765472,54.4054747648,19.8314798973
010100081107,4.9465918541,72.6086145814,76.4535621037
010100081108,6.51406097412,65.3583768938,124.466997431
010100090601,7.06794834137,65.3600691728,165.344204241
010100090603,0.574036240578,93.0934603502,443.627832132
010100090604,3.57527899742,82.505105514,227.775017018
010100090605,5.37203741074,72.4497487437,222.646670854
010100090607,3.66596221924,82.9364565808,103.092209137
010100090608,1.236718297,93.025540275,246.657170923
010100100101,3.86443281174,85.1567498401,215.456758488
010100100102,3.89681196213,78.1052631579,222.575679475
010100100201,9.97064399719,77.4161300072,209.414525841
010100100202,5.13523960114,78.4376466573,171.968599343
010100100203,6.06594467163,80.1908995816,132.255557008
010100100204,3.24009895325,74.459215863,138.509801712
010100100205,1.87958228588,84.3472468917,206.82178804
010100100206,10.7203607559,72.373766686,97.5915136162
010100100207,5.76668548584,69.5,131.296
010100110103,2.01727986336,79.6974985457,410.683281614
010200010101,0.0,100.0,1093.33333333
010200010102,0.0,100.0,412.5
010200010103,0.0,100.0,1742.5
010200010104,0.0,100.0,87.0
010200010105,0.0,100.0,380.655172414
010200010106,0.0024531299714,65.2173913043,275.304347826
010200010201,0.00484374072403,50.0,59.9
010200010202,0.0,None,None
010200010203,0.0,None,None
010200010204,0.0,100.0,770.25
010200010205,0.0,None,None
010200010206,0.0,None,None
010200010207,0.0,None,None
010200010208,0.0,None,None
010200010209,0.0,None,None
010200010210,0.0,100.0,449.408163265
010200010301,0.0,None,None
010200010302,0.00168645440135,96.7032967033,538.252747253
010200010303,0.0,None,None
010200010304,0.00569006241858,80.0,425.8
010200010305,0.00100873562042,99.3055555556,263.722222222
010200010306,0.00316626043059,95.9183673469,347.734693878
010200010307,0.0265463236719,90.6515580737,276.78470255
010200010308,0.00555081991479,98.1794538362,442.011703511
010200010401,0.00365459220484,80.6451612903,314.741935484
010200010402,0.0,100.0,1256.0
010200010403,0.00170453579631,97.4683544304,206.683544304
010200010404,0.00303944433108,97.7142857143,706.291428571
010200010501,0.085397772491,86.8453105968,85.3800243605
010200010502,0.0,100.0,645.666666667
010200010503,0.00757097778842,82.3529411765,430.617647059
010200010504,0.0,100.0,1714.1
010200010505,0.000994470785372,99.4186046512,557.593023256
010200010506,0.0,100.0,645.092307692
010200010507,0.00100222497713,96.5517241379,81.2068965517
010200010508,0.00294048455544,96.7741935484,367.129032258
010200010509,0.0179151576012,94.3791946309,191.758389262
010200010601,0.0205080136657,65.0,92.3
010200010602,0.019113291055,74.0,804.35
010200010701,0.0,None,None
010200010702,0.0,100.0,813.682926829
010200010703,0.0,100.0,117.923076923
010200010704,0.0,100.0,328.038461538
010200010801,0.003145247465,97.9591836735,651.071428571
010200010802,0.0,100.0,0.0
010200010803,0.0,100.0,546.58490566
010200010804,0.0,100.0,141.705882353
010200010805,0.229621127248,75.4807692308,160.302884615
010200010901,0.090622805059,85.4545454545,730.4
010200010902,0.0059710405767,99.4974874372,932.032663317
010200010903,0.0,100.0,606.462686567
010200010904,0.0268098004162,92.4409448819,451.094488189
010200010905,0.00955921411514,98.8607594937,344.609493671
010200010906,0.0,100.0,448.47601476
010200010907,0.087515771389,96.4955175224,535.600651997
010200011001,0.0088048838079,85.0,108.5
010200011002,0.00394782563671,99.6246246246,883.777777778
010200011003,0.00167240865994,99.9217527387,805.86228482
010200011004,0.0390773154795,95.5439056356,382.965923984
010200011005,0.605285167694,77.9569892473,275.82437276
010200011006,0.0311572160572,97.4045801527,940.716030534
010200011007,0.0831854492426,96.8553459119,253.655485674
010200020101,0.0,None,None
010200020102,0.0,100.0,130.5
010200020103,0.0,100.0,826.125
010200020104,0.0,100.0,1814.14249364
010200020105,0.00762261543423,91.6666666667,212.011904762
010200020106,0.0,100.0,296.916666667
010200020107,0.0,100.0,587.0
010200020108,0.00170206977054,0.0,0.0
010200020201,0.0,100.0,436.838709677
010200020202,0.0,100.0,370.495495495
010200020203,0.0,100.0,1018.44117647
010200020204,0.000873797456734,97.4683544304,435.35443038
010200020205,0.0297614615411,91.5074309979,175.887473461
010200020301,0.0828729271889,68.4210526316,324.986842105
010200020302,0.0463350489736,85.5813953488,510.51627907
010200020303,0.0,100.0,1061.6
010200020304,0.0038592654746,98.3957219251,603.320855615
010200020401,0.0,100.0,949.447272727
010200020402,0.00345354550518,97.5460122699,685.834355828
010200020403,0.0,100.0,1159.67605634
010200020404,0.00288900453597,99.2248062016,845.511627907
010200020405,0.00779232336208,98.2926829268,965.904878049
010200020406,0.00507009401917,98.2608695652,1029.22173913
010200020407,0.00328303012066,98.4126984127,613.095238095
010200020408,0.0110124498606,96.3601532567,1003.33333333
010200020501,0.0,100.0,412.235294118
010200020502,0.00293228263035,98.5374771481,765.413162706
010200020503,0.0270897839218,98.6287952987,809.135161606
010200020504,0.0839751139283,96.7618236046,422.202812101
010200020505,0.00116160209291,99.9059266228,718.569143932
010200020506,0.00232180161402,99.8708010336,3691.72351421
010200020507,0.0569625049829,93.6280884265,635.160598179
010200030101,0.0267323255539,83.3333333333,332.587719298
010200030102,0.0,100.0,1193.11842105
010200030103,0.010131883435,98.8505747126,871.469348659
010200030104,0.0431710593402,97.1401334604,1256.26406101
010200030105,0.0522029660642,96.317512275,379.349427169
010200030106,0.108255602419,97.8586095629,771.223525961
010200030107,0.398047089577,93.2012165211,448.543706465
010200030108,0.00244418112561,99.7264021888,1083.0752394
010200030109,0.0119751654565,99.2192192192,1388.39399399
010200030110,0.159030467272,95.4881369117,781.423570595
010200030111,0.0262921489775,96.4601769912,363.625368732
010200030112,0.0236981473863,95.3346855984,643.022312373
010200030113,0.00990425888449,89.6551724138,411.103448276
010200030201,0.0597251020372,97.5989617132,363.171641791
010200030202,1.19647181034,88.5037928329,381.34122417
010200030203,0.107041820884,88.3333333333,8.66666666667
010200030204,0.0223803240806,94.9061662198,676.442359249
010200030205,0.0249789413065,93.07568438,663.452495974
010200030301,0.00518572283909,98.9985693848,979.367668097
010200030302,0.00882476195693,95.2941176471,480.494117647
010200030303,0.0816911906004,91.8181818182,836.830909091
010200030401,0.0374095290899,92.9610238511,549.827225131
010200030402,0.203997537494,88.3307573416,344.467156105
010200030403,0.00888685788959,97.3977695167,385.208178439
010200030404,0.244375377893,90.1971230687,723.452317528
010200030501,0.00170122995041,99.6835443038,562.462025316
010200030502,0.0034343902953,98.8235294118,1112.81470588
010200030503,0.0424475260079,97.338065661,1086.86557232
010200030504,0.00510139018297,99.1596638655,813.474789916
010200030505,0.00477532111108,96.4285714286,712.446428571
010200030506,0.0298799369484,95.5284552846,825.947154472
010200030507,0.0441097691655,92.0,1062.18285714
010200030508,0.0,100.0,710.740932642
010200030509,0.00694058835506,99.6627318718,876.003372681
010200030510,0.0228856764734,87.3563218391,1192.73563218
010200030511,0.0261673182249,96.3971880492,1223.03866432
010200030601,0.562845408916,94.2837465565,348.662534435
010200030602,0.266837090254,96.637809543,755.632373666
010200030603,0.353144913912,94.531835206,486.17917603
010200030604,0.0,100.0,708.578185865
010200030605,0.3526494205,94.6990424077,835.633036936
010200030606,0.0875153169036,73.1457800512,469.439897698
010200030607,0.0571777708828,96.3096960926,602.382778582
010200030701,0.121446564794,94.1558441558,171.149350649
010200030702,0.0607170797884,93.050647821,545.835100118
010200030703,0.0976774469018,96.8699839486,840.185393258
010200030704,0.144109219313,81.1881188119,550.170517052
010200040101,0.0157173387706,95.7264957265,254.329059829
010200040102,0.0,100.0,692.26
010200040103,0.000957551703323,99.1869918699,186.268292683
010200040104,0.0,100.0,563.784246575
010200040105,0.00934594031423,98.4848484848,447.611111111
010200040106,0.140964195132,96.4628600303,547.769580596
010200040107,0.0786588639021,83.3766233766,247.155844156
010200040108,0.0240804292262,82.6086956522,197.913043478
010200040109,0.0468945391476,96.7351874244,657.92140266
010200040110,0.110349759459,95.2872531418,327.25448833
010200040111,0.585434556007,84.2394014963,232.692269327
010200040201,0.494770824909,93.8262476895,224.526247689
010200040202,0.679781973362,92.739237118,457.876087441
010200040203,1.17817997932,87.6607290315,278.03975463
010200040204,0.13660171628,98.3742270098,548.556552962
