HUC_12,Ag_P_balance_kg_ha
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0282793209877
010100020711,0.0108351029179
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.0224819930347
010100030201,0.0
010100030202,0.0
010100030203,0.101465063902
010100030204,0.0
010100030205,0.00683447344136
010100030206,0.00224244852523
010100030207,0.243474983882
010100030301,5.15642463531
010100030302,3.81651053551
010100030303,0.0244082991803
010100030304,6.90971344346
010100030305,4.8237338148
010100030306,0.407398846537
010100030307,0.0
010100030308,0.0
010100030309,0.0
010100030310,0.0791819410953
010100030401,0.450081858593
010100030402,5.9798007719
010100030403,3.49995504295
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.00928016854569
010100040503,0.0
010100040504,0.0
010100040505,0.13416721128
010100040506,0.0130397188666
010100040601,0.0
010100040602,0.0
010100040603,0.0
010100040604,0.0
010100040605,0.00794288310962
010100040606,0.294777610968
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.156752882445
010100040901,0.571538278762
010100040902,0.0
010100040903,0.114378745007
010100040904,1.55129319106
010100040905,0.0657076319307
010100040906,0.00552516145347
010100040907,0.0816467846583
010100040908,0.0
010100040909,1.23170197072
010100041001,4.34884471367
010100041002,0.0
010100041003,0.0
010100041004,0.00522097045762
010100041005,0.205258345671
010100041006,2.13950254642
010100041007,4.65382622613
010100041008,3.55423154807
010100041009,9.4073435081
010100041101,5.68585063517
010100041102,7.32421740795
010100041103,0.169029357197
010100041104,0.525374132864
010100041105,0.103707534702
010100041106,1.22150973482
010100041107,2.55970322857
010100041108,3.44790153204
010100041109,7.38282029383
010100041110,8.17196096796
010100041111,8.2171414606
010100041112,7.29232355156
010100041113,10.5004652073
010100050101,0.374370834928
010100050102,1.98223599186
010100050201,0.0
010100050202,6.69015635279
010100050203,1.59640468312
010100050301,0.0
010100050302,1.35038717632
010100050303,4.25722587836
010100050304,2.75121164451
010100050305,1.30695461716
010100050306,5.3458762429
010100050307,6.04321330508
010100050308,6.76942732225
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,0.295254252693
010100080401,0.181420621215
010100080403,0.0
010100080404,0.0
010100080405,0.0
010100080406,0.0
010100080407,0.00567671322615
010100080408,0.0
010100080503,0.629162029433
010100080504,2.29498796333
010100081107,3.29459644236
010100081108,3.61788452158
010100090601,3.35675391128
010100090603,1.39405329164
010100090604,6.44511843153
010100090605,3.92070433093
010100090607,4.06340687199
010100090608,3.13451070747
010100100101,6.19196577267
010100100102,4.89186274304
010100100201,9.8351966584
010100100202,5.10050295228
010100100203,7.98308390199
010100100204,2.75690840831
010100100205,3.30675344815
010100100206,8.25673518929
010100100207,5.19859462993
010100110103,2.67570760882
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,3.86129132598e-05
010200010905,0.00104130811985
010200010906,0.0
010200010907,0.000180725721158
010200011001,0.0
010200011002,0.0
010200011003,0.0
010200011004,0.0
010200011005,0.00367256493417
010200011006,0.000311981997939
010200011007,0.00642731981022
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,0.00244161107864
010200020403,0.0
010200020404,0.0
010200020405,0.0
010200020406,0.0
010200020407,7.51070830798e-05
010200020408,4.18580772516e-05
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,0.0179718629113
010200020505,0.00330650216314
010200020506,0.000677721454343
010200020507,0.000817171837709
010200030101,0.0
010200030102,0.0127120255997
010200030103,0.121155937479
010200030104,0.206316240983
010200030105,0.327891584527
010200030106,1.48767349304
010200030107,0.625071533784
010200030108,0.273060469141
010200030109,0.379959696326
010200030110,1.2601011377
010200030111,0.0947901404897
010200030112,0.0
010200030113,0.0
010200030201,0.612070810152
010200030202,3.10377037312
010200030203,0.163508429276
010200030204,0.0862408328662
010200030205,0.0382391968766
010200030301,0.0888853166756
010200030302,0.0140991081671
010200030303,0.108972638161
010200030401,-0.00287635189628
010200030402,-0.0743647285066
010200030403,-0.00895005092582
010200030404,0.366559720914
010200030501,0.0
010200030502,0.0133076040105
010200030503,0.0146625164673
010200030504,0.0543272786392
010200030505,0.0
010200030506,0.0714263504513
010200030507,0.0
010200030508,0.0003265411379
010200030509,0.0190380661345
010200030510,0.0
010200030511,0.0207273621917
010200030601,0.422648656053
010200030602,1.49561213835
010200030603,1.86831339552
010200030604,0.276012548897
010200030605,1.52832704858
010200030606,0.0293971380903
010200030607,0.261880004332
010200030701,0.0191633186708
010200030702,0.0079959510454
010200030703,0.0205641124628
010200030704,0.00334820007899
010200040101,0.0
010200040102,0.000747400403
010200040103,0.00495100278924
010200040104,0.00131671238987
010200040105,0.00860732961255
010200040106,0.0674150733801
010200040107,0.00542962068536
010200040108,0.000857180537632
010200040109,0.00832898650539
010200040110,0.0282030807387
010200040111,0.0487352581726
010200040201,0.120788738359
010200040202,0.118917122076
010200040203,0.148834645316
010200040204,0.156911080559
010200040205,0.206131627628
010200040301,0.0
010200040302,0.0
010200040303,0.00018380866804
010200040304,0.00683050558146
010200040305,0.0401848887538
010200040306,0.00189692404418
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.00405781601748
010200040312,0.0363200488974
010200040401,0.0
010200040402,0.0
010200040403,0.000192298523472
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.00468554258024
010200040409,0.00448436018812
010200040410,0.0616121033158
010200040501,0.000980693503934
010200040502,0.0
010200040503,0.0
010200040504,5.88315808936e-05
010200040601,0.0238563015226
010200040602,0.000740391941967
010200040603,0.0
010200040604,0.0083271820296
010200050101,0.512091450832
010200050102,0.0
010200050103,0.00772941924781
010200050104,0.0033838108713
010200050201,0.0326568909135
010200050202,0.0248427181358
010200050203,0.00849938721239
010200050204,0.00232543555346
010200050205,0.0123830999304
010200050206,0.000230866960467
010200050207,0.00100779207825
010200050208,0.0164638666671
010200050301,0.0092660584872
010200050302,0.0
010200050303,0.000767596100101
010200050304,0.0
010200050305,-0.00190712475567
010200050306,0.00159319880664
010200050307,0.0041233352578
010200050308,0.00386049846111
010200050309,0.00072843846028
010200050310,0.00844510830911
010200050311,0.00227618117104
010200050401,0.00318203864139
010200050402,0.00441036479772
010200050403,0.000131272568362
010200050404,0.00164775469995
010200050405,0.000737238488673
010200050406,-0.00142034562337
010200050407,0.00105185377304
010200050408,0.00337168811747
010200050501,0.0163276355388
010200050502,0.0122167384093
010200050503,0.051439177653
010200050504,0.0119255341944
010200050505,0.081436714767
010200050506,0.0705853500766
010200050507,0.0105219699493
010200050508,0.00914055932247
010200050509,0.00971031107312
010200050510,0.0198173877371
