HUC_12,MeanPrecip
010100020101,41.6795005798
010100020102,40.9891014099
010100020103,41.2673988342
010100020104,40.3432998657
010100020105,40.9039993286
010100020201,40.0726013184
010100020202,40.8643989563
010100020203,41.4911994934
010100020204,40.2070999146
010100020301,43.2291984558
010100020302,42.9574012756
010100020303,40.6506004333
010100020304,38.9217987061
010100020305,38.3420982361
010100020306,39.0
010100020307,39.6613006592
010100020308,38.0632019043
010100020401,40.9199981689
010100020402,38.9454994202
010100020403,39.3629989624
010100020404,41.0758018494
010100020405,41.0577011108
010100020406,38.1590995789
010100020501,42.1110992432
010100020502,42.4249992371
010100020503,43.1053009033
010100020504,43.292098999
010100020505,41.5914001465
010100020601,41.6199989319
010100020602,42.6530990601
010100020701,40.875
010100020702,41.2727012634
010100020703,42.5
010100020704,40.417098999
010100020705,42.9230995178
010100020706,42.8235015869
010100020707,41.7429008484
010100020708,42.0587997437
010100020709,41.8713989258
010100020710,41.0769004822
010100020711,40.4241981506
010100030101,43.5591011047
010100030102,41.4864997864
010100030103,43.4182014465
010100030104,42.8889007568
010100030105,41.0587997437
010100030201,40.7020988464
010100030202,40.7659988403
010100030203,40.620098114
010100030204,42.625
010100030205,41.7901000977
010100030206,42.8681983948
010100030207,41.2430992126
010100030301,41.7750015259
010100030302,42.1086006165
010100030303,41.7000007629
010100030304,42.0131988525
010100030305,41.5106010437
010100030306,41.1333007812
010100030307,40.6341018677
010100030308,41.012298584
010100030309,40.8405990601
010100030310,41.2775993347
010100030401,42.3736991882
010100030402,41.3833007812
010100030403,40.5765991211
010100040101,42.358001709
010100040102,42.0
010100040103,42.0
010100040104,41.9361991882
010100040201,43.0514984131
010100040202,42.9385986328
010100040203,42.6310997009
010100040301,42.7391014099
010100040302,42.8148002625
010100040303,43.3222999573
010100040304,43.4906005859
010100040305,42.1557998657
010100040306,42.0499992371
010100040401,41.40650177
010100040402,41.8525009155
010100040501,42.1474990845
010100040502,42.0854988098
010100040503,41.5681991577
010100040504,40.8400001526
010100040505,39.5127983093
010100040506,40.3237991333
010100040601,40.9880981445
010100040602,40.2653007507
010100040603,40.8461990356
010100040604,39.7593002319
010100040605,40.3111000061
010100040606,39.2652015686
010100040701,43.2168006897
010100040702,42.4939002991
010100040703,43.1371002197
010100040801,41.245098114
010100040802,41.3800010681
010100040803,39.4782981873
010100040804,40.9390983582
010100040805,40.9436988831
010100040901,39.0416984558
010100040902,40.3722991943
010100040903,39.7447013855
010100040904,38.9662017822
010100040905,40.943901062
010100040906,40.3713989258
010100040907,39.7560997009
010100040908,39.6067008972
010100040909,39.2611999512
010100041001,39.5900993347
010100041002,40.6932983398
010100041003,41.0425987244
010100041004,40.0870018005
010100041005,38.6897010803
010100041006,38.1818008423
010100041007,38.4480018616
010100041008,37.1851997375
010100041009,38.567199707
010100041101,39.2799987793
010100041102,39.0369987488
010100041103,41.1455993652
010100041104,40.3116989136
010100041105,41.3333015442
010100041106,41.2391014099
010100041107,40.7058982849
010100041108,40.1474990845
010100041109,39.4914016724
010100041110,40.8198318481
010100041111,41.3219985962
010100041112,40.7560005188
010100041113,40.0989990234
010100050101,42.2839622498
010100050102,41.013999939
010100050201,42.0878982544
010100050202,41.0
010100050203,41.6525993347
010100050301,41.8889007568
010100050302,41.8198013306
010100050303,40.5699005127
010100050304,40.9375
010100050305,41.4000015259
010100050306,41.0
010100050307,40.2229995728
010100050308,40.9113006592
010100060101,47.0644989014
010100060102,45.5914993286
010100060103,44.9454994202
010100060104,45.0111999512
010100060105,44.9508018494
010100060106,44.9216003418
010100060107,44.5570983887
010100060108,46.0
010100060109,45.077999115
010100060201,46.8223991394
010100060202,46.1575012207
010100060203,46.7882003784
010100060204,46.2792015076
010100060205,46.0108985901
010100060206,44.0615005493
010100060207,44.0480995178
010100060208,45.2365989685
010100060305,46.9564781189
010100060306,47.1110992432
010100060307,46.1944046021
010100060312,46.0369987488
010100060313,45.5498924255
010100070101,42.9090995789
010100070102,45.0447998047
010100070103,41.9057998657
010100070204,42.0
010100070205,42.384601593
010100070206,44.9079017639
010100070207,45.033000946
010100070208,42.8456001282
010100070209,41.9709014893
010100070301,42.0
010100070302,43.8305015564
010100070303,42.0606002808
010100070304,44.2521018982
010100070305,44.7243995667
010100070306,41.8348999023
010100070401,42.1343002319
010100070402,39.7778015137
010100070403,41.018901825
010100070404,41.3737983704
010100070405,42.2626991272
010100070502,47.5999984741
010100070503,43.574798584
010100070504,46.6304016113
010100070505,43.2837982178
010100070506,42.7722015381
