HUC_12,BG_Demand
010100020101,193.684657276
010100020102,131.876816332
010100020103,205.000030637
010100020104,99.9436492324
010100020105,349.578471959
010100020201,198.349800229
010100020202,149.022340834
010100020203,152.075541258
010100020204,302.847254038
010100020301,45.9132664055
010100020302,42.2204605639
010100020303,90.5348143429
010100020304,205.151392147
010100020305,111.241156399
010100020306,72.5000230968
010100020307,93.0577239692
010100020308,147.003047228
010100020401,194.236039877
010100020402,96.4547465742
010100020403,269.54129687
010100020404,149.169494212
010100020405,112.118276179
010100020406,89.6586768627
010100020501,309.842584074
010100020502,337.121451259
010100020503,170.063139856
010100020504,284.533110559
010100020505,256.349769294
010100020601,220.953031182
010100020602,977.987485051
010100020701,71.8280895948
010100020702,88.3781225681
010100020703,159.170464993
010100020704,391.943538845
010100020705,296.141471624
010100020706,123.534916997
010100020707,103.650500417
010100020708,131.659279287
010100020709,230.792698503
010100020710,168.369853914
010100020711,814.310045183
010100030101,417.500259161
010100030102,597.166535378
010100030103,248.541421413
010100030104,370.513076782
010100030105,279.882042885
010100030201,284.595183611
010100030202,328.224456906
010100030203,1178.3502357
010100030204,498.424935818
010100030205,1058.79737937
010100030206,804.114947438
010100030207,1006.83056867
010100030301,344.939641953
010100030302,2031.30682516
010100030303,357.223300219
010100030304,696.393320322
010100030305,399.820569992
010100030306,525.675009727
010100030307,359.094311476
010100030308,671.281247377
010100030309,1181.64553165
010100030310,2299.99782014
010100030401,1331.27420139
010100030402,523.129127026
010100030403,1123.79548311
010100040101,228.216764271
010100040102,426.024371862
010100040103,270.170320749
010100040104,191.494003177
010100040201,425.501448691
010100040202,367.820710421
010100040203,379.742793739
010100040301,364.748023033
010100040302,236.865433693
010100040303,427.420242012
010100040304,204.735830843
010100040305,363.106984615
010100040306,412.839970589
010100040401,668.609139204
010100040402,730.05378592
010100040501,794.73095715
010100040502,833.132343054
010100040503,630.113958359
010100040504,355.832515597
010100040505,889.867575049
010100040506,1392.62024534
010100040601,433.631497264
010100040602,265.809775949
010100040603,745.18099916
010100040604,326.722078681
010100040605,292.606636763
010100040606,875.243874431
010100040701,527.266286612
010100040702,727.058567882
010100040703,538.332716584
010100040801,528.548568726
010100040802,294.020125508
010100040803,280.500553489
010100040804,687.277621269
010100040805,1298.9783746
010100040901,1932.05796301
010100040902,617.024275541
010100040903,673.172253847
010100040904,1827.21857941
010100040905,857.221128345
010100040906,545.899502993
010100040907,334.097444773
010100040908,765.637469769
010100040909,1200.52252531
010100041001,1585.23440933
010100041002,576.980095863
010100041003,379.351269007
010100041004,608.259855747
010100041005,762.40926218
010100041006,492.412187099
010100041007,1193.9992342
010100041008,1334.72262096
010100041009,2806.63452148
010100041101,1562.05251479
