HUC_12,BMass_Tons
010100020101,652966.92
010100020102,832387.86
010100020103,689700.6
010100020104,515818.26
010100020105,1108735.74
010100020201,979702.92
010100020202,432488.79
010100020203,453351.78
010100020204,939372.48
010100020301,429806.88
010100020302,486766.08
010100020303,568595.61
010100020304,1400160.96
010100020305,522232.47
010100020306,441737.91
010100020307,591172.56
010100020308,728257.95
010100020401,541606.14
010100020402,429792.57
010100020403,872325.45
010100020404,380395.89
010100020405,390637.71
010100020406,316975.05
010100020501,712230.84
010100020502,989456.76
010100020503,515813.94
010100020504,852138.09
010100020505,758020.68
010100020601,465833.61
010100020602,2494494.54
010100020701,371434.68
010100020702,438528.15
010100020703,803572.65
010100020704,1684332.63
010100020705,794241.18
010100020706,519148.35
010100020707,303751.35
010100020708,437395.41
010100020709,572246.37
010100020710,558477.99
010100020711,2572932.42
010100030101,1061841.06
010100030102,891975.6
010100030103,585358.83
010100030104,831166.74
010100030105,397685.25
010100030201,382985.37
010100030202,365267.7
010100030203,1385514.18
010100030204,991261.35
010100030205,1728676.08
010100030206,1561410.9
010100030207,1078051.32
010100030301,184317.21
010100030302,1293504.12
010100030303,291965.22
010100030304,369858.6
010100030305,280740.96
010100030306,367014.15
010100030307,339703.74
010100030308,641220.84
010100030309,861773.22
010100030310,2623630.95
010100030401,2229408.0
010100030402,343743.39
010100030403,886586.31
010100040101,683220.06
010100040102,1055731.41
010100040103,552521.97
010100040104,444943.8
010100040201,1318072.86
010100040202,1134513.27
010100040203,951429.24
010100040301,858896.28
010100040302,454403.88
010100040303,1174983.48
010100040304,571295.43
010100040305,839371.95
010100040306,940389.48
010100040401,1061495.1
010100040402,1065200.13
010100040501,985157.1
010100040502,1030878.54
010100040503,739779.12
010100040504,400871.52
010100040505,1063704.69
010100040506,1703632.77
010100040601,826891.02
010100040602,443878.38
010100040603,1356710.4
010100040604,426133.35
010100040605,368289.36
010100040606,960874.11
010100040701,1370763.09
010100040702,1593039.24
010100040703,1076254.29
010100040801,992321.37
010100040802,499972.77
010100040803,431052.21
010100040804,1071669.42
010100040805,2046571.65
010100040901,1854954.54
010100040902,809983.44
010100040903,808287.93
010100040904,1666059.48
010100040905,960329.88
010100040906,558942.48
010100040907,366203.61
010100040908,777125.61
010100040909,1145339.55
010100041001,1015917.03
010100041002,628684.83
010100041003,376663.59
010100041004,609603.75
010100041005,844805.52
010100041006,439034.22
010100041007,824110.2
010100041008,784179.0
010100041009,862747.47
010100041101,752301.99
010100041102,213291.9
010100041103,717981.84
010100041104,1112670.36
010100041105,642699.81
010100041106,748859.13
010100041107,496708.2
010100041108,835990.02
010100041109,450031.59
010100041110,343647.54
010100041111,71841.87
010100041112,577786.95
010100041113,444082.77
010100050101,411685.02
010100050102,914879.97
010100050201,1592008.56
010100050202,240577.11
010100050203,1560032.01
010100050301,481051.35
010100050302,771638.76
010100050303,550780.92
010100050304,362757.15
010100050305,990115.74
010100050306,247835.25
010100050307,566306.1
010100050308,150978.33
010100060101,520855.74
010100060102,467913.78
010100060103,906922.53
010100060104,2061174.51
010100060105,506754.18
010100060106,391255.11
010100060107,525751.47
010100060108,1350763.29
010100060109,1326576.78
010100060201,375296.4
010100060202,398035.26
010100060203,113287.77
010100060204,1148037.66
010100060205,601626.24
010100060206,404470.98
010100060207,824628.51
010100060208,1039865.94
010100060305,77322.96
010100060306,25823.52
010100060307,10949.85
010100060312,176386.68
010100060313,912262.77
010100070101,812819.43
010100070102,427024.71
010100070103,1142817.3
010100070204,21106.98
010100070205,171466.74
010100070206,472494.42
010100070207,302005.08
010100070208,831514.68
010100070209,697850.91
010100070301,143403.75
010100070302,127496.16
010100070303,441897.93
010100070304,816890.85
010100070305,1004593.86
010100070306,803272.14
010100070401,521642.43
010100070402,495294.39
010100070403,1362164.13
010100070404,859589.82
010100070405,975792.96
010100070502,8464.05
010100070503,925625.25
010100070504,289794.78
010100070505,507781.8
010100070506,558122.67
010100070507,1754633.43
010100070601,104886.45
010100070602,198434.88
010100070603,501481.44
010100070604,318704.49
010100070605,715406.85
010100070606,623575.08
010100070607,1816113.69
010100070701,511483.14
010100070702,546694.65
010100070703,1025232.03
010100080101,1221765.75
010100080102,1905229.44
010100080401,139374.81
010100080403,1339150.77
010100080404,548189.91
010100080405,625643.1
010100080406,838638.27
010100080407,1119762.18
010100080408,358901.73
010100080503,935473.68
010100080504,267052.68
010100081107,412379.46
010100081108,345599.46
010100090601,775280.52
010100090603,1653845.22
010100090604,154913.76
010100090605,541755.18
010100090607,454403.25
010100090608,115171.65
010100100101,241385.13
010100100102,161076.15
010100100201,299662.2
010100100202,645220.98
010100100203,238698.9
010100100204,558476.46
010100100205,812631.96
010100100206,212026.59
010100100207,30839.13
010100110103,332766.27
010200010101,475450.02
010200010102,470701.62
010200010103,944666.19
010200010104,1185935.58
010200010105,749285.73
010200010106,3004040.7
010200010201,619077.51
010200010202,370576.89
010200010203,355817.34
010200010204,1171749.69
010200010205,651995.64
010200010206,595748.07
010200010207,773847.09
010200010208,259738.56
010200010209,522139.59
010200010210,1013626.98
010200010301,681133.05
010200010302,1520729.01
010200010303,397361.88
010200010304,257544.27
010200010305,768282.48
010200010306,461122.56
010200010307,602701.47
010200010308,1613602.89
010200010401,1650518.1
010200010402,578175.57
010200010403,1245172.23
010200010404,1337040.63
010200010501,1005922.17
010200010502,526480.38
010200010503,595115.64
010200010504,295325.55
010200010505,716642.64
010200010506,532871.91
010200010507,771064.2
010200010508,453528.27
010200010509,2808157.5
010200010601,322445.34
010200010602,1155777.12
010200010701,270747.09
010200010702,1271120.94
010200010703,839548.26
010200010704,404911.35
010200010801,582609.96
010200010802,292054.95
010200010803,407803.5
010200010804,310793.67
010200010805,391651.56
010200010901,423246.24
010200010902,341616.06
010200010903,671559.84
010200010904,1739254.5
010200010905,1425576.51
010200010906,416860.38
010200010907,377030.7
010200011001,358557.48
010200011002,1265175.72
010200011003,510503.4
010200011004,708336.18
010200011005,636082.56
010200011006,386771.76
010200011007,872952.48
010200020101,479837.7
010200020102,1668956.13
010200020103,584924.67
010200020104,343943.1
010200020105,1763769.6
010200020106,1037182.86
010200020107,597105.27
010200020108,631215.81
010200020201,828391.86
010200020202,646133.94
010200020203,392306.13
010200020204,2688357.06
010200020205,1485620.19
010200020301,538731.54
010200020302,734449.32
010200020303,554954.76
010200020304,751539.06
010200020401,977009.22
010200020402,1169014.41
010200020403,421297.02
010200020404,313171.47
010200020405,814667.22
010200020406,676898.82
010200020407,926796.87
010200020408,1645424.01
010200020501,549955.89
010200020502,3061654.74
010200020503,446505.03
010200020504,781537.86
010200020505,654182.82
010200020506,328800.69
010200020507,1434857.31
010200030101,742298.85
010200030102,414670.05
010200030103,545883.12
010200030104,612769.5
010200030105,781260.3
010200030106,539879.49
010200030107,1298229.57
010200030108,755232.21
010200030109,993625.83
010200030110,617895.18
010200030111,433513.08
010200030112,731330.37
010200030113,562733.46
010200030201,1065730.14
010200030202,484844.31
010200030203,135309.87
010200030204,639755.19
010200030205,1472341.32
010200030301,1020068.82
010200030302,392365.17
010200030303,928237.86
010200030401,2641211.28
010200030402,1239220.53
010200030403,687975.84
010200030404,620099.64
010200030501,467973.45
010200030502,1007858.34
010200030503,1149862.32
010200030504,345541.32
010200030505,370369.71
010200030506,315124.92
010200030507,246329.1
010200030508,461092.86
010200030509,482936.58
010200030510,427690.08
010200030511,1290030.84
010200030601,415731.78
010200030602,467743.32
010200030603,801387.72
010200030604,806737.86
010200030605,367964.64
010200030606,945097.92
010200030607,1399829.94
010200030701,182599.92
010200030702,776217.15
010200030703,940332.96
010200030704,985197.42
010200040101,453943.71
010200040102,342510.93
010200040103,858960.81
010200040104,391962.87
010200040105,560136.6
010200040106,407156.49
010200040107,800280.9
010200040108,301220.64
010200040109,514748.07
010200040110,897123.6
010200040111,967330.8
010200040201,603846.0
010200040202,860913.18
010200040203,780478.47
010200040204,1088407.53
010200040205,1168021.8
010200040301,883393.74
010200040302,839823.84
010200040303,328977.63
010200040304,488325.87
010200040305,592869.6
010200040306,741274.83
010200040307,1345744.17
010200040308,682973.1
010200040309,471148.29
010200040310,541910.43
010200040311,1562619.96
010200040312,642168.54
010200040401,1164742.92
010200040402,1339357.32
010200040403,839249.64
010200040404,671217.48
010200040405,727638.93
010200040406,512506.89
010200040407,799430.67
010200040408,735352.38
010200040409,1644625.98
010200040410,900879.03
010200040501,1191214.44
010200040502,958254.75
010200040503,1035313.92
010200040504,296682.48
010200040601,1292346.18
010200040602,693121.59
010200040603,308345.4
010200040604,1276233.3
010200050101,882338.4
010200050102,522058.32
010200050103,1093648.5
010200050104,1088353.35
010200050201,860719.32
010200050202,368614.44
010200050203,486145.98
010200050204,1113361.38
010200050205,693667.26
010200050206,978459.48
010200050207,951742.44
010200050208,864980.37
010200050301,518621.76
010200050302,435627.0
010200050303,946313.01
010200050304,392748.3
010200050305,1483005.69
010200050306,1153581.3
010200050307,1239494.49
010200050308,389008.08
010200050309,404463.96
010200050310,925844.4
010200050311,987928.02
010200050401,613068.75
010200050402,1326364.92
010200050403,474837.84
010200050404,540342.81
010200050405,1005681.78
010200050406,539548.02
