HUC_12,BW_Demand
010100020101,101.910393506
010100020102,76.2453654706
010100020103,108.976488888
010100020104,57.2096211612
010100020105,191.493087947
010100020201,112.965444535
010100020202,78.3789704144
010100020203,78.9337067008
010100020204,164.782274693
010100020301,27.6653688401
010100020302,25.8305435255
010100020303,53.8960663825
010100020304,120.143966518
010100020305,63.3063638955
010100020306,40.9009396583
010100020307,51.6034321338
010100020308,81.8042920083
010100020401,101.453812718
010100020402,53.5051979274
010100020403,145.256077945
010100020404,79.0720862746
010100020405,59.2129039168
010100020406,48.8023953736
010100020501,157.520246267
010100020502,171.975103229
010100020503,85.190782845
010100020504,142.080801219
010100020505,130.872702956
010100020601,105.179193854
010100020602,473.873498708
010100020701,39.091653496
010100020702,47.5701473802
010100020703,83.9233040214
010100020704,205.079196781
010100020705,147.989030123
010100020706,63.0158288777
010100020707,51.6480799317
010100020708,66.3036021292
010100020709,113.434296042
010100020710,83.0316462815
010100020711,405.055755287
010100030101,198.468476057
010100030102,281.081103027
010100030103,117.359724641
010100030104,174.451305449
010100030105,131.179899395
010100030201,133.354169309
010100030202,153.758962572
010100030203,554.296178401
010100030204,233.510651588
010100030205,494.941240489
010100030206,376.774828672
010100030207,472.09001708
010100030301,163.032885432
010100030302,964.942779183
010100030303,167.618228793
010100030304,329.853827477
010100030305,188.225320101
010100030306,246.177111983
010100030307,171.418931127
010100030308,316.636755347
010100030309,553.554991484
010100030310,1078.8570022
010100030401,630.162424505
010100030402,254.881866097
010100030403,543.327648699
010100040101,115.345732808
010100040102,211.233421713
010100040103,130.580810398
010100040104,92.1488823593
010100040201,215.343866587
010100040202,185.041671842
010100040203,185.824099034
010100040301,176.267254263
010100040302,112.896280587
010100040303,210.936059147
010100040304,99.9105900228
010100040305,172.277879417
010100040306,198.378798485
010100040401,314.401574254
010100040402,343.625842392
010100040501,378.852850139
010100040502,405.330856562
010100040503,302.449370563
010100040504,170.17999357
010100040505,430.473911583
010100040506,661.356864691
010100040601,204.772687614
010100040602,124.941301882
010100040603,352.657115698
010100040604,153.588858306
010100040605,137.668019116
010100040606,414.402674317
010100040701,257.653941125
010100040702,347.748174101
010100040703,256.801607966
010100040801,249.051742196
010100040802,138.228992522
010100040803,132.272811055
010100040804,323.861188531
010100040805,614.130918562
010100040901,960.099608183
010100040902,291.686162412
010100040903,321.602406025
010100040904,899.116649568
