TRFIPS,Bus_2010_u,Bus_2011_u,Bus_2012_u,Bus_2013_u,Bus_2014_u
11001002201,0,0,2,3,4
11001002202,0,0,0,0,0
11001002301,0,1,1,1,1
11001002302,0,0,0,0,2
11001002400,5,8,6,6,5
11001002501,2,3,3,3,3
11001002502,6,10,6,6,5
11001002600,1,1,1,1,1
11001002701,1,1,1,1,1
11001002702,3,6,6,6,6
11001002801,1,4,2,3,2
11001002802,0,4,5,8,8
11001002900,11,15,14,10,10
11001003000,0,2,2,2,2
11001003100,15,19,17,15,10
11001003200,1,5,5,5,5
11001003301,1,1,0,0,0
11001003302,3,4,4,4,3
11001003400,13,17,17,17,14
11001003500,7,11,11,10,9
11001003600,2,2,2,2,2
11001003700,1,1,1,1,2
11001003800,10,20,19,16,11
11001003900,2,1,2,1,2
11001004001,0,2,2,2,0
11001004002,8,12,13,12,20
11001004100,7,7,7,9,7
11001004201,4,5,5,4,4
11001004202,10,19,23,17,15
11001004300,3,7,25,22,15
11001004400,27,39,37,32,26
11001004600,12,12,11,12,13
11001004801,14,20,12,12,5
11001004802,3,3,3,2,1
11001004901,4,4,4,4,3
11001004902,8,19,19,19,17
11001010100,109,165,184,276,262
11001005301,5,16,19,21,15
11001010700,200,349,333,360,423
11001005600,3,15,12,21,11
11001010800,8,19,20,16,18
11001005800,84,121,151,215,186
11001005900,10,13,16,23,15
11001006400,1,1,1,1,1
11001010200,39,32,42,29,45
11001000300,5,7,7,4,4
11001006202,7,8,20,36,38
11001011000,0,0,0,0,0
11001006500,10,8,8,6,7
11001006700,2,2,2,1,0
11001006600,8,8,8,7,5
11001007000,8,7,7,7,8
11001006801,0,0,0,0,0
11001006802,1,1,2,2,2
11001006804,2,2,2,2,2
11001006900,6,6,6,6,5
11001007403,2,3,5,5,5
11001007100,15,12,13,13,8
11001007200,6,6,6,5,4
11001007301,0,0,0,3,3
11001007304,3,4,4,8,8
11001007401,2,5,4,4,4
11001007404,2,4,4,4,4
11001007406,0,0,0,0,0
11001007407,3,3,3,3,3
11001007408,1,1,1,1,2
11001007409,1,1,2,2,1
11001007502,1,1,1,1,1
11001007503,10,26,26,27,24
11001007504,3,4,4,4,5
11001007601,6,7,8,8,10
11001007603,1,1,1,1,1
11001007604,7,10,10,10,10
11001007605,2,2,2,4,0
11001007703,0,0,0,0,0
11001007707,3,4,4,5,4
11001007708,0,0,0,0,0
11001008301,33,26,18,23,22
11001008302,3,1,2,3,3
11001008402,14,19,16,17,18
11001008410,22,29,21,23,23
11001010600,69,71,74,81,64
11001008701,6,6,5,5,5
11001008702,3,1,1,4,4
11001008802,6,9,9,9,13
11001008803,22,35,33,32,28
11001009904,1,1,1,1,2
11001009905,2,2,2,2,2
11001009906,0,0,1,0,0
11001009907,0,0,0,0,0
11001005500,23,34,43,39,42
11001005002,1,4,5,6,6
11001005001,0,1,1,1,1
11001004701,7,7,7,10,9
11001004702,4,7,6,11,12
11001008804,9,11,11,12,14
11001008903,6,7,9,9,3
11001008904,4,5,3,5,4
11001011100,48,70,56,39,34
11001009801,2,2,1,1,1
11001009201,3,3,3,3,10
11001009811,1,1,1,1,1
11001009810,1,2,2,2,2
11001009102,12,14,14,13,13
11001009204,16,16,16,17,16
11001009203,0,0,0,1,1
