HUC_12,WSfrq,CERA_per_km2
010100020101,0,0.0
010100020102,0,0.0
010100020103,0,0.0
010100020104,0,0.0
010100020105,0,0.0
010100020201,0,0.0
010100020202,0,0.0
010100020203,0,0.0
010100020204,0,0.0
010100020301,0,0.0
010100020302,0,0.0
010100020303,0,0.0
010100020304,0,0.0
010100020305,0,0.0
010100020306,0,0.0
010100020307,0,0.0
010100020308,0,0.0
010100020401,0,0.0
010100020402,0,0.0
010100020403,0,0.0
010100020404,0,0.0
010100020405,0,0.0
010100020406,0,0.0
010100020501,0,0.0
010100020502,0,0.0
010100020503,0,0.0
010100020504,0,0.0
010100020505,0,0.0
010100020601,0,0.0
010100020602,0,0.0
010100020701,0,0.0
010100020702,0,0.0
010100020703,0,0.0
010100020704,0,0.0
010100020705,0,0.0
010100020706,0,0.0
010100020707,0,0.0
010100020708,0,0.0
010100020709,0,0.0
010100020710,0,0.0
010100020711,2,0.00869467388839
010100030101,0,0.0
010100030102,0,0.0
010100030103,0,0.0
010100030104,0,0.0
010100030105,0,0.0
010100030201,0,0.0
010100030202,0,0.0
010100030203,0,0.0
010100030204,0,0.0
010100030205,0,0.0
010100030206,0,0.0
010100030207,0,0.0
010100030301,3,0.0893638208508
010100030302,41,0.209575608373
010100030303,1,0.0293732527643
010100030304,11,0.162331536412
010100030305,8,0.19632358849
010100030306,0,0.0
010100030307,0,0.0
010100030308,0,0.0
010100030309,0,0.0
010100030310,8,0.0309849400073
010100030401,2,0.0113325538114
010100030402,11,0.209060803056
010100030403,13,0.109311178327
010100040101,0,0.0
010100040102,0,0.0
010100040103,0,0.0
010100040104,0,0.0
010100040201,0,0.0
010100040202,0,0.0
010100040203,0,0.0
010100040301,0,0.0
010100040302,0,0.0
010100040303,0,0.0
010100040304,0,0.0
010100040305,0,0.0
010100040306,0,0.0
010100040401,0,0.0
010100040402,0,0.0
010100040501,0,0.0
010100040502,0,0.0
010100040503,0,0.0
010100040504,0,0.0
010100040505,0,0.0
010100040506,0,0.0
010100040601,0,0.0
010100040602,0,0.0
010100040603,0,0.0
010100040604,0,0.0
010100040605,0,0.0
010100040606,7,0.0594301074743
010100040701,0,0.0
010100040702,0,0.0
010100040703,0,0.0
010100040801,0,0.0
010100040802,0,0.0
010100040803,0,0.0
010100040804,0,0.0
010100040805,4,0.019988225773
010100040901,9,0.0428111478686
010100040902,1,0.012178549543
010100040903,2,0.0238541197032
010100040904,35,0.169998705387
010100040905,0,0.0
010100040906,0,0.0
010100040907,0,0.0
010100040908,0,0.0
010100040909,5,0.0436283163726
010100041001,17,0.118128560483
010100041002,0,0.0
010100041003,0,0.0
010100041004,0,0.0
010100041005,0,0.0
010100041006,2,0.0421962477267
