HUC_12,Crop_P_removal_kg_ha
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0116580016677
010100020711,0.00446671431544
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.00926808364334
010100030201,0.0
010100030202,0.0
010100030203,0.0418284401062
010100030204,0.0
010100030205,0.00281747580897
010100030206,0.000924437636187
010100030207,0.100371284352
010100030301,2.12570899506
010100030302,1.57333643927
010100030303,0.0100621932427
010100030304,2.84849310498
010100030305,1.98855895026
010100030306,0.167948036461
010100030307,0.0
010100030308,0.0
010100030309,0.0
010100030310,0.0326423396708
010100030401,0.185543884181
010100030402,2.4651414863
010100030403,1.44283809874
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.00382570078076
010100040503,0.0
010100040504,0.0
010100040505,0.0553097287423
010100040506,0.0053755556705
010100040601,0.0
010100040602,0.0
010100040603,0.0
010100040604,0.0
010100040605,0.0032744118778
010100040606,0.121520523132
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.064620553151
010100040901,0.235613655994
010100040902,0.0
010100040903,0.0471520373709
010100040904,0.639512476847
010100040905,0.0270876264307
010100040906,0.00227771881322
010100040907,0.0336584584942
010100040908,0.0
010100040909,0.507762673473
010100041001,1.79278841053
010100041002,0.0
010100041003,0.0
010100041004,0.00215231767157
010100041005,0.0846166758099
010100041006,0.881998696681
010100041007,1.9185154385
010100041008,1.46521330313
010100041009,3.8781279916
010100041101,2.34396208508
010100041102,3.01937018903
010100041103,0.0696814654407
010100041104,0.216582729117
010100041105,0.0427528869253
010100041106,0.503560977713
010100041107,1.05522422269
010100041108,1.42137931204
010100041109,3.04352892119
010100041110,3.3688480227
010100041111,3.38747344369
010100041112,3.00622211411
010100041113,4.32876167539
010100050101,0.154332412006
010100050102,0.817166384898
010100050201,0.0
010100050202,2.75798184659
010100050203,0.658109452708
010100050301,0.0
010100050302,0.556690026623
010100050303,1.75501902649
010100050304,1.13417256213
010100050305,0.538785182043
010100050306,2.20380942605
010100050307,2.49128297032
010100050308,2.79066088773
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,0.121717016183
010100080401,0.0747896990029
010100080403,0.0
010100080404,0.0
010100080405,0.0
010100080406,0.0
010100080407,0.00234019523617
010100080408,0.0
010100080503,0.2593687448
010100080504,0.946096743815
010100081107,1.35818009336
010100081108,1.49145390741
010100090601,1.38380418373
010100090603,0.574691153507
010100090604,2.6569662495
010100090605,1.61628978462
010100090607,1.67511815827
010100090608,1.29218558928
010100100101,2.55260539443
010100100102,2.01664474339
010100100201,4.05450820744
010100100202,2.1026555747
010100100203,3.29098444348
010100100204,1.13652102311
010100100205,1.3631917552
010100100206,3.40379575055
010100100207,2.14309335403
010100110103,1.10304641966
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,0.000162268498153
010200010905,0.0105578834477
010200010906,0.0
010200010907,0.0018323885732
010200011001,0.0
010200011002,0.0
010200011003,0.0
010200011004,0.0
010200011005,0.0372363489634
010200011006,0.00316320357946
010200011007,0.065166968493
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,0.00100654135363
010200020403,0.0
010200020404,0.0
010200020405,0.0
010200020406,0.0
010200020407,0.000761515073339
010200020408,0.000424401474017
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,0.182217760852
010200020505,0.0335248172876
010200020506,0.00687145714951
010200020507,0.00828535267789
010200030101,0.0
010200030102,0.00524046584094
010200030103,0.0499458994009
010200030104,0.0850527876004
010200030105,0.176026757017
010200030106,0.613285590214
010200030107,0.601270607706
010200030108,0.112567745386
010200030109,0.156636390787
010200030110,0.519470081024
010200030111,0.0390767379595
010200030112,0.0
010200030113,0.0
010200030201,0.252322979346
010200030202,1.27951304777
010200030203,0.0674054918791
010200030204,0.0355523307584
010200030205,0.0157639082336
010200030301,0.0366425053305
010200030302,0.00581228334997
010200030303,0.0449233981949
010200030401,0.0340343858411
010200030402,0.190182034536
010200030403,0.0228890621731
010200030404,0.207390435446
010200030501,0.0
010200030502,0.0054859899152
010200030503,0.148664105236
010200030504,0.0223961355102
010200030505,0.0
010200030506,0.029445138129
010200030507,0.0
010200030508,0.00331081954431
010200030509,0.193028057198
010200030510,0.0
010200030511,0.0328417534608
010200030601,0.664040388939
010200030602,0.81231096734
010200030603,0.781871876139
010200030604,0.137979557212
010200030605,0.630044805139
010200030606,0.012118815902
010200030607,0.120289271558
010200030701,0.194297999931
010200030702,0.0810714116043
010200030703,0.208500729466
010200030704,0.033947594876
010200040101,0.0
010200040102,0.000672566448381
010200040103,0.00916501307429
010200040104,0.00553340641682
010200040105,0.0361717967236
010200040106,0.283307882953
010200040107,0.0228176617554
010200040108,0.000771354775167
010200040109,0.0350020761778
010200040110,0.118521788915
010200040111,0.204807057617
010200040201,0.507607572511
010200040202,0.503282454194
010200040203,0.625468847845
010200040204,0.659409592189
010200040205,0.866256047866
010200040301,0.0
010200040302,0.0
010200040303,0.000772445122432
010200040304,0.0287047981817
010200040305,0.16887463276
010200040306,0.0079717117869
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.0170527332788
010200040312,0.152632870454
010200040401,0.0
010200040402,0.0
010200040403,0.000808123240816
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.0196907172586
010200040409,0.018845260082
010200040410,0.258921242379
010200040501,0.00994330833989
010200040502,0.0
010200040503,0.0
010200040504,0.000596496812308
010200040601,0.100544139028
010200040602,0.00311145361293
010200040603,0.0
010200040604,0.0765628505109
010200050101,0.351464647135
010200050102,0.0
010200050103,0.00601897909309
010200050104,0.0343086547655
010200050201,0.331110111847
010200050202,0.251881760647
010200050203,0.0861757801126
010200050204,0.023577726007
010200050205,0.125552968708
010200050206,0.00234077350794
010200050207,0.0102180623572
010200050208,0.166928099433
010200050301,0.0939491046531
010200050302,0.0
010200050303,0.00778270139771
010200050304,0.0
010200050305,0.00920906942791
010200050306,0.0161535351439
010200050307,0.0456796975234
010200050308,0.0391418178977
010200050309,0.0073856798155
010200050310,0.0856254431628
010200050311,0.0230783329657
010200050401,0.0322628744188
010200050402,0.0447169445899
010200050403,0.00133098018754
010200050404,0.0167066805116
010200050405,0.00747490381399
010200050406,0.00685852428812
010200050407,0.0106648064373
010200050408,0.034185741461
010200050501,0.165546844118
010200050502,0.123866219592
010200050503,0.361208856417
010200050504,0.104694015817
010200050505,0.825691576285
010200050506,0.715668960053
010200050507,0.10668286384
010200050508,0.09267666134
010200050509,0.0984534073989
010200050510,0.200929644145
010200050601,0.0219549275036
010200050602,0.0745663757164
010200050603,0.273658997954
