HUC_12,Terrestrial_Acres,Rare_Acres,Protected_Rare_Acres,Percent_of_HUC_Rare,Percent_Rare_Area_Protected
010100020101,16053,0.0,None,0.0,None
010100020102,19520,0.0,None,0.0,None
010100020103,18202,0.0,None,0.0,None
010100020104,14251,0.0,None,0.0,None
010100020105,28700,0.0,None,0.0,None
010100020201,26977,0.0,None,0.0,None
010100020202,11314,0.0,None,0.0,None
010100020203,11100,0.0,None,0.0,None
010100020204,27551,0.0,None,0.0,None
010100020301,10044,0.0,None,0.0,None
010100020302,10142,0.0,None,0.0,None
010100020303,14364,0.0,None,0.0,None
010100020304,39069,0.0,None,0.0,None
010100020305,15868,0.0,None,0.0,None
010100020306,11356,0.0,None,0.0,None
010100020307,12973,0.0,None,0.0,None
010100020308,20198,0.0,None,0.0,None
010100020401,15848,0.0,None,0.0,None
010100020402,11055,0.0,None,0.0,None
010100020403,26674,0.0,None,0.0,None
010100020404,14557,0.0,None,0.0,None
010100020405,11076,0.0,None,0.0,None
010100020406,9393,0.0,None,0.0,None
010100020501,20367,0.0,None,0.0,None
010100020502,24276,0.0,None,0.0,None
010100020503,11686,0.0,None,0.0,None
010100020504,19055,0.0,None,0.0,None
010100020505,20097,0.0,None,0.0,None
010100020601,10005,0.0,None,0.0,None
010100020602,54414,0.0,None,0.0,None
010100020701,9092,0.0,None,0.0,None
010100020702,10450,0.0,None,0.0,None
010100020703,16360,0.0,None,0.0,None
010100020704,36350,0.0,None,0.0,None
010100020705,19998,0.0,None,0.0,None
010100020706,11338,0.0,None,0.0,None
010100020707,7489,0.0,None,0.0,None
010100020708,10773,0.0,None,0.0,None
010100020709,14273,0.0,None,0.0,None
010100020710,11169,0.0,None,0.0,None
010100020711,55694,0.0,None,0.0,None
010100030101,19565,0.0,None,0.0,None
010100030102,23574,0.0,None,0.0,None
010100030103,11248,0.0,None,0.0,None
010100030104,15702,0.0,None,0.0,None
010100030105,8654,0.0,None,0.0,None
010100030201,9963,0.0,None,0.0,None
010100030202,10135,0.0,None,0.0,None
010100030203,36699,0.0,None,0.0,None
010100030204,18832,0.0,None,0.0,None
010100030205,38337,0.0,None,0.0,None
010100030206,28173,0.0,None,0.0,None
010100030207,27970,0.0,None,0.0,None
010100030301,8292,0.0,None,0.0,None
010100030302,41417,0.0,None,0.0,None
010100030303,7430,0.0,None,0.0,None
010100030304,16670,0.0,None,0.0,None
010100030305,10041,0.0,None,0.0,None
010100030306,10454,0.0,None,0.0,None
010100030307,9137,0.0,None,0.0,None
010100030308,17675,0.0,None,0.0,None
010100030309,21434,0.0,None,0.0,None
010100030310,57970,0.0,None,0.0,None
010100030401,43133,0.0,None,0.0,None
010100030402,12953,0.0,None,0.0,None
010100030403,28896,2.22393954,0.0,0.00769635776578,0.0
010100040101,16354,0.0,None,0.0,None
010100040102,24853,0.0,None,0.0,None
010100040103,13303,0.0,None,0.0,None
010100040104,9903,0.0,None,0.0,None
010100040201,28803,0.0,None,0.0,None
010100040202,23350,0.0,None,0.0,None
010100040203,21938,0.0,None,0.0,None
010100040301,19523,0.0,None,0.0,None
010100040302,11636,0.0,None,0.0,None
010100040303,25794,0.0,None,0.0,None
010100040304,11741,0.0,None,0.0,None
010100040305,16604,0.0,None,0.0,None
010100040306,21376,0.0,None,0.0,None
010100040401,25633,0.0,None,0.0,None
010100040402,25842,0.0,None,0.0,None
010100040501,26850,0.0,None,0.0,None
010100040502,25057,0.0,None,0.0,None
010100040503,18795,0.0,None,0.0,None
010100040504,10776,0.0,None,0.0,None
010100040505,25729,0.0,None,0.0,None
010100040506,44522,0.0,None,0.0,None
010100040601,18401,0.0,None,0.0,None
010100040602,10708,0.0,None,0.0,None
010100040603,32805,0.0,None,0.0,None
010100040604,11599,0.0,None,0.0,None
010100040605,9941,0.0,None,0.0,None
010100040606,28736,0.0,None,0.0,None
010100040701,31145,0.0,None,0.0,None
010100040702,35582,0.0,None,0.0,None
010100040703,25420,0.0,None,0.0,None
010100040801,21844,0.0,None,0.0,None
010100040802,11106,0.0,None,0.0,None
010100040803,9667,0.0,None,0.0,None
010100040804,24479,0.0,None,0.0,None
010100040805,49376,0.0,None,0.0,None
