bgrp,FarmersMarkets_bgrp
010010201001,0
010010201002,0
010010202001,0
010010202002,0
010010203001,0
010010203002,1
010010204001,0
010010204002,0
010010204003,0
010010204004,0
010010205001,0
010010205002,0
010010205003,0
010010206001,0
010010206002,0
010010207001,0
010010207002,0
010010208011,0
010010208012,0
010010208021,0
010010208022,0
010010208023,0
010010208024,0
010010209001,0
010010209002,0
010010209003,0
010010209004,0
010010210001,0
010010210002,0
010010211001,0
010010211002,0
010010211003,0
010030101001,0
010030101002,0
010030101003,0
010030102001,0
010030102002,0
010030103001,0
010030103002,0
010030103003,0
010030104001,0
010030104002,1
010030104003,0
010030105001,0
010030105002,0
010030105003,0
010030105004,0
010030106001,0
010030106002,0
010030106003,0
010030107011,0
010030107012,0
010030107013,0
010030107014,0
010030107031,0
010030107032,0
010030107041,0
010030107042,0
010030107051,0
010030107052,0
010030107053,0
010030108001,0
010030108002,0
010030108003,0
010030109031,0
010030109032,0
010030109033,0
010030109041,0
010030109042,1
010030109043,1
010030109051,0
010030109052,0
010030109053,0
010030109061,0
010030109062,0
010030109063,0
010030110001,0
010030110002,0
010030111011,0
010030111012,0
010030111013,0
010030111021,0
010030111022,0
010030112011,0
010030112012,1
010030112021,0
010030112022,0
010030112023,0
010030112024,0
010030113001,0
010030113002,1
010030113003,0
010030113004,0
010030114011,0
010030114012,0
010030114013,0
010030114014,0
010030114015,0
010030114031,0
010030114032,0
010030114033,0
010030114051,0
010030114052,0
010030114061,0
010030114062,1
010030114063,0
010030114071,0
010030114072,0
010030114073,0
010030114081,0
010030115011,1
010030115012,0
010030115013,0
010030115021,0
010030115022,0
010030115023,0
010030115024,0
010030116011,0
010030116012,1
010030116013,0
010030116014,0
010030116021,0
010030116022,0
010030116023,0
010030116024,0
010039900000,0
010059501001,0
010059501002,0
010059501003,0
010059502001,0
010059502002,0
010059502003,0
010059503001,0
010059503002,0
010059504001,0
010059504002,0
010059504003,3
010059505001,0
010059505002,0
010059505003,0
010059506001,0
010059506002,0
010059507001,0
010059507002,0
010059508001,1
010059508002,0
010059509001,0
010059509002,0
010059509003,0
010070100011,0
010070100012,0
010070100021,0
010070100022,0
010070100023,0
010070100031,0
010070100032,0
010070100033,1
010070100034,0
010070100041,0
010070100042,0
010070100043,0
010070100044,0
010070100045,0
010070100046,0
010090501011,0
010090501012,1
010090501013,0
010090501014,0
010090501015,0
010090501021,0
010090501022,2
010090501023,0
010090501024,0
010090502001,0
010090502002,1
010090503001,0
010090503002,0
010090503003,0
010090503004,0
010090504001,0
010090504002,0
010090504003,0
010090504004,0
010090505001,0
010090505002,0
010090505003,0
010090505004,0
010090505005,0
010090506011,0
010090506012,0
010090506021,0
010090506022,0
010090506023,0
010090506024,0
010090506025,0
010090507001,0
010090507002,0
010090507003,0
010090507004,0
010119521001,0
010119522001,0
010119522002,0
010119522003,1
010119525001,0
010119525002,0
010119525003,0
010139527001,0
010139527002,0
010139528001,1
010139529001,0
010139529002,0
010139530001,0
010139530002,0
010139531001,0
010139531002,0
010139531003,0
010139532001,0
010139532002,0
010139532003,0
010139532004,0
010139533001,0
010139533002,0
010139534001,0
010139534002,1
010139535001,0
010150002001,0
010150002002,0
010150003001,1
010150003002,0
010150004001,0
010150004002,0
010150004003,0
010150005001,0
010150005002,0
010150006001,0
010150006002,0
010150007001,0
010150007002,0
010150007003,0
010150008001,1
010150009001,0
010150009002,0
010150009003,0
010150010001,0
010150010002,0
010150010003,0
010150010004,0
010150011001,0
010150011002,0
010150011003,0
010150011004,0
010150012011,0
010150012012,0
010150012021,0
010150012022,0
010150012023,0
010150013001,0
010150013002,0
010150014001,0
010150014002,0
010150014003,0
010150014004,0
010150015001,0
010150015002,0
010150015003,0
010150016001,0
010150016002,0
010150016003,0
010150016004,0
010150017001,0
010150017002,0
010150017003,0
010150017004,0
010150018001,0
010150018002,0
010150018003,0
010150018004,0
010150018005,0
010150018006,0
010150020001,0
010150020002,0
010150020003,0
010150020004,0
010150020005,0
010150021011,0
010150021012,0
010150021021,0
010150021022,1
010150021023,0
010150021031,0
010150021032,0
010150021033,0
010150022001,0
010150022002,0
010150022003,0
010150022004,0
010150023001,0
010150023002,0
010150023003,0
010150023004,0
010150024001,0
010150024002,0
010150025011,0
010150025012,0
010150025013,0
010150025014,0
010150025021,0
010150025022,0
010150025023,0
010150025024,0
010150026001,0
010150026002,0
010150026003,0
010159819011,0
010159819021,0
010159819031,0
010179538001,0
010179538002,0
010179538003,0
010179539001,0
010179539002,0
010179539003,0
010179539004,0
010179540001,0
010179540002,0
010179540003,0
010179540004,0
010179540005,0
010179540006,0
010179542001,0
010179542002,0
010179542003,0
010179543001,0
010179543002,0
010179543003,0
010179543004,0
010179543005,0
010179544001,0
010179545001,0
010179545002,0
010179545003,0
010179545004,0
010179546001,0
010179546002,0
010179546003,0
010179547001,1
010179547002,0
010179547003,0
010179547004,0
010199557011,0
010199557012,0
010199557013,0
010199557021,0
010199557022,0
010199558001,0
010199558002,0
010199558003,0
010199558004,0
010199559001,0
010199559002,0
010199559003,0
010199560001,0
010199560002,1
010199560003,0
010199561001,0
010199561002,0
010199561003,0
010199561004,0
010210601011,0
010210601012,0
010210601013,0
010210601014,0
010210601021,0
010210601022,0
010210601023,0
010210601024,0
010210601025,0
010210602001,0
010210602002,0
010210603001,0
010210603002,0
010210604011,1
010210604012,0
010210604013,0
010210604021,0
010210604022,0
010210604023,0
010210604024,0
010210604025,0
010210605001,0
010210605002,0
010210605003,0
010210606001,0
010210606002,0
010210607001,0
010210607002,0
010210607003,0
010210607004,0
010239567001,0
010239567002,0
010239567003,0
010239567004,0
010239568001,0
010239568002,1
010239568003,0
010239568004,0
010239568005,0
010239569001,0
010239569002,0
010239569003,0
010239569004,0
010239570001,0
010239570002,0
010259575001,0
010259575002,0
010259576011,0
010259576021,0
010259576022,0
010259576023,0
010259576024,0
010259576025,0
010259577001,0
010259577002,0
010259578001,0
010259578002,0
010259578003,0
010259578004,0
010259578005,0
010259578006,1
010259579011,0
010259579012,1
010259579021,0
010259579022,0
010259579023,0
010259579024,0
010259580011,0
010259580021,0
010279589001,0
010279589002,0
010279589003,0
010279589004,1
010279590001,0
010279590002,0
010279590003,0
