HUC_12,Fertilizer_P_kg_ha
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0396057104603
010100020711,0.0151695818424
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.0315164072402
010100030201,0.0
010100030202,0.0
010100030203,0.139269757231
010100030204,0.0
010100030205,0.00957159674658
010100030206,0.00314228158369
010100030207,0.343889897085
010100030301,7.16038289973
010100030302,5.34120628796
010100030303,0.0341933349971
010100030304,9.67087114851
010100030305,6.72861926006
010100030306,0.585715612017
010100030307,0.0
010100030308,0.0
010100030309,0.0
010100030310,0.11095519131
010100030401,0.63442830514
010100030402,8.39034089475
010100030403,4.89074734567
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.0129995706161
010100040503,0.0
010100040504,0.0
010100040505,0.176899807797
010100040506,0.0177656240697
010100040601,0.0
010100040602,0.0
010100040603,0.0
010100040604,0.0
010100040605,0.0111129984414
010100040606,0.404505531625
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.223240131172
010100040901,0.803351920161
010100040902,0.0
010100040903,0.162323370732
010100040904,2.17804788799
010100040905,0.0948178475467
010100040906,0.00774366134545
010100040907,0.109728939037
010100040908,0.0
010100040909,1.738792086
010100041001,6.09765023385
010100041002,0.0
010100041003,0.0
010100041004,0.00730807186049
010100041005,0.286479784706
010100041006,2.99008952972
010100041007,6.507404075
010100041008,4.9732890625
010100041009,13.1736698092
010100041101,7.98048883974
010100041102,10.249610075
010100041103,0.228926967213
010100041104,0.750725903062
010100041105,0.151648175455
010100041106,1.72381289642
010100041107,3.62757211944
010100041108,4.8431124299
010100041109,10.3475219875
010100041110,11.4020211477
010100041111,11.444807466
010100041112,10.2269542354
010100041113,14.7012791355
010100050101,0.53083921222
010100050102,2.76939383153
010100050201,0.0
010100050202,9.36076236228
010100050203,2.23997224433
010100050301,0.0
010100050302,1.89976506938
010100050303,5.95625752037
010100050304,3.88720546515
010100050305,1.83317712311
010100050306,7.52853524808
010100050307,8.4517348074
010100050308,9.47117391597
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,0.413346303788
010100080401,0.239366004489
010100080403,0.0
010100080404,0.0
010100080405,0.00196510552493
010100080406,0.0
010100080407,0.00795132551029
010100080408,0.0
010100080503,0.87867297924
010100080504,3.20847676995
010100081107,4.6431678781
010100081108,5.08840043036
010100090601,4.70286695366
010100090603,1.95983525611
010100090604,9.00958163496
010100090605,5.47366159731
010100090607,5.68312341016
010100090608,4.41409148849
010100100101,8.64816139489
010100100102,6.85985284908
010100100201,13.7785618798
010100100202,7.13581665306
010100100203,11.1335757226
010100100204,3.89597474896
010100100205,4.62635655026
010100100206,11.5989080839
010100100207,7.34094573702
010100110103,3.71253119371
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,0.000172661679536
010200010905,0.00799613115604
010200010906,0.0
010200010907,0.00103155590104
010200011001,0.0
010200011002,0.0
010200011003,0.0
010200011004,0.0
010200011005,0.0277612928864
010200011006,0.00237556015179
010200011007,0.0492763283199
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,0.0034208894363
010200020403,0.0
010200020404,0.0
010200020405,0.0
010200020406,0.0
010200020407,0.000572213076029
010200020408,0.000318473430722
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,0.138143815882
010200020505,0.0260388554514
010200020506,0.00515634346451
010200020507,0.00622165620677
010200030101,0.0
010200030102,0.0177967044641
010200030103,0.171388433129
010200030104,0.284790074014
010200030105,0.488831632976
010200030106,2.07563620066
010200030107,1.10308835139
010200030108,0.378864902627
010200030109,0.530396376922
010200030110,1.76184517307
010200030111,0.129462164844
010200030112,0.0
010200030113,0.0
010200030201,0.869158956526
010200030202,4.33587993885
010200030203,0.228817994425
010200030204,0.124355470576
010200030205,0.0541181715124
010200030301,0.126034801957
010200030302,0.0197579242352
010200030303,0.160595606769
010200030401,0.0235248660312
010200030402,0.113566793373
010200030403,0.014652124718
010200030404,0.562919927066
010200030501,0.0
010200030502,0.0194931234556
010200030503,0.111592258644
010200030504,0.0761062394792
010200030505,0.0
010200030506,0.0973140592727
010200030507,0.0
010200030508,0.00248655571205
010200030509,0.145425813533
010200030510,0.0
010200030511,0.0451264308367
010200030601,0.909412648692
010200030602,2.26473936171
010200030603,2.61025131252
010200030604,0.398241319569
010200030605,2.1102209047
010200030606,0.0395319900308
010200030607,0.371693595424
010200030701,0.151948715269
010200030702,0.0612610654561
010200030703,0.156448057087
010200030704,0.0247148517778
010200040101,0.0
010200040102,0.00123725503178
010200040103,0.0121957215218
010200040104,0.00785074609527
010200040105,0.0364163851978
010200040106,0.301034570746
010200040107,0.0250691985656
010200040108,0.0
010200040109,0.0343142369435
010200040110,0.126155309472
010200040111,0.218453934289
010200040201,0.537849750113
010200040202,0.531614636657
010200040203,0.669305700758
010200040204,0.696781318699
010200040205,0.926163048804
010200040301,0.0
010200040302,0.0
010200040303,0.00164503554871
010200040304,0.0316704685688
010200040305,0.181478573332
010200040306,0.00805688159954
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.0193199814037
010200040312,0.166959655755
010200040401,0.0
010200040402,0.0
010200040403,0.000859918362138
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.0218189743629
010200040409,0.0198719444536
010200040410,0.275875812054
010200040501,0.00757018326835
010200040502,0.0
010200040503,0.0
010200040504,0.00134605099404
010200040601,0.105178230861
010200040602,0.00331228442453
010200040603,0.0
010200040604,0.0590133169652
010200050101,0.810544441954
010200050102,0.0
010200050103,0.0127742763178
010200050104,0.0254967558024
010200050201,0.249443215983
010200050202,0.184364638924
010200050203,0.066628171215
010200050204,0.0186811932747
010200050205,0.094055422853
010200050206,0.00175804831282
010200050207,0.00751842154287
010200050208,0.126454795274
010200050301,0.0676160654176
010200050302,0.0
010200050303,0.00584861928611
010200050304,0.0
010200050305,0.00703762940109
010200050306,0.0116302543401
010200050307,0.0342592308827
010200050308,0.0304466501834
010200050309,0.0055391842678
010200050310,0.063286592397
010200050311,0.0168934367563
010200050401,0.024232662565
010200050402,0.0335809010759
010200050403,0.000998985918262
010200050404,0.0128491213761
010200050405,0.0056133681508
010200050406,0.0054124318092
010200050407,0.00800657923098
010200050408,0.0256881735391
010200050501,0.124312823422
010200050502,0.092736046333
010200050503,0.304708943068
010200050504,0.0828904842955
010200050505,0.620531498836
010200050506,0.537156486126
010200050507,0.0801252152958
010200050508,0.0684950616539
010200050509,0.0744183575246
010200050510,0.150020169386
010200050601,0.0163118937343
010200050602,0.0560359447188
010200050603,0.206671732453
010200050701,0.87199205544
