HUC_12,FF_Demand
010100020101,181.420650482
010100020102,123.900172144
010100020103,192.158171505
010100020104,94.2122998238
010100020105,327.686424077
010100020201,187.921479076
010100020202,140.589553654
010100020203,144.081715405
010100020204,286.053742141
010100020301,42.7354948074
010100020302,39.9517068565
010100020303,85.0155552477
010100020304,194.46840553
010100020305,105.744233221
010100020306,69.3858201206
010100020307,89.7500841618
010100020308,141.111662865
010100020401,184.462692738
010100020402,92.0468458831
010100020403,257.549423426
010100020404,143.68006894
010100020405,108.813311875
010100020406,86.3166738749
010100020501,296.269216597
010100020502,324.639916658
010100020503,164.762528241
010100020504,277.42542237
010100020505,250.994722843
010100020601,219.85226953
010100020602,967.725734293
010100020701,69.7843030393
010100020702,86.301355958
010100020703,156.670529068
010100020704,383.833575308
010100020705,291.843667388
010100020706,123.483264208
010100020707,103.216023207
010100020708,131.941700161
010100020709,229.302949071
010100020710,168.646134079
010100020711,811.176098347
010100030101,411.780451179
010100030102,586.567402959
010100030103,246.670963407
010100030104,368.165861845
010100030105,276.994644523
010100030201,281.062804222
010100030202,325.155933738
010100030203,1164.18226695
010100030204,492.751361966
010100030205,1048.45055723
010100030206,785.894280195
010100030207,992.219629526
010100030301,318.390426159
010100030302,1878.59298277
010100030303,340.998335838
010100030304,637.218250275
010100030305,372.634855509
010100030306,505.313541651
010100030307,354.949403763
010100030308,664.327401638
010100030309,1143.25892854
010100030310,2226.83506703
010100030401,1266.95291948
010100030402,460.981890321
010100030403,1017.79385316
010100040101,214.491102993
010100040102,401.288550258
010100040103,255.342852414
010100040104,181.718891919
010100040201,403.178075433
010100040202,347.26226002
010100040203,360.018106341
010100040301,350.845753908
010100040302,227.790102482
010100040303,408.293556392
010100040304,194.967159867
010100040305,347.657161951
010100040306,394.014318943
010100040401,639.728634596
010100040402,699.137756348
010100040501,758.780386686
010100040502,792.860793352
010100040503,606.143043637
010100040504,343.438937902
010100040505,861.074589729
010100040506,1341.76482105
010100040601,414.377437472
010100040602,255.621964693
010100040603,713.065964758
010100040604,314.742832303
010100040605,281.599254727
010100040606,843.063171625
010100040701,510.089811444
010100040702,706.485550463
010100040703,527.066493213
010100040801,509.360943556
010100040802,285.428480864
010100040803,270.716714382
010100040804,669.779504299
010100040805,1257.17256737
010100040901,1862.68004429
010100040902,604.415442348
010100040903,653.419223785
010100040904,1757.60872376
010100040905,848.270944953
010100040906,539.153275013
010100040907,326.545172095
010100040908,749.573894978
010100040909,1153.80032539
010100041001,1515.05875039
010100041002,556.431875229
010100041003,363.813530326
010100041004,576.944396734
010100041005,731.020088911
010100041006,467.367855072
010100041007,1122.91322851
010100041008,1228.93146467
010100041009,2578.36218834
010100041101,1455.62872553
010100041102,539.105852365
010100041103,921.271705866
010100041104,1367.82888842
010100041105,707.788545847
010100041106,855.172408819
010100041107,639.073684692
010100041108,1135.2462337
010100041109,1136.74274611
010100041110,757.441325426
010100041111,134.412290096
010100041112,1242.98727083
010100041113,1638.71650314
010100050101,325.737347603
010100050102,783.516644359
010100050201,1266.26850951
010100050202,348.445214987
010100050203,1379.19662905
010100050301,333.119422436
010100050302,656.487711072
010100050303,583.23933053
010100050304,327.63087678
010100050305,876.542257309
010100050306,309.439302921
010100050307,744.372622967
010100050308,187.489598155
010100060101,67.7226327658
010100060102,65.5327728391
010100060103,56.3857281059
010100060104,198.980324253
010100060105,38.768980816
010100060106,32.2404262722
010100060107,42.6520615295
010100060108,48.0798263066
010100060109,73.5913475826
010100060201,17.4831834286
010100060202,13.0008982345
010100060203,4.07716713846
010100060204,50.4505261593
010100060205,20.9912359305
010100060206,31.1887275577
010100060207,68.8124797195
010100060208,59.039285738
010100060305,5.48700277507
010100060306,1.85903693736
010100060307,0.358293130994
010100060312,8.77080633491
010100060313,45.7706894353
010100070101,57.0325182527
010100070102,25.791314289
010100070103,77.4443305135
010100070204,1.56740170717
010100070205,12.3468411267
010100070206,29.5559613109
010100070207,17.8890990093
010100070208,65.7719312087
010100070209,75.5238569528
010100070301,11.5219114572
010100070302,12.4027368277
010100070303,41.6627185494
010100070304,102.419682711
010100070305,143.101751894
010100070306,140.972579703
010100070401,36.6606343761
010100070402,54.7528812736
010100070403,156.601220295
010100070404,146.186946332
010100070405,202.023006797
010100070502,1.60984918475
010100070503,176.369080633
010100070504,53.1441358328
010100070505,149.523073524
010100070506,134.861774176
010100070507,387.905387998
010100070601,17.4984638691
010100070602,34.8832464516
010100070603,101.517440498
010100070604,77.3211402297
010100070605,169.195855677
010100070606,143.110601276
010100070607,536.777452648
010100070701,139.845169783
010100070702,156.910510421
010100070703,313.769832492
010100080101,576.894581676
010100080102,898.910795152
010100080401,25.6141492724
010100080403,345.543091953
010100080404,149.839706719
010100080405,179.987256765
010100080406,251.621181428
010100080407,430.280283391
010100080408,138.293287873
010100080503,567.288275123
010100080504,226.07139957
010100081107,473.847174883
010100081108,495.169993877
010100090601,964.520832181
010100090603,1600.02229786
010100090604,260.70285058
010100090605,730.412702322
010100090607,635.891031265
010100090608,135.879500628
010100100101,358.181954622
