HUC_12,PIMPV
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0141597296629
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0164667345403
010100020302,0.0
010100020303,0.00862977193852
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.00145411282594
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.00289453300175
010100020704,6.11961397475e-06
010100020705,0.0
010100020706,0.000333496812163
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0701729938487
010100020711,0.0444123271756
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.0
010100030201,0.0
010100030202,0.0
010100030203,0.167936202059
010100030204,0.00119278189806
010100030205,0.00977929874424
010100030206,0.00443641013901
010100030207,0.203741756666
010100030301,0.489682560979
010100030302,0.790740104748
010100030303,0.181945897474
010100030304,0.687141676222
010100030305,0.710226140114
010100030306,0.292397038802
010100030307,0.0
010100030308,0.0
010100030309,0.000228272598987
010100030310,0.252998922038
010100030401,0.0506275611453
010100030402,1.46185924388
010100030403,1.62201480181
010100040101,0.0436131983012
010100040102,0.00395214506697
010100040103,0.00935535250231
010100040104,0.0
010100040201,0.000108145687691
010100040202,0.00289653463931
010100040203,0.0114768890736
010100040301,0.0
010100040302,0.0
010100040303,0.0012767866386
010100040304,0.0
010100040305,0.0
010100040306,0.000925916293006
010100040401,0.0
010100040402,0.0125753096422
010100040501,0.0545555408359
010100040502,0.00880064585385
010100040503,0.0134302043521
010100040504,0.00856535468824
010100040505,0.0334955105991
010100040506,0.0799440531495
010100040601,0.000411174265328
010100040602,0.0
010100040603,0.01692142702
010100040604,0.00636429858529
010100040605,0.0320812546142
010100040606,0.268858366974
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.0564606627638
010100040901,0.163491391812
010100040902,0.0
010100040903,0.0475030058399
010100040904,0.675754974156
010100040905,0.0242119175501
010100040906,0.0
010100040907,0.125628140704
010100040908,0.0
010100040909,0.096083592566
010100041001,0.73453889244
010100041002,0.0
010100041003,0.0
010100041004,0.0
010100041005,0.0097657856698
010100041006,0.188053224784
010100041007,0.956832646642
010100041008,4.98918572113
010100041009,1.74401110937
010100041101,1.85038711888
010100041102,1.72369084761
010100041103,0.290234670704
010100041104,0.101153299851
010100041105,0.000103393904929
010100041106,0.281390021789
010100041107,0.23964640884
010100041108,0.543714962428
010100041109,4.57061970265
010100041110,1.08058838786
010100041111,1.1980873446
010100041112,1.99995519914
010100041113,2.64234864692
010100050101,0.146877228377
010100050102,0.530262295823
010100050201,0.000431479862381
010100050202,0.46435787602
010100050203,0.184651532993
010100050301,0.00654888500495
010100050302,0.910690971426
010100050303,0.912887219188
010100050304,0.454212602407
010100050305,0.617765814266
010100050306,0.634189370255
010100050307,3.22156449948
010100050308,0.811047646078
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.00653713455602
010100060105,0.0
010100060106,0.0531511881529
010100060107,0.01952
010100060108,0.035467353058
010100060109,0.00367398144092
010100060201,0.0669912067189
010100060202,0.00359382448935
010100060203,0.109032846715
010100060204,0.0517160224858
010100060205,0.0180743791479
010100060206,0.123762132335
010100060207,0.0282247479412
010100060208,0.0733110391073
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0774899850157
010100060313,0.0354300994113
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0562905455706
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0152889740829
010100070404,0.000595959013399
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0174350658428
010100070701,0.0
010100070702,0.0
010100070703,0.0023486111676
010100080101,0.0102167587537
010100080102,0.252381554544
010100080401,0.0
010100080403,0.0116763300879
010100080404,0.0
010100080405,0.105412109989
010100080406,0.0
010100080407,0.0
010100080408,0.0
010100080503,0.467556278817
010100080504,1.44972187886
010100081107,3.16954394073
010100081108,4.30418587559
010100090601,1.68319270124
010100090603,0.296240005994
010100090604,3.23585640445
010100090605,0.654886775806
010100090607,1.15864812247
010100090608,0.941515363128
010100100101,0.579051098399
010100100102,0.263180004201
010100100201,1.51454905079
010100100202,1.08381523451
010100100203,0.988447292021
010100100204,0.454403819216
010100100205,0.491730726505
010100100206,1.49449174274
010100100207,0.254417632529
010100110103,0.202458842375
010200010101,0.00424466071394
010200010102,0.0
010200010103,0.0
010200010104,0.0290364929683
010200010105,0.352664311138
010200010106,0.0444920973838
010200010201,0.140676012129
010200010202,0.0
010200010203,0.0
010200010204,0.00321550811168
010200010205,0.0
010200010206,0.0
010200010207,0.000357291042368
010200010208,0.0161017631431
010200010209,0.000525394045534
010200010210,0.0517139909575
010200010301,0.186209795051
010200010302,0.0293469461186
010200010303,0.0
010200010304,0.0
010200010305,0.0376145769118
010200010306,0.214102523509
010200010307,0.0452767943354
010200010308,0.0895704742713
010200010401,0.000200979317401
010200010402,0.0
010200010403,0.0249274620242
010200010404,0.00259505725061
010200010501,0.0339605462822
010200010502,0.00879662723016
010200010503,0.0803903991111
010200010504,0.0
010200010505,0.0662552096835
010200010506,0.0701783165734
010200010507,0.125412972094
010200010508,0.0107635978649
010200010509,0.062882107292
010200010601,0.0101885019672
010200010602,0.0134499436825
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.000588781448855
010200010901,0.00881906186946
010200010902,0.0742822966507
010200010903,0.0
010200010904,0.158728378166
010200010905,0.14832783044
010200010906,0.0
010200010907,0.099504010777
010200011001,0.0211398413775
010200011002,0.00379996839943
010200011003,0.00332792615014
010200011004,0.153501290798
010200011005,4.18816448358
010200011006,0.189301694418
010200011007,2.19287528504
010200020101,0.00549743291679
010200020102,0.0583383179806
010200020103,0.0
010200020104,0.0151168509055
010200020105,0.0297368034433
010200020106,0.0539983784768
010200020107,0.000556328233658
010200020108,0.0
010200020201,0.0564228883338
010200020202,0.000294426919033
010200020203,0.0
010200020204,0.010565734336
010200020205,0.0195487150396
010200020301,0.0196443984119
010200020302,0.0246590501256
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,0.0
010200020403,0.0769477911647
010200020404,0.0498087621697
010200020405,0.0560608253276
010200020406,0.0101074150635
010200020407,0.0923488051169
010200020408,0.00962653676641
010200020501,0.0101967514068
010200020502,0.000836313617607
010200020503,0.00909689157279
010200020504,0.0638246149086
010200020505,0.0606926346596
010200020506,0.0160417875798
010200020507,0.239206486877
010200030101,0.000760188639403
010200030102,0.0156750341492
010200030103,0.246187106254
010200030104,0.0667415115794
010200030105,0.165806114753
010200030106,0.519349718914
010200030107,0.564217733181
010200030108,0.142823963719
010200030109,0.325627677708
010200030110,0.76443573152
010200030111,0.390138864475
010200030112,0.0312348643329
010200030113,0.0
010200030201,0.0811923384265
010200030202,1.39197156824
010200030203,0.102377300613
010200030204,0.103040162205
010200030205,0.0622662253428
010200030301,0.0885933390138
010200030302,0.0676653576314
010200030303,0.161861943688
010200030401,0.114590034143
010200030402,0.173284832422
010200030403,0.119170128699
010200030404,0.377519699164
010200030501,0.00274322712558
010200030502,0.0643554578478
010200030503,0.303051513737
010200030504,0.0470105091317
010200030505,0.0
010200030506,0.297755556763
010200030507,0.0351269611241
010200030508,0.111756607005
010200030509,0.270219728845
010200030510,0.0114636429835
010200030511,0.103968076616
010200030601,1.11699693184
010200030602,0.702308122354
010200030603,0.600507230945
010200030604,0.0853443077346
010200030605,0.258513156697
010200030606,0.0534089014836
010200030607,0.229918170609
010200030701,0.905290718671
010200030702,0.181081776543
010200030703,0.490503185086
010200030704,0.231551582981
010200040101,0.00248291034808
010200040102,0.0
010200040103,0.0042337164751
010200040104,0.399352115441
010200040105,0.12097653694
010200040106,0.331091963279
010200040107,0.0609128937008
010200040108,0.397153517482
010200040109,0.0370588950027
010200040110,0.270280491648
010200040111,0.715017887264
010200040201,0.561527853976
010200040202,0.807867421315
010200040203,2.14730702408
010200040204,0.562629317205
010200040205,1.07794671321
010200040301,0.0568594753348
010200040302,0.325607415239
010200040303,0.0803606817281
010200040304,0.697612116233
010200040305,0.203336886362
010200040306,0.0928993851095
010200040307,0.00740517078694
010200040308,0.00551941088153
010200040309,0.00783245719594
010200040310,0.00327622231509
010200040311,0.0679234412108
010200040312,1.23156656208
010200040401,0.0149730485127
010200040402,0.00569960861057
010200040403,0.00571145420405
010200040404,0.0
010200040405,0.0160949578087
010200040406,0.0
010200040407,0.0
010200040408,0.0879653769945
010200040409,0.073615152347
010200040410,1.00565987678
010200040501,0.0680268050667
010200040502,0.00813734155876
010200040503,0.000658558001886
010200040504,0.0972887550002
010200040601,0.340469281603
010200040602,0.0804247488612
010200040603,0.00357612933668
010200040604,0.619881905578
010200050101,0.67838995147
010200050102,0.638498874615
010200050103,0.0269724152711
010200050104,0.787783838149
010200050201,0.908471344327
010200050202,0.613797491365
010200050203,0.236189992228
010200050204,0.554681795956
010200050205,1.45570595486
010200050206,0.00297632428447
