HUC_12,Manure_P_kg_ha
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.000325304439276
010100020711,0.000124639027958
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.000258616256774
010100030201,0.0
010100030202,0.0
010100030203,0.00116717921668
010100030204,0.0
010100030205,7.86187388147e-05
010100030206,2.57954729685e-05
010100030207,0.00280075653669
010100030301,0.0593157037041
010100030302,0.04390232072
010100030303,0.000280775061113
010100030304,0.0794842442738
010100030305,0.0554886740217
010100030306,0.00468641568134
010100030307,0.0
010100030308,0.0
010100030309,0.0
010100030310,0.000910850616251
010100030401,0.00517740955314
010100030402,0.0687872151503
010100030403,0.0402608999429
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.000106752210439
010100040503,0.0
010100040504,0.0
010100040505,0.00154336058682
010100040506,0.000149999302886
010100040601,0.0
010100040602,0.0
010100040603,0.0
010100040604,0.0
010100040605,9.13690656624e-05
010100040606,0.00339090409875
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.00180316948031
010100040901,0.00657455457924
010100040902,0.0
010100040903,0.00131572867417
010100040904,0.0178449320579
010100040905,0.000755852107294
010100040906,6.35573799425e-05
010100040907,0.000939204357613
010100040908,0.0
010100040909,0.0141685905088
010100041001,0.0500259002574
010100041002,0.0
010100041003,0.0
010100041004,6.00581912109e-05
010100041005,0.00236114053355
010100041006,0.0246112583996
010100041007,0.0535341825088
010100041008,0.0408852568032
010100041009,0.108215137355
010100041101,0.0654058297046
010100041102,0.0842523919887
010100041103,0.00194438898615
010100041104,0.00604351631271
010100041105,0.00119297494589
010100041106,0.0140513465486
010100041107,0.0294449369505
010100041108,0.0396621147674
010100041109,0.0849265163405
010100041110,0.0940042082915
010100041111,0.0945239313369
010100041112,0.0838855086016
010100041113,0.120789602688
010100050101,0.00430648580957
010100050102,0.0228021800144
010100050201,0.0
010100050202,0.0769586215299
010100050203,0.0183638613716
010100050301,0.0
010100050302,0.0155338575275
010100050303,0.0489719847883
010100050304,0.0316479084395
010100050305,0.015034241419
010100050306,0.0614950151877
010100050307,0.0695166661354
010100050308,0.0778704962627
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,0.00339638703341
010100080401,0.002086928943
010100080403,0.0
010100080404,0.0
010100080405,0.0
010100080406,0.0
010100080407,6.53007196944e-05
010100080408,0.0
010100080503,0.00723741568221
010100080504,0.0263998478917
010100081107,0.0378986061508
010100081108,0.0416174736364
010100090601,0.0386136198027
010100090603,0.0160361602938
010100090604,0.074139886115
010100090605,0.0451008892503
010100090607,0.0467424339722
010100090608,0.0360570979955
010100100101,0.0712278047472
010100100102,0.0562723789349
010100100201,0.113136844252
010100100202,0.0586724219312
010100100203,0.0918315059106
010100100204,0.0317134398061
010100100205,0.0380384513739
010100100206,0.0949793883727
010100100207,0.0598007962019
010100110103,0.0307793657328
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,2.82126163727e-05
010200010905,0.00367140222563
010200010906,0.0
010200010907,0.000637195468126
010200011001,0.0
010200011002,0.0
010200011003,0.0
010200011004,0.0
010200011005,0.012948581516
010200011006,0.00109997356187
010200011007,0.022661185298
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,2.80864920064e-05
010200020403,0.0
010200020404,0.0
010200020405,0.0
010200020406,0.0
010200020407,0.00026480952825
010200020408,0.000147581522753
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,0.0633644703557
010200020505,0.0116579321427
010200020506,0.00238948300547
010200020507,0.00288115155016
010200030101,0.0
010200030102,0.000146229761372
010200030103,0.00139368849499
010200030104,0.00237330978052
010200030105,0.0185326235285
010200030106,0.0171130980015
010200030107,0.131327305096
010200030108,0.00314108612583
010200030109,0.00437077594666
010200030110,0.0144952735679
010200030111,0.00109039582366
010200030112,0.0
010200030113,0.0
010200030201,0.00704081090845
010200030202,0.0357034838747
010200030203,0.00188088030564
010200030204,0.000992050897915
010200030205,0.000439875501386
010200030301,0.0010224710881
010200030302,0.000162185735598
010200030303,0.00125354081057
010200030401,0.00748942323026
010200030402,0.00120953217892
010200030403,0.000145571359099
010200030404,0.00474286579283
010200030501,0.0
010200030502,0.000153080855889
010200030503,0.0516965099624
010200030504,0.000624940921418
010200030505,0.0
010200030506,0.000821636024897
010200030507,0.0
010200030508,0.00115130559111
010200030509,0.0671236467342
010200030510,0.0
010200030511,0.00901683811386
010200030601,0.181826563621
010200030602,0.0879290445774
010200030603,0.0257078336057
010200030604,0.0119165352091
010200030605,0.0175807465033
010200030606,0.000338162982307
010200030607,0.00746747298987
010200030701,0.0675652570816
010200030702,0.0281918021234
010200030703,0.07250411941
010200030704,0.0118049489748
010200040101,0.0
010200040102,0.000184267693134
010200040103,0.0019110213463
010200040104,0.000962059020996
010200040105,0.00628896573325
010200040106,0.0492569827666
010200040107,0.00396716519197
010200040108,0.000211333415977
010200040109,0.00608559368387
010200040110,0.0206066476273
010200040111,0.0356085316172
010200040201,0.0882545772846
010200040202,0.0885539093423
010200040203,0.108746385516
010200040204,0.114647452023
010200040205,0.15061056112
010200040301,0.0
010200040302,0.0
010200040303,0.000134300237915
010200040304,0.00499072505368
010200040305,0.0293611839843
010200040306,0.00138599203811
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.00296485286779
010200040312,0.0265373296049
010200040401,0.0
010200040402,0.0
010200040403,0.00014050337086
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.00342350276511
010200040409,0.00327650837462
010200040410,0.0450170289681
010200040501,0.00345768965437
010200040502,0.0
010200040503,0.0
010200040504,0.000207426018211
010200040601,0.0175669359825
010200040602,0.000540969123039
010200040603,0.0
010200040604,0.025655695409
010200050101,0.0566013411207
010200050102,0.0
010200050103,0.0011123078463
010200050104,0.011930504072
010200050201,0.115140350581
010200050202,0.0875894549523
010200050203,0.0299667970828
010200050204,0.00819892700711
010200050205,0.0436598349501
010200050206,0.00081398143002
010200050207,0.00355323271617
010200050208,0.0580476379395
010200050301,0.0326698957824
010200050302,0.0
010200050303,0.00270635941138
010200050304,0.0
010200050305,3.45708927142e-05
010200050306,0.00561723617927
010200050307,0.0154548786948
010200050308,0.0136111899754
010200050309,0.00256829898215
010200050310,0.0297754227119
010200050311,0.00802526788951
010200050401,0.011219103671
010200050402,0.0155498865567
010200050403,0.000462835533942
010200050404,0.00580958715041
010200050405,0.0025993257678
010200050406,2.57469344974e-05
010200050407,0.00370858366488
010200050408,0.0118877621548
010200050501,0.0575673197144
010200050502,0.0430732841999
010200050503,0.105872013551
010200050504,0.0344099439211
