HUC_12,MB_Demand
010100020101,5.9530634582
010100020102,4.03225841559
010100020103,6.2988948971
010100020104,3.05297739711
010100020105,10.72504168
010100020201,6.04799778666
010100020202,4.56902933866
010100020203,4.66029370204
010100020204,9.26775900833
010100020301,1.41246528924
010100020302,1.28669151943
010100020303,2.77123249881
010100020304,6.27388053527
010100020305,3.39404085651
010100020306,2.21426203288
010100020307,2.83609579317
010100020308,4.48080236558
010100020401,5.95029616915
010100020402,2.93961122911
010100020403,8.22364971135
010100020404,4.54303111788
010100020405,3.40682419296
010100020406,2.72916349862
010100020501,9.47919091396
010100020502,10.2940992434
010100020503,5.18514962122
010100020504,8.65719295107
010100020505,7.7790883407
010100020601,6.64269942045
010100020602,29.5454289094
010100020701,2.18367674202
010100020702,2.68245065119
010100020703,4.81870970782
010100020704,11.8821058664
010100020705,8.9709397275
010100020706,3.71573797427
010100020707,3.12350779772
010100020708,3.953325551
010100020709,6.96270471625
010100020710,5.03923629969
010100020711,24.4686465431
010100030101,12.6343710236
010100030102,18.0778287575
010100030103,7.49403924868
010100030104,11.1493282989
010100030105,8.44349716604
010100030201,8.56681619585
010100030202,9.84010358527
010100030203,35.3861897476
010100030204,14.9186126478
010100030205,31.7480492033
010100030206,23.9926206991
010100030207,30.1072198637
010100030301,10.2012532204
010100030302,60.0913709849
010100030303,10.5858565047
010100030304,20.5835092664
010100030305,11.8346458077
010100030306,15.5891766548
010100030307,10.6793751419
010100030308,19.9978887923
010100030309,35.0738471076
010100030310,68.4442046843
010100030401,39.5504848547
010100030402,15.4420726672
010100030403,33.2575864121
010100040101,7.01185263321
010100040102,13.0799440928
010100040103,8.28491770849
010100040104,5.86373485066
010100040201,13.0412464067
010100040202,11.2837248668
010100040203,11.6354169827
010100040301,11.140298536
010100040302,7.23108074814
010100040303,13.0808444489
010100040304,6.26937679201
010100040305,11.0947078355
010100040306,12.6308215614
010100040401,20.3817590885
010100040402,22.225667838
010100040501,24.1385416165
010100040502,25.2144164927
010100040503,19.0685642362
010100040504,10.7715752274
010100040505,26.8487876691
010100040506,42.2368419021
010100040601,13.2432287931
010100040602,8.09671567008
010100040603,22.7484641634
010100040604,9.9279124178
010100040605,8.89025704563
010100040606,26.5228931792
010100040701,16.0817111544
010100040702,22.1335034706
