HUC_12,NATSmall,NATMedium,NATLarge
010100020101,0.0,99.9999928371,7.21208409906e-06
010100020102,9.93785625025e-10,99.9999980539,2.01306980605e-06
010100020103,0.0,99.9999958503,4.07903418376e-06
010100020104,0.00999999785477,99.9899913992,8.5858089937e-06
010100020105,2.70291301892e-11,4.67214204269e-06,99.9999952967
010100020201,1.57412546612e-10,7.08749764446e-06,99.999992806
010100020202,0.0,99.9999955226,4.50591904154e-06
010100020203,0.0,99.9999974833,2.59097388035e-06
010100020204,0.0,2.19008076772e-06,99.999997888
010100020301,1.82406576737e-09,99.9999843207,1.55390650168e-05
010100020302,0.0,100.000000253,0.0
010100020303,2.70791625898e-10,99.9999937023,5.96734844667e-06
010100020304,0.0,6.73373751328e-06,99.9999933329
010100020305,0.0,99.9999897971,1.03071509621e-05
010100020306,9.24313439453e-10,99.9999905834,9.24221008109e-06
010100020307,8.18567034326e-11,99.9999993478,8.18485177622e-07
010100020308,0.0,99.9999928702,7.16255301576e-06
010100020401,0.0,99.9999998349,1.48987912139e-07
010100020402,0.0,99.9999920765,8.11472526642e-06
010100020403,0.0,8.19818758624e-06,99.9999917709
010100020404,0.0,99.9999939649,5.95239019583e-06
010100020405,0.0,99.999994839,5.21452270729e-06
010100020406,0.0,99.9999935548,6.57333925258e-06
010100020501,0.0,99.9999870407,1.288973834e-05
010100020502,0.0,1.32894996269e-05,99.9999866614
010100020503,0.0,99.9999912604,8.83844219534e-06
010100020504,0.0,99.9999997949,1.64920019278e-07
010100020505,0.0,99.9999892682,1.07964732871e-05
010100020601,1.09054476924e-09,99.999970603,2.95282444803e-05
010100020602,0.0,9.02172390362e-06,99.999990992
010100020701,0.0,99.9999893726,1.04508251041e-05
010100020702,0.0,99.9999947852,5.26247361031e-06
010100020703,0.0,99.9999888474,1.11996974006e-05
010100020704,6.11208452973e-10,9.59992448256e-06,99.9999903259
010100020705,9.55109646444e-10,99.9999952124,4.88225926049e-06
010100020706,0.109999969237,99.8899703063,2.96192465101e-05
010100020707,1.11666565976e-09,99.9999960642,3.72110220019e-06
010100020708,8.37420167438e-09,99.9999929235,7.19740676652e-06
010100020709,2.75015241436e-09,99.9999801629,1.97144959821e-05
010100020710,0.0100000009203,99.9899954911,4.64212823713e-06
010100020711,0.0300000006939,4.30816397755e-06,99.9699956463
010100030101,0.0,99.9999880453,1.19673456286e-05
010100030102,6.65225178445e-09,99.9999999736,0.0
010100030103,0.0,99.9999998903,0.0
010100030104,3.19784371122e-08,99.9999975495,2.39576983241e-06
010100030105,0.259999873777,99.7399919304,8.22205884758e-06
010100030201,2.40985567049e-09,99.9999996481,7.30418475975e-07
010100030202,0.0100000906316,99.9899918938,7.99495638098e-06
010100030203,0.229999990127,3.69000298466,96.0699969268
010100030204,0.0199999975251,99.9799841921,1.57807303536e-05
010100030205,0.0100000115032,6.38473405815e-06,99.9899935949
010100030206,1.48139196417e-07,3.19046947743e-06,99.9999967155
010100030207,1.77999992875,98.2199976564,2.43066943172e-06
010100030301,2.18000026094,97.8199983601,1.19457423757e-06
010100030302,9.70999923199,18.7600048348,71.5299960005
010100030303,0.190000384095,99.7999981221,1.51077909858e-06
010100030304,23.7799992072,76.2200008134,0.0
010100030305,14.0600007142,85.9399911106,8.24637132577e-06
010100030306,1.03000165535,98.9699967396,1.60855603197e-06
010100030307,0.0100000039573,99.9899975384,2.46843450867e-06
010100030308,0.0100001167241,99.9899889747,1.09159046735e-05
010100030309,0.170000563326,8.08515127127e-06,99.8299912685
010100030310,0.58000004626,19.8300012867,79.579998665
010100030401,1.07000011886,5.65539969186e-06,98.9299942686
010100030402,29.4199973846,70.5800024318,0.0
010100030403,11.0100001639,88.989993728,6.16179260989e-06
010100040101,0.109999998187,99.8900001474,0.0
010100040102,0.0100000010011,1.08197022282e-06,99.9899988842
010100040103,1.35664248221e-10,100.000000021,0.0
010100040104,0.00999999780336,99.9899875269,1.23244426168e-05
010100040201,3.04194072009e-08,2.86666699289e-06,99.9999970241
010100040202,1.04999999105,98.9499991564,9.12385982428e-07
010100040203,1.18286453752e-08,99.9999993847,6.79611554235e-07
010100040301,0.0,99.9999999478,0.0
010100040302,0.0100000000148,99.990000148,0.0
010100040303,0.0,1.35717787505e-05,99.999986513
010100040304,0.0,99.9999999297,0.0
010100040305,0.0,100.000000019,0.0
010100040306,0.0,99.999986675,1.32485937633e-05
010100040401,2.82881050524e-08,0.0,99.9999999769
010100040402,0.359999977203,0.0,99.64999997
010100040501,0.0200000172727,99.969999909,0.0
010100040502,3.59689470773e-09,7.27313153363e-07,99.9999992073
010100040503,0.0,100.00000014,0.0
010100040504,5.21492515741e-08,99.9999943945,5.23953491658e-06
010100040505,0.090000000102,99.9100001133,0.0
010100040506,0.889999993595,9.69000070607,89.4199993565
010100040601,0.0,99.9999956117,4.47616445617e-06
010100040602,4.54485676252e-09,99.9999994473,4.5457749154e-07
010100040603,0.989999625963,8.50139505796e-06,99.0199918038
010100040604,0.0,100.000000314,0.0
010100040605,0.559999973038,99.439986775,1.31523970099e-05
010100040606,3.46999999846,96.5199999571,0.0
010100040701,0.0,2.38081271845e-06,99.9999975848
010100040702,0.0,0.0,99.9999999136
010100040703,0.0,0.0,100.000000117
010100040801,0.0100000000008,99.9900000081,0.0
010100040802,0.0,100.00000032,0.0
010100040803,0.0,99.9999997465,0.0
010100040804,5.87770191053e-07,99.9999992503,0.0
010100040805,0.869999999684,1.75984560408e-07,99.1299998206
010100040901,1.46000003053,5.54000114051,92.9899988043
010100040902,0.049999997159,99.9499999724,0.0
010100040903,0.709999999978,99.2899999969,0.0
010100040904,3.90999998392,96.0900000661,0.0
010100040905,1.64999998091,98.3499985973,1.38125555613e-06
010100040906,0.0100000000012,99.9900000123,0.0
010100040907,0.840000155533,99.1599999553,0.0
010100040908,2.9405942533e-12,100.000000258,0.0
010100040909,2.06000087781,97.9399989245,0.0
010100041001,7.8299999764,92.1699995542,4.81974247235e-07
010100041002,5.21773716139e-09,99.9999825011,1.73872394675e-05
010100041003,1.40914917972e-07,99.9999949988,4.79164711495e-06
010100041004,5.37905191525e-09,99.9999997481,1.82908374513e-07
010100041005,0.13999999956,99.8599996858,0.0
010100041006,4.49999960559,95.5000004628,0.0
010100041007,9.46000012109,90.549999933,0.0
010100041008,10.8200000318,89.1800000005,0.0
010100041009,39.7899995552,60.2100004415,0.0
010100041101,20.4000000003,79.5900000011,0.0
010100041102,17.9600000017,82.0500000077,0.0
010100041103,0.370000013146,99.6399999681,0.0
010100041104,3.07000015177,3.63000574508,93.2999941205
010100041105,0.490002708124,99.5099972765,0.0
010100041106,6.0999999983,93.8899999738,0.0
010100041107,9.13000001127,90.8700001121,0.0
010100041108,6.84999952642,93.1500003861,0.0
010100041109,36.3899999979,63.6099999964,0.0
010100041110,27.6391339108,72.3508668518,0.0
010100041111,6.78999987686,93.2099983096,0.0
010100041112,28.619999344,71.3700006903,0.0
010100041113,74.2400000066,25.7600000023,0.0
010100050101,0.27752801278,99.7225512864,0.0
010100050102,6.53000001812,93.469998371,1.60798773934e-06
010100050201,0.0300000099529,1.11942562198e-06,99.9699989068
010100050202,14.2699983714,85.7399995495,2.01148501224e-06
010100050203,2.609999974,8.64000472972,88.7499953742
010100050301,0.0300003155309,99.9699986726,9.41771602506e-07
010100050302,6.65000013484,93.3499998681,0.0
010100050303,15.3299999191,84.6700000426,0.0
010100050304,13.1799999003,86.8100000201,0.0
010100050305,5.67000014575,94.3199999622,0.0
010100050306,14.0100001308,85.9899997628,0.0
010100050307,40.6999974244,59.3000025232,0.0
