HUC_12,NIDamCount,NIDamMGAL
010100020101,0.0,0.00111300330618
010100020102,0.0,0.0
010100020103,0.0,0.000745132326528
010100020104,0.0,0.000770399338456
010100020105,1.0,34279.9958626
010100020201,0.0,5.51577391665e-05
010100020202,0.0,0.000581122253411
010100020203,0.0,0.0
010100020204,1.0,32258.9993094
010100020301,0.0,0.0
010100020302,0.0,0.0
010100020303,0.0,0.0
010100020304,0.0,0.0
010100020305,0.0,0.0
010100020306,0.0,0.0
010100020307,0.0,0.0
010100020308,0.0,0.0
010100020401,0.0,0.0
010100020402,0.0,8.16633628004e-05
010100020403,0.0,0.0
010100020404,0.0,0.0
010100020405,0.0,0.0
010100020406,0.0,0.0
010100020501,0.0,5.59219664671e-07
010100020502,0.0,0.0
010100020503,0.0,7.02955746801e-07
010100020504,0.0,0.0
010100020505,0.0,0.0
010100020601,1.0,30.9999964438
010100020602,0.0,2.71512053351e-06
010100020701,0.0,0.0
010100020702,0.0,0.0
010100020703,0.0,0.0
010100020704,0.0,0.0
010100020705,0.0,0.0
010100020706,0.0,0.0
010100020707,0.0,0.0
010100020708,0.0,0.0
010100020709,0.0,0.0
010100020710,0.0,0.0
010100020711,0.0,0.0
010100030101,0.0,0.0
010100030102,0.0,0.0
010100030103,0.0,0.0
010100030104,0.0,0.0
010100030105,0.0,0.0
010100030201,0.0,0.0
010100030202,0.0,0.0
010100030203,0.0,0.0
010100030204,0.0,2.108689451e-07
010100030205,1.0,8.50433776021e-07
010100030206,1.0,38.9999964781
010100030207,0.0,2.68808760454e-07
010100030301,0.0,0.0
010100030302,0.0,9.69216693465e-05
010100030303,0.0,0.0
010100030304,0.0,4.06866285128e-06
010100030305,1.0,80.9999758351
010100030306,0.0,6.41299268747e-06
010100030307,0.0,0.0
010100030308,0.0,0.0
010100030309,0.0,5.50031471215e-06
010100030310,0.0,1.88558815218e-06
010100030401,0.0,9.14333386164e-06
010100030402,0.0,6.15418409862e-06
010100030403,0.0,2.00036296273e-06
010100040101,0.0,0.0
010100040102,1.0,7462.00000711
010100040103,0.0,0.0
010100040104,0.0,0.0
010100040201,0.0,0.0
010100040202,0.0,0.0
010100040203,0.0,0.0
010100040301,0.0,0.0
010100040302,0.0,0.0
010100040303,0.0,0.0
010100040304,0.0,0.0
010100040305,0.0,0.0
010100040306,0.0,0.0
010100040401,0.0,0.0
010100040402,0.0,0.0
010100040501,0.0,0.0
010100040502,0.0,0.0
010100040503,0.0,0.0
010100040504,0.0,0.0
010100040505,0.0,0.0
010100040506,0.0,0.0
010100040601,0.0,0.0
010100040602,0.0,0.0
010100040603,0.0,0.0
010100040604,0.0,0.0
010100040605,0.0,0.0
010100040606,0.0,0.0
010100040701,1.0,204.999998897
010100040702,0.0,0.0
010100040703,0.0,0.0
010100040801,0.0,0.0
010100040802,0.0,0.0
010100040803,0.0,0.0
010100040804,0.0,0.0
010100040805,0.0,0.0
010100040901,1.0,19323.0000078
010100040902,0.0,0.0
010100040903,0.0,0.0
010100040904,0.0,0.0
010100040905,0.0,0.0
010100040906,0.0,0.0
010100040907,0.0,0.0
010100040908,0.0,0.0
010100040909,0.0,6.60745883835e-06
010100041001,1.0,33.9999999701
010100041002,0.0,0.0
010100041003,0.0,0.0
010100041004,1.0,1487.99999865
010100041005,0.0,0.0
010100041006,1.0,895.999968495
010100041007,1.0,26.0000314348
010100041008,6.0,3062.99995951
010100041009,1.0,593.000005032
010100041101,0.0,0.0
010100041102,0.0,0.0
010100041103,0.0,0.0
010100041104,0.0,1.83165998316e-08
010100041105,0.0,0.0
010100041106,0.0,0.0
010100041107,0.0,0.0
010100041108,0.0,0.0
010100041109,2.0,139.999999945
010100041110,4.0,1719.00003088
010100041111,1.0,20.9999998762
010100041112,4.0,3809.99996729
010100041113,0.0,0.0
010100050101,0.0,0.0
010100050102,0.0,0.0
010100050201,0.0,0.0
010100050202,0.0,0.0
010100050203,0.0,0.0
010100050301,1.0,1540.99985402
010100050302,1.0,18.0000292108
010100050303,0.0,0.0
010100050304,0.0,0.0
010100050305,0.0,0.0
010100050306,0.0,0.0
010100050307,0.0,0.0
010100050308,0.0,0.0
010100060101,0.0,0.0
010100060102,0.0,0.0
010100060103,0.0,0.0
010100060104,0.0,0.00021475570509
010100060105,0.0,0.0
010100060106,0.0,5.62297788341e-05
010100060107,0.0,0.0
010100060108,0.0,0.0
010100060109,0.0,0.0
010100060201,0.0,3.90609557337e-05
010100060202,0.0,0.0
010100060203,0.0,0.0
010100060204,0.0,0.0
010100060205,0.0,0.0
010100060206,0.0,0.0
010100060207,0.0,0.0
010100060208,0.0,0.0
010100060305,0.0,0.0
010100060306,0.0,0.0
010100060307,0.0,0.0
010100060312,0.0,0.0
010100060313,0.0,0.0
010100070101,0.0,0.0
010100070102,0.0,0.0
010100070103,0.0,0.0
010100070204,0.0,0.0
010100070205,0.0,0.0
010100070206,0.0,0.0
010100070207,0.0,0.0
010100070208,0.0,0.0
010100070209,0.0,0.0
010100070301,0.0,0.0
010100070302,0.0,0.0
010100070303,0.0,0.0
010100070304,0.0,0.0
010100070305,0.0,0.0
010100070306,0.0,0.0
010100070401,0.0,0.0
010100070402,0.0,0.0
010100070403,0.0,0.0
010100070404,0.0,0.0
010100070405,0.0,0.0
010100070502,0.0,0.0
010100070503,0.0,0.0
010100070504,0.0,0.0
010100070505,0.0,0.0
010100070506,0.0,0.0
010100070507,0.0,0.0
010100070601,0.0,0.0
010100070602,0.0,0.0
010100070603,0.0,0.0
010100070604,0.0,0.0
010100070605,0.0,0.0
010100070606,0.0,0.0
010100070607,0.0,0.0
010100070701,0.0,0.0
010100070702,0.0,0.0
010100070703,0.0,0.0
010100080101,0.0,4.34228207997e-07
010100080102,0.0,0.0
010100080401,0.0,0.0
010100080403,0.0,0.0
010100080404,0.0,0.0
010100080405,0.0,0.0
010100080406,0.0,0.0
010100080407,0.0,0.0
010100080408,0.0,0.0
010100080503,1.0,186.999991376
010100080504,0.0,0.0
010100081107,0.0,0.0
010100081108,0.0,0.0
010100090601,0.0,4.30893046882e-06
010100090603,1.0,1459.99989648
010100090604,0.0,2.27780637767e-06
010100090605,0.0,0.0
010100090607,0.0,2.85385171847e-05
010100090608,0.0,0.0
010100100101,0.0,0.0
010100100102,0.0,0.0
010100100201,2.0,5115.99994999
010100100202,1.0,59.0000442808
010100100203,0.0,1.01801772916e-07
010100100204,0.0,0.0
010100100205,0.0,0.0
010100100206,2.0,189.000000041
010100100207,0.0,0.0
010100110103,0.0,0.0
010200010101,0.0,0.0
010200010102,0.0,0.0
010200010103,0.0,9.93560428519e-05
010200010104,1.0,976.727313879
010200010105,2.0,1506.31880027
010200010106,0.0,0.000632503038784
010200010201,0.0,0.0
010200010202,1.0,2623.96310794
010200010203,0.0,0.0
010200010204,0.0,0.0
010200010205,0.0,0.0
010200010206,0.0,7.69316459278e-05
010200010207,1.0,7061.00050276
010200010208,0.0,8.37546958485e-05
010200010209,0.0,8.36333599319e-05
010200010210,1.0,38150.9941563
010200010301,0.0,0.0
010200010302,0.0,0.0
010200010303,0.0,1.90902569103e-05
010200010304,0.0,0.000346369207967
010200010305,0.0,0.0
010200010306,0.0,0.0
010200010307,0.0,0.00202280198539
010200010308,0.0,0.000186079846289
010200010401,0.0,0.000515524271212
010200010402,0.0,0.0
010200010403,0.0,0.000726968219129
010200010404,2.0,17286.9975864
010200010501,0.0,0.00106973530373
010200010502,0.0,0.00326336058274
010200010503,0.0,2.08344286949e-05
010200010504,0.0,0.000262470146291
010200010505,1.0,9935.00136519
010200010506,0.0,0.00232500859332
010200010507,1.0,2506.00010699
010200010508,0.0,0.00120385252104
010200010509,2.0,227010.982883
010200010601,0.0,0.000134036755529
010200010602,1.0,3844.99954385
010200010701,0.0,0.0
010200010702,0.0,0.000733281316842
010200010703,0.0,0.00267456271891
010200010704,0.0,0.00855551892441
010200010801,0.0,0.00995230737268
010200010802,0.0,0.0
010200010803,0.0,0.0
010200010804,0.0,0.0
010200010805,0.0,0.0107231478474
010200010901,0.0,0.000266397055093
010200010902,1.0,0.0
010200010903,0.0,0.0
010200010904,0.0,0.0030966100126
010200010905,7.0,789210.916888
010200010906,0.0,0.000294581825302
010200010907,2.0,5279.00020632
010200011001,0.0,0.0
010200011002,0.0,0.000100691185412
010200011003,0.0,4.99199257874e-05
010200011004,1.0,14784.0111661
010200011005,7.0,18476.0278468
010200011006,0.0,0.00123234114523
010200011007,3.0,14795.9991416
010200020101,0.0,0.0
010200020102,0.0,0.0
010200020103,0.0,0.0
010200020104,0.0,0.0
010200020105,0.0,0.00105837470797
010200020106,0.0,0.00151740584673
010200020107,1.0,34279.9960682
010200020108,0.0,0.00288594594834
010200020201,0.0,0.0004168449105
010200020202,0.0,0.00045276647346
010200020203,0.0,0.0
010200020204,0.0,0.00124545107435
010200020205,1.0,14923.9974187
010200020301,0.0,0.0
010200020302,0.0,5.6214803622e-05
010200020303,0.0,0.0
010200020304,0.0,0.0
010200020401,0.0,1.10650427151e-05
010200020402,0.0,0.0
010200020403,0.0,0.000382469324648
010200020404,0.0,1.91561870196e-05
010200020405,1.0,354.999943059
010200020406,0.0,1.41002690343e-05
010200020407,0.0,0.0
010200020408,0.0,0.0
010200020501,0.0,0.0
010200020502,0.0,0.0
010200020503,0.0,0.000599685798157
010200020504,0.0,0.0
010200020505,0.0,0.0
010200020506,0.0,0.0
010200020507,0.0,0.00120710316681
010200030101,0.0,2.95362619939e-07
010200030102,0.0,4.96892054848e-07
010200030103,0.0,3.93488719533e-07
010200030104,0.0,6.87308782148e-07
010200030105,0.0,0.0
010200030106,0.0,0.0
010200030107,0.0,0.0
010200030108,0.0,0.0
010200030109,1.0,18.9999974309
010200030110,0.0,7.2485314191e-07
010200030111,0.0,0.0
010200030112,0.0,0.0
010200030113,0.0,0.0
010200030201,0.0,0.0
010200030202,0.0,0.0
010200030203,0.0,0.0
010200030204,0.0,0.000108733143077
010200030205,0.0,7.53212464939e-06
010200030301,0.0,0.0
010200030302,0.0,0.0
010200030303,0.0,5.67204435469e-05
010200030401,0.0,0.0
010200030402,0.0,0.00262221107562
010200030403,0.0,0.000443218871215
010200030404,1.0,30505.0255478
010200030501,0.0,0.0
010200030502,0.0,0.0
010200030503,0.0,0.0
010200030504,0.0,0.0
010200030505,0.0,0.0
010200030506,0.0,0.0
010200030507,0.0,0.0
010200030508,0.0,0.0
010200030509,0.0,0.0
010200030510,0.0,0.0
010200030511,0.0,0.000653805935148
010200030601,0.0,0.0
010200030602,0.0,0.0
010200030603,0.0,0.0
010200030604,0.0,0.0
010200030605,0.0,0.0
010200030606,0.0,0.0
010200030607,0.0,0.0
010200030701,1.0,845.999612526
010200030702,0.0,4.03210490501e-05
010200030703,2.0,117.000006582
010200030704,0.0,4.22561103286e-06
010200040101,0.0,0.0
010200040102,0.0,0.0
010200040103,0.0,7.02395956105e-07
010200040104,0.0,0.000676858064006
010200040105,0.0,0.0
010200040106,0.0,0.0
010200040107,0.0,0.0
010200040108,1.0,1167.99971835
010200040109,0.0,0.0
010200040110,0.0,3.63999871121e-06
010200040111,2.0,106.999999054
010200040201,2.0,863.999951851
010200040202,1.0,642.999994129
010200040203,8.0,1390.00001716
010200040204,0.0,0.0
010200040205,0.0,0.000264722893227
010200040301,0.0,0.0
010200040302,0.0,0.0
010200040303,0.0,0.0
010200040304,1.0,550.999948165
010200040305,1.0,251.000262253
010200040306,0.0,0.000104840903132
010200040307,0.0,0.0
010200040308,0.0,0.0
010200040309,0.0,0.0
010200040310,0.0,0.0
010200040311,1.0,19658.9994165
010200040312,1.0,31.9999999917
010200040401,0.0,0.0
010200040402,0.0,0.0
010200040403,0.0,0.0
010200040404,0.0,0.0
010200040405,0.0,0.0
010200040406,0.0,0.0
010200040407,0.0,0.0
010200040408,0.0,0.0
010200040409,0.0,0.0
010200040410,1.0,8337.00001172
010200040501,0.0,0.0117522066682
010200040502,0.0,0.0
010200040503,0.0,0.0
010200040504,1.0,2.54956331238e-05
010200040601,0.0,0.0
010200040602,1.0,7168.99976641
