HUC_12,RdBuffArea,ESTPOP_no_buff
010100030203,1721700.0,24.7967995288
010100030207,4239000.0,5.88140981949
010100030301,58500.0,0.0
010100030302,3527100.0,75.3683212641
010100030303,1269000.0,0.482200026512
010100030304,2840400.0,7.44414269157
010100030305,2079900.0,26.2033894139
010100030306,2127600.0,5.08903537219
010100030310,3550500.0,70.7193562324
010100030401,629100.0,9.25120515618
010100030402,982800.0,21.7985451147
010100030403,7146900.0,399.050193479
010100040402,114300.0,0.0
010100040501,1402200.0,0.0
010100040506,3315600.0,1.0850501824
010100040605,197100.0,0.0
010100040606,2994300.0,10.5327921416
010100040901,4544100.0,49.9745206399
010100040903,898200.0,0.0154468439869
010100040904,8094600.0,67.5961770306
010100040905,1106100.0,0.179009650368
010100040907,708300.0,3.64528976858
010100040909,1210500.0,2.37837113126
010100041001,4363200.0,303.495185589
010100041007,4602600.0,353.800776857
010100041008,6572700.0,697.446661002
010100041009,17629200.0,687.359775775
010100041101,8531100.0,562.386459625
010100041102,2398500.0,184.141492077
010100041103,3087900.0,2.22150222048
010100041104,735300.0,0.271094706706
010100041105,900.0,0.0
010100041106,1511100.0,7.53069620051
010100041107,625500.0,0.0
010100041108,3851100.0,125.608092431
010100041109,3573900.0,124.065320943
010100041110,1723500.0,60.497976105
010100041111,424800.0,20.5134224904
010100041112,5693400.0,283.691425339
010100041113,13164300.0,641.848389249
010100050101,446400.0,5.43825935572
010100050102,6424200.0,156.195436613
010100050202,990000.0,25.6595075528
010100050203,1191600.0,67.4126310619
010100050302,6214500.0,28.8892558068
010100050303,4731300.0,73.6959628706
010100050304,1307700.0,30.0432428382
010100050305,1470600.0,10.2892890318
010100050306,627300.0,34.2602904445
010100050307,7632000.0,287.038302021
010100050308,637200.0,39.0122185143
010100020101,0.0,0.0
010100020102,0.0,0.0
010100020103,0.0,0.0
010100020104,0.0,0.0
010100020105,0.0,0.0
010100020201,0.0,0.0
010100020202,0.0,0.0
010100020203,0.0,0.0
010100020204,0.0,0.0
010100020301,0.0,0.0
010100020302,0.0,0.0
010100020303,0.0,0.0
010100020304,0.0,0.0
010100020305,0.0,0.0
010100020306,0.0,0.0
010100020307,0.0,0.0
010100020308,0.0,0.0
010100020401,0.0,0.0
010100020402,0.0,0.0
010100020403,0.0,0.0
010100020404,0.0,0.0
010100020405,0.0,0.0
010100020406,0.0,0.0
010100020501,0.0,0.0
010100020502,0.0,0.0
010100020503,0.0,0.0
010100020504,0.0,0.0
010100020505,0.0,0.0
010100020601,0.0,0.0
010100020602,0.0,0.0
010100020701,0.0,0.0
010100020702,0.0,0.0
010100020703,0.0,0.0
010100020704,0.0,0.0
010100020705,0.0,0.0
010100020706,0.0,0.0
010100020707,0.0,0.0
010100020708,0.0,0.0
010100020709,0.0,0.0
010100020710,0.0,0.0
010100020711,0.0,0.0
010100030101,0.0,0.0
010100030102,0.0,0.0
010100030103,0.0,0.0
010100030104,0.0,0.0
010100030105,0.0,0.0
010100030201,0.0,0.0
010100030202,0.0,0.0
010100030204,0.0,0.0
010100030205,0.0,0.0
010100030206,0.0,0.0
010100030307,0.0,0.0
010100030308,0.0,0.0
010100030309,0.0,0.0
010100040101,0.0,0.0
010100040102,0.0,0.0
010100040103,0.0,0.0
010100040104,0.0,0.0
010100040201,0.0,0.0
010100040202,0.0,0.0
010100040203,0.0,0.0
010100040301,0.0,0.0
010100040302,0.0,0.0
010100040303,0.0,0.0
010100040304,0.0,0.0
010100040305,0.0,0.0
010100040306,0.0,0.0
010100040401,0.0,0.0
010100040502,0.0,0.0
010100040503,0.0,0.0
010100040504,0.0,0.0
010100040505,0.0,0.0
010100040601,0.0,0.0
010100040602,0.0,0.0
010100040603,0.0,0.0
010100040604,0.0,0.0
010100040701,0.0,0.0
010100040702,0.0,0.0
010100040703,0.0,0.0
010100040801,0.0,0.0
010100040802,0.0,0.0
010100040803,0.0,0.0
010100040804,0.0,0.0
010100040805,0.0,0.0
010100040902,0.0,0.0
010100040906,0.0,0.0
010100040908,0.0,0.0
010100041002,0.0,0.0
010100041003,0.0,0.0
010100041004,0.0,0.0
010100041005,0.0,0.0
010100041006,0.0,0.0
010100050201,0.0,0.0
010100050301,0.0,0.0
010100060101,0.0,0.0
010100060102,0.0,0.0
010100060103,0.0,0.0
010100060104,0.0,0.0
010100060105,0.0,0.0
010100060106,0.0,0.0
010100080504,20700.0,6.28666249663
010100081107,5553900.0,314.185907222
010100081108,3613500.0,268.215767952
010100090601,5865300.0,262.309039341
010100090603,190800.0,14.1570158145
010100090604,3087900.0,194.433426353
010100090605,2212200.0,48.7037978367
010100090607,4238100.0,115.97640387
010100090608,1386900.0,24.563547579
010100100101,211500.0,7.42787002017
010100100201,4578300.0,195.738476664
010100100202,3782700.0,253.891053349
010100100203,1683000.0,56.4437973301
010100100204,746100.0,28.3082681428
010100100205,2137500.0,89.6927910686
010100100206,671400.0,66.2490335403
010100110103,513000.0,3.01369439103
010200010201,2157300.0,0.0
010200010505,1481400.0,0.0
010200010506,2302200.0,0.0
010200010509,3338100.0,0.0
010200010902,11700.0,0.0
010200010904,6200100.0,0.0
010200010905,3749400.0,1.80156683922
010200010907,1013400.0,0.0
010200011004,2142900.0,0.900783419609
010200011005,3176100.0,405.792048372
010200011007,4522500.0,91.6782371467
010100060107,0.0,0.0
010100060108,0.0,0.0
010100060109,0.0,0.0
010100060201,0.0,0.0
010100060202,0.0,0.0
010100060203,0.0,0.0
010100060204,0.0,0.0
010100060205,0.0,0.0
010100060206,0.0,0.0
010100060207,0.0,0.0
010100060208,0.0,0.0
010100060305,0.0,0.0
010100060306,0.0,0.0
010100060307,0.0,0.0
010100060312,0.0,0.0
010100060313,0.0,0.0
010100070101,0.0,0.0
010100070102,0.0,0.0
010100070103,0.0,0.0
010100070204,0.0,0.0
010100070205,0.0,0.0
010100070206,0.0,0.0
010100070207,0.0,0.0
010100070208,0.0,0.0
010100070209,0.0,0.0
010100070301,0.0,0.0
010100070302,0.0,0.0
010100070303,0.0,0.0
010100070304,0.0,0.0
010100070305,0.0,0.0
010100070306,0.0,0.0
010100070401,0.0,0.0
010100070402,0.0,0.0
010100070403,0.0,0.0
010100070404,0.0,0.0
010100070405,0.0,0.0
010100070502,0.0,0.0
010100070503,0.0,0.0
010100070504,0.0,0.0
010100070505,0.0,0.0
010100070506,0.0,0.0
010100070507,0.0,0.0
010100070601,0.0,0.0
010100070602,0.0,0.0
010100070603,0.0,0.0
010100070604,0.0,0.0
010100070605,0.0,0.0
010100070606,0.0,0.0
010100070607,0.0,0.0
010100070701,0.0,0.0
010100070702,0.0,0.0
010100070703,0.0,0.0
010100080101,0.0,0.0
010100080102,0.0,0.0
010100080401,0.0,0.0
010100080403,0.0,0.0
010100080404,0.0,0.0
010100080405,0.0,0.0
010100080406,0.0,0.0
010100080407,0.0,0.0
010100080408,0.0,0.0
010100080503,0.0,0.0
010100100102,0.0,0.0
010100100207,0.0,0.0
010200010101,0.0,0.0
010200010102,0.0,0.0
010200010103,0.0,0.0
010200010104,0.0,0.0
010200010105,0.0,0.0
010200010106,0.0,0.0
010200010202,0.0,0.0
010200010203,0.0,0.0
010200010204,0.0,0.0
010200010205,0.0,0.0
010200010206,0.0,0.0
010200010207,0.0,0.0
010200010208,0.0,0.0
010200010209,0.0,0.0
010200010210,0.0,0.0
010200010301,0.0,0.0
010200010302,0.0,0.0
010200010303,0.0,0.0
010200010304,0.0,0.0
010200010305,0.0,0.0
010200010306,0.0,0.0
010200010307,0.0,0.0
010200010308,0.0,0.0
010200010401,0.0,0.0
010200010402,0.0,0.0
010200010403,0.0,0.0
010200010404,0.0,0.0
010200010501,0.0,0.0
010200010502,0.0,0.0
010200010503,0.0,0.0
010200010504,0.0,0.0
010200010507,0.0,0.0
010200010508,0.0,0.0
010200010601,0.0,0.0
010200010602,0.0,0.0
010200010701,0.0,0.0
010200010702,0.0,0.0
010200010703,0.0,0.0
010200010704,0.0,0.0
010200010801,0.0,0.0
010200010802,0.0,0.0
010200010803,0.0,0.0
010200010804,0.0,0.0
010200010805,0.0,0.0
010200010901,0.0,0.0
010200010903,0.0,0.0
010200010906,0.0,0.0
010200011001,0.0,0.0
010200011002,0.0,0.0
010200011003,0.0,0.0
010200011006,0.0,0.0
010200020101,0.0,0.0
010200020102,0.0,0.0
010200020103,0.0,0.0
010200020104,0.0,0.0
010200020105,0.0,0.0
010200020106,0.0,0.0
010200020107,0.0,0.0
010200020108,0.0,0.0
010200020504,720900.0,2.27493236993
010200020505,2537100.0,2.29902890102
010200020507,4802400.0,9.44865593419
010200030102,165600.0,0.0
010200030103,3466800.0,0.0359305234924
010200030104,1288800.0,0.0
010200030105,2417400.0,5.12793223967
010200030106,3244500.0,23.8075689001
010200030107,5320800.0,131.077573168
010200030108,1214100.0,4.29669392976
010200030109,3528000.0,12.79519324
010200030110,4808700.0,36.9888324498
010200030111,1366200.0,18.5668149906
010200030112,1284300.0,0.0
010200030201,1722600.0,14.4980151573
010200030202,6950700.0,86.5605383696
010200030204,2444400.0,0.0
010200030205,2219400.0,3.21783703705
010200030301,3245400.0,2.12702027609
010200030302,1197900.0,0.0
010200030303,5643900.0,3.25226528673
010200030401,6387300.0,17.5615006885
010200030402,4844700.0,28.3942564248
010200030403,2313900.0,0.000152836597408
010200030404,5290200.0,22.6867624858
010200030502,1835100.0,1.49756107774
010200030503,7912800.0,13.0647421225
010200030504,540900.0,0.0
010200030505,61200.0,0.0
010200030506,3157200.0,0.228397280764
010200030507,443700.0,0.0
010200030508,1969200.0,0.0
010200030509,2892600.0,11.361583629
010200030510,312300.0,0.0
010200030511,5733000.0,9.783926717
010200030601,4195800.0,62.457212655
010200030602,3513600.0,36.7596467331
010200030603,6575400.0,63.4384490197
010200030605,1387800.0,24.7529778696
010200030606,1578600.0,2.78149776533
010200030607,7742700.0,4.51348241853
010200030701,1442700.0,0.00461388887197
010200030702,1803600.0,2.30344247611
010200030703,5456700.0,33.0992750088
010200030704,2136600.0,8.39932568793
010200040104,1974600.0,6.20057464902
010200040105,450000.0,0.0
010200040106,1590300.0,2.18104421702
010200040107,167400.0,0.0
010200040108,2411100.0,0.0
010200040110,4892400.0,3.59826941573
010200040111,2892600.0,71.8823863916
010200040201,3032100.0,25.6192315484
010200040202,3349800.0,42.9752117379
010200040203,4305600.0,127.45208377
010200040204,4474800.0,29.4420390332
010200040205,6750000.0,50.1512265193
010200040302,642600.0,7.45078544121
010200040303,267300.0,0.000184324278962
010200040304,2435400.0,2.86492963193
010200040312,2066400.0,77.114470014
010200040408,725400.0,2.72912568596
010200040409,3714300.0,0.615237549314
010200040410,4087800.0,74.211951755
010200040501,3605400.0,0.0
010200040504,302400.0,0.0
010200040601,4113000.0,6.8490036404
010200040602,433800.0,0.0
010200040603,79200.0,0.0
010200040604,7311600.0,76.4164196053
010200050101,7767900.0,32.4459768638
010200050102,3697200.0,0.10203012079
010200050103,621900.0,0.0
010200050104,7911000.0,11.6517834005
010200050201,6932700.0,75.1960721794
010200050202,1071900.0,11.7351996047
010200050203,3186000.0,4.20183848836
010200050204,5981400.0,1.17955493287
010200050205,2552400.0,106.662628037
010200050207,4157100.0,0.245510300621
010200050208,11814300.0,208.500427428
010200050301,348300.0,8.9702579077
010200050306,389700.0,0.024888670072
010200050310,3231000.0,23.4940498527
010200050311,67500.0,0.0
010200050401,9219600.0,33.2929329477
010200050402,149400.0,0.0
010200050403,2189700.0,0.0
010200050404,3654900.0,0.0642228201032
010200050407,55800.0,0.64246943593
010200050408,10503000.0,48.5768762728
010200050501,3096900.0,40.7673768175
010200050502,4833000.0,32.6099802848
010200050503,3452400.0,13.6184412438
010200050504,5458500.0,19.8408569336
010200050505,6174000.0,91.203799398
010200050506,7221600.0,147.188368936
010200050507,3242700.0,11.1139330232
010200050508,279900.0,6.45959389675
010200050509,5725800.0,28.3898999539
010200050510,6315300.0,163.712074301
010200050601,771300.0,1.5064009428
010200050602,6142500.0,45.8962554869
010200050603,9297900.0,457.011797971
010200050701,4539600.0,76.22711997
010200050702,4515300.0,179.358258174
010200050703,9018900.0,134.479898034
010200050704,3030300.0,40.1805059011
010200050705,4134600.0,212.749893953
010200050706,6840900.0,195.752383395
010200050707,9846000.0,1346.56869908
010200050801,5738400.0,96.2579342024
010200050802,5667300.0,39.3434357612
010200050803,2342700.0,34.4563865422
010200050804,10268100.0,217.880673528
010200050805,7877700.0,225.77165934
010200050901,6194700.0,35.8856475112
010200050902,3123000.0,41.5973459475
010200050903,3540600.0,59.5005938112
010200050904,4446900.0,123.02991016
010200050905,334800.0,14.6749402088
010200050906,3098700.0,39.3787486005
010200051001,1657800.0,22.1935059955
010200051002,377100.0,6.73969426751
010200051003,17862300.0,1617.20504813
010200051004,4939200.0,40.5334497798
010200051005,1194300.0,6.07830834322
010200051006,3282300.0,23.9974272856
010200051007,10904400.0,232.808427907
010200051008,3441600.0,65.8819263381
010200051009,6207300.0,78.8604075626
010300010301,390600.0,0.0
010300010302,3739500.0,15.7852787824
010300010303,356400.0,30.5230126977
010300010307,1584000.0,0.303972837843
010300010308,2545200.0,0.0
010300010309,6282000.0,68.4699804962
010300010310,1237500.0,0.0
010300010403,2396700.0,0.0
010300010404,2568600.0,8.00193312354
010300010506,1285200.0,0.0
010300010507,1904400.0,0.0
010300010508,1530000.0,0.0
010300010509,36000.0,0.0
010300010510,11818800.0,117.278722153
010300010601,265500.0,0.0
010300010603,1108800.0,0.0
010300010609,2253600.0,0.0
010300010610,159300.0,0.687372585759
010300020101,2242800.0,0.0
010300020102,2299500.0,0.0354771334678
010300020103,2535300.0,0.015455216635
010300020104,99000.0,0.0
010300020106,2079000.0,0.00530693912879
010300020202,2737800.0,0.00718147459156
010300020203,1196100.0,0.0
010300020204,1931400.0,1.6174735891
010300020301,3086100.0,13.8535988762
010300020303,2232000.0,47.1080252678
010300020505,826200.0,0.0
010300020506,1917000.0,0.339593393997
010300030101,2659500.0,0.237888761644
010300030103,72000.0,0.0
010300030106,4968900.0,1.54747138917
010300030202,1097100.0,0.0
010300030203,1405800.0,19.9918783661
010300030301,7402500.0,121.742561196
010300030302,329400.0,12.9645859521
010300030303,718200.0,2.7165621949
010300030304,5201100.0,93.0023923003
010300030401,2453400.0,2.06289553642
010300030402,4068900.0,9.18340891041
010300030502,900.0,0.0
010300030503,5260500.0,40.4250190469
010300030601,5357700.0,6.69912937087
010300030602,5021100.0,68.9595054632
010300030703,3750300.0,9.12982187401
010300030801,1878300.0,0.895339593029
010300030803,117000.0,0.991890917037
010300030804,4877100.0,52.7544332413
010300030901,288000.0,0.176103325131
010300030902,4141800.0,1.43895959854
010300030904,3201300.0,18.8319777094
010300030905,5116500.0,42.7804197778
010300031001,3218400.0,29.075215586
010300031002,2659500.0,42.7485238216
010300031003,129600.0,0.356069326401
010300031004,8977500.0,346.683928878
010300031101,4335300.0,18.9794312292
010300031102,5699700.0,19.3141171995
010300031103,9078300.0,75.3487589468
010300031201,2188800.0,2.14046168443
010300031202,2103300.0,0.00328778551193
010300031203,828900.0,0.608416423202
010300031204,1989000.0,25.8633967712
010300031205,493200.0,2.75163943216
010300031206,11292300.0,78.5302264271
010300031301,5637600.0,143.974359588
010300031302,8909100.0,312.537025204
010300031401,2020500.0,7.79788677093
010300031402,4175100.0,8.81580790004
010300031403,4180500.0,40.3054945886
010300031404,6878700.0,120.855985726
010300031405,1585800.0,38.3473040859
010300031501,5561100.0,249.50182256
010300031502,4378500.0,43.9558993364
010300031503,837000.0,31.622776852
010300031504,1151100.0,1.50206259097
010300031505,4641300.0,173.618556862
010300031506,5778000.0,116.451187918
010300031507,10618200.0,867.453231858
010300031601,2571300.0,7.26302502978
010300031602,5920200.0,12.1021325959
010300031603,1135800.0,7.92788882549
010300031604,4387500.0,26.7766102848
010300031605,6077700.0,21.3519951861
010300031606,2211300.0,34.7788747514
010300031701,5468400.0,60.7360110397
010300031702,10668600.0,120.936087498
010300031801,1840500.0,5.40850692867
010300031802,4800600.0,182.330521413
010300031803,1961100.0,88.1486833906
010300031804,1555200.0,48.2086795527
010300031805,5602500.0,49.6482552471
010300031806,5561100.0,276.618882037
010300031901,10890900.0,49.4766937645
010300031902,5467500.0,22.5222181098
010300031903,7589700.0,101.698902232
010300031904,10267200.0,112.550452424
010300032001,1446300.0,22.4196390996
010300032002,6216300.0,68.2001529705
010300032003,6721200.0,51.8291341403
010300032004,5150700.0,122.453586553
010300032005,2233800.0,41.8564938206
010300032101,8016300.0,104.645642199
010300032102,2412000.0,33.0569571961
010300032103,1550700.0,0.0
010300032104,6759000.0,228.138683128
010300032105,4191300.0,192.518184347
010300032106,11820600.0,469.266518637
010300032201,3949200.0,81.63271427
010300032202,8912700.0,95.0921999591
010300032203,4660200.0,33.0259564264
010300032204,12278700.0,263.513144636
010300032205,10334700.0,315.90114633
010300032301,5795100.0,114.368154405
010300032302,1569600.0,13.4849566648
010300032303,6867900.0,271.176136362
010300032304,2634300.0,107.853976413
010300032305,4855500.0,49.4005795269
010300032306,3413700.0,25.0441857469
010300032307,3285900.0,105.998553362
010300032308,5454000.0,30.6878416941
010300032309,13050000.0,217.971785982
010300032401,1886400.0,19.3574640073
010300032402,2313900.0,50.009534391
010300032403,3225600.0,89.5037509039
010300032404,21682800.0,601.532380081
010300032405,6988500.0,156.050024598
010300032406,1338300.0,3.24821138382
010300032407,4928400.0,85.2995957005
010300032408,9606600.0,123.246945152
010300032409,20708100.0,646.041939893
010400010104,768600.0,0.0
010400010105,1355400.0,0.0
010400010106,1929600.0,0.0
010400010107,8355600.0,5.37778519417
010400010108,2034000.0,0.0
010400010109,5841000.0,0.564807072282
010400010110,990000.0,0.0
010400010201,4545000.0,0.0
010400010202,190800.0,0.0
010400010203,1732500.0,0.0
010400010305,760500.0,0.0
010400010306,2836800.0,3.78019248031
010400010406,2662200.0,0.295616490926
010400010502,4533300.0,9.02230022158
010400010601,1555200.0,0.0
010400010602,6231600.0,2.50899374485
010400010603,1839600.0,0.331218906776
010400010604,2256300.0,7.56169484183
010400010606,4201200.0,71.2028623512
010400010607,3191400.0,169.499508045
010400020101,3896100.0,20.9623676129
010400020102,4745700.0,36.5477695307
010400020103,4216500.0,5.96621079702
010400020201,3277800.0,0.0
010400020202,316800.0,1.66937953979
010400020203,4968000.0,27.7905712872
010400020204,4229100.0,32.4546506722
010400020205,146700.0,0.198990680419
010400020206,5180400.0,6.5973452915
010400020207,4347000.0,18.3487790411
010400020301,174600.0,0.0
010400020302,53100.0,0.0
010400020303,5171400.0,13.0841580249
010400020304,2797200.0,3.89516248295
010400020305,3069000.0,8.57008267388
010400020401,3591900.0,15.8364945183
010400020402,6300.0,0.0
010400020403,3681000.0,0.111902638499
010400020404,2974500.0,12.6179506722
010400020405,5984100.0,132.264501185
010400020406,11292300.0,524.581051859
010400020501,6011100.0,1.70438193975
010400020502,4233600.0,52.2279933115
010400020503,151200.0,18.2522074155
010400020504,3681900.0,37.583642655
010400020505,12663900.0,103.03718706
010400020601,5913900.0,43.8938964074
010400020602,7922700.0,284.797633905
010400020603,4538700.0,33.1221245417
010400020604,3508200.0,18.5427601385
010400020605,6386400.0,66.2483664313
010400020606,3940200.0,86.7303806857
010400020701,3747600.0,39.1059808012
010400020702,7952400.0,21.060607414
010400020703,8900100.0,138.321263549
010400020704,8631000.0,151.451827781
010400020801,3679200.0,42.8118272356
010400020802,1145700.0,51.2327416731
010400020803,10197900.0,5167.80892519
010400020901,5643900.0,10.5705617839
010400020902,6957000.0,273.516232051
010400020903,4455000.0,29.5482303454
010400020904,7894800.0,618.957698348
010400020905,2904300.0,43.4469400546
010400020906,1791000.0,20.8804791844
010400020907,3275100.0,84.4026579757
010400020908,5640300.0,223.181865209
010400020909,6731100.0,123.102692277
010400020910,15326100.0,347.986257701
010400021001,7414200.0,276.781903184
010400021002,14328900.0,419.414238489
010400021003,2401200.0,76.2326706909
010400021004,4984200.0,24.8219618217
010400021005,15890400.0,1537.80676166
010400021006,13084200.0,133.711656906
010400021007,14094900.0,332.339877961
010500010101,2012400.0,13.9158664696
010500010102,3893400.0,22.8967496705
010500010207,1021500.0,0.0
010500010401,1457100.0,0.112902157009
