HUC_12,pCanopy
010100020101,77.3881637291
010100020102,77.6945531934
010100020103,78.289435742
010100020104,77.3297433976
010100020105,73.6611463981
010100020201,77.2023736916
010100020202,77.7929576911
010100020203,75.3366267044
010100020204,73.8078868603
010100020301,80.6311584259
010100020302,79.9182254775
010100020303,77.4968083788
010100020304,74.166787131
010100020305,74.9426456984
010100020306,76.0986122257
010100020307,78.4298395942
010100020308,73.9140310872
010100020401,74.7723674237
010100020402,75.2147831177
010100020403,75.2903592219
010100020404,72.7625145162
010100020405,76.3150099344
010100020406,76.9503221833
010100020501,75.9666491769
010100020502,76.5141451076
010100020503,74.0333865997
010100020504,73.6654995331
010100020505,71.1447802502
010100020601,76.3091216216
010100020602,73.5778374578
010100020701,78.0680240516
010100020702,79.9634078807
010100020703,78.0969872396
010100020704,78.0269385407
010100020705,66.6509635498
010100020706,75.1769298676
010100020707,74.1285196626
010100020708,73.3780185759
010100020709,72.0371408986
010100020710,67.0344395119
010100020711,75.8095547988
010100030101,69.3085036256
010100030102,76.3030062918
010100030103,77.5684653867
010100030104,71.684382793
010100030105,73.565682268
010100030201,76.2186495894
010100030202,72.0112542313
010100030203,70.0632343762
010100030204,69.8269639567
010100030205,69.8995852788
010100030206,74.442117478
010100030207,72.3335722705
010100030301,49.8764053989
010100030302,54.6210504851
010100030303,67.4071738156
010100030304,44.6731020506
010100030305,53.1402467386
010100030306,63.5534164398
010100030307,73.3747717923
010100030308,71.492959696
010100030309,70.8937909853
010100030310,74.5305071027
010100030401,72.1645885415
010100030402,47.2366872029
010100030403,55.4765843403
010100040101,74.7666476097
010100040102,71.9929093868
010100040103,75.8464246794
010100040104,71.2043812003
010100040201,76.2542118883
010100040202,77.3135594028
010100040203,72.8178702868
010100040301,74.3939504332
010100040302,68.9936920577
010100040303,71.9031108734
010100040304,75.5778737428
010100040305,71.2865475903
010100040306,74.1510179877
010100040401,73.9136314711
010100040402,69.128924936
010100040501,70.9933513281
010100040502,67.6348352984
010100040503,71.1143164795
010100040504,70.9889166374
010100040505,71.1953818367
010100040506,69.0947350017
010100040601,74.3382754868
010100040602,71.3067065445
010100040603,73.3559744244
010100040604,70.1116435993
010100040605,70.1079666212
010100040606,69.0459839451
010100040701,77.3215622144
010100040702,73.087209266
010100040703,69.0798439509
010100040801,71.4755120123
010100040802,74.4557357357
010100040803,76.751616243
010100040804,75.0716226408
010100040805,73.1639062775
010100040901,68.784288927
010100040902,72.6272964712
010100040903,72.1491433356
010100040904,63.4628000425
010100040905,71.3990045274
010100040906,76.4892437969
010100040907,73.3049593763
010100040908,75.6452078785
010100040909,67.4190077371
010100041001,52.6904457561
010100041002,71.1141821606
010100041003,71.5838061885
010100041004,71.8906406112
010100041005,76.1752670607
010100041006,65.2904898139
010100041007,51.014383657
010100041008,48.0677689656
010100041009,30.4983023001
010100041101,45.3042137718
010100041102,35.7607002074
010100041103,66.454179734
010100041104,69.9921233086
010100041105,63.9472561842
010100041106,64.9717079166
010100041107,61.1744383057
010100041108,56.9697036822
010100041109,34.6067371822
010100041110,37.6627885435
010100041111,38.6138986293
010100041112,38.5159715067
010100041113,24.0826413817
010100050101,68.7723185558
010100050102,63.8451754287
010100050201,70.3297584848
010100050202,45.0971470137
010100050203,65.3274673994
010100050301,74.3854155699
010100050302,64.820903555
010100050303,52.497258385
010100050304,59.4938201679
010100050305,64.7006079733
010100050306,48.87811523
010100050307,41.8513436533
010100050308,44.5592649094
010100060101,73.6746865243
010100060102,72.8414606175
010100060103,66.3004401776
010100060104,72.7863904438
010100060105,79.132673432
010100060106,78.5489381242
010100060107,75.8882782609
010100060108,72.0235353715
010100060109,73.8951471584
010100060201,73.5804004123
010100060202,71.035809894
010100060203,65.2004764801
010100060204,72.1269601119
010100060205,69.439705438
010100060206,73.2626496527
010100060207,76.6613224699
010100060208,68.3300354051
010100060305,63.9191013921
010100060306,63.762414966
010100060307,69.6469359331
010100060312,62.2232959237
010100060313,70.1656351756
010100070101,73.5409019376
010100070102,64.2436263217
010100070103,74.7384555743
010100070204,65.1423901199
010100070205,76.415745165
010100070206,70.3332595315
010100070207,69.356841526
010100070208,73.1889571986
010100070209,75.6450175476
010100070301,73.5778775703
010100070302,72.7858292079
010100070303,70.6450283463
010100070304,73.2852819864
010100070305,75.8669873609
010100070306,73.7653096629
010100070401,70.5957552142
010100070402,72.0663656514
010100070403,76.8804519077
010100070404,77.0894034643
010100070405,79.8231507172
010100070502,79.6256281407
010100070503,77.7116521198
010100070504,75.2506569211
010100070505,73.8416979881
010100070506,75.5623527129
010100070507,78.9930831788
010100070601,80.0906095552
010100070602,79.5761547738
010100070603,73.774866839
010100070604,72.8737796576
010100070605,76.9947743531
010100070606,75.2507716168
010100070607,78.1837839349
010100070701,76.7352883745
010100070702,73.4951801475
010100070703,77.1145532555
010100080101,75.245382025
010100080102,75.0403020148
010100080401,73.8226229508
010100080403,77.4025671881
010100080404,78.1931543844
010100080405,77.6425876105
010100080406,76.7754993308
010100080407,72.7395474447
010100080408,78.6413738506
010100080503,71.0789259561
010100080504,60.1752781211
010100081107,53.0654523211
010100081108,53.0126611879
010100090601,56.008336366
010100090603,59.9979182498
010100090604,44.5967924662
010100090605,53.5472502696
010100090607,53.880891354
010100090608,57.2351024209
010100100101,49.7327068211
010100100102,51.2738080235
010100100201,26.6977936828
010100100202,46.9134305605
010100100203,37.3517469216
010100100204,58.1963065664
010100100205,55.3402799378
010100100206,33.908831675
010100100207,51.1219836595
010100110103,55.0983343948
010200010101,66.7822030172
010200010102,68.0185099043
010200010103,68.8253818839
010200010104,72.3101172958
010200010105,71.5983128854
010200010106,72.4721721151
010200010201,77.5387946485
010200010202,75.0955488744
010200010203,74.3609991528
010200010204,77.0625988059
010200010205,81.3873141828
010200010206,80.0257875744
010200010207,70.4373588124
010200010208,76.3008882806
010200010209,80.2879937731
010200010210,68.6550900442
010200010301,75.7932952607
010200010302,72.3053487901
010200010303,80.3113594041
010200010304,76.050685477
010200010305,71.7949085911
010200010306,63.3787797233
010200010307,65.97676215
010200010308,66.0333330689
010200010401,72.539020439
010200010402,67.6580492361
010200010403,77.3883341867
010200010404,72.5540295472
010200010501,60.7465933232
010200010502,69.5898408438
010200010503,70.8712895039
010200010504,73.9797659385
010200010505,66.053791852
010200010506,74.7660066602
010200010507,75.4734743882
010200010508,70.3613892688
010200010509,67.001503373
010200010601,79.4411885607
010200010602,79.0583419834
010200010701,79.4832500802
010200010702,76.4691847262
010200010703,80.8166058876
010200010704,80.8150366252
010200010801,78.2134996216
010200010802,74.0217003066
010200010803,80.131256978
010200010804,78.566190901
010200010805,71.5006680405
010200010901,76.8536126414
010200010902,76.4767344498
010200010903,76.8471947142
010200010904,74.5007796199
010200010905,69.9014698051
010200010906,75.7612198592
010200010907,68.1101790052
010200011001,78.0307220568
010200011002,73.7401801232
010200011003,71.7847049183
010200011004,70.0992416559
010200011005,65.3781173685
010200011006,72.5853077092
010200011007,67.0971560466
010200020101,80.3425360845
010200020102,79.7365055629
010200020103,71.4376660941
010200020104,66.4936817122
010200020105,76.7186892953
010200020106,75.5226268676
010200020107,80.8925764951
010200020108,79.3792833566
010200020201,70.1954158572
010200020202,73.1161444094
010200020203,74.5881266405
010200020204,81.5413693506
010200020205,76.5809080934
010200020301,73.4166062489
010200020302,74.909723053
010200020303,80.6651043544
010200020304,77.8710259185
010200020401,72.6353936193
010200020402,73.7867865533
010200020403,74.9972231784
010200020404,72.8217721372
010200020405,72.6177822801
010200020406,74.0420529339
