HUC_12,PAGHYD80
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,5.45272384621e-09
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0
010100020711,6.87787246215e-11
010100030101,0.0
010100030102,1.95068278261e-12
010100030103,0.0
010100030104,1.36151044809e-09
010100030105,1.62609678468e-08
010100030201,2.10573639248e-09
010100030202,0.020000022043
010100030203,0.18999999175
010100030204,3.43674754237e-09
010100030205,0.0499999998299
010100030206,4.01271576203e-08
010100030207,0.289999989663
010100030301,8.86999951442
010100030302,3.55999995505
010100030303,1.22000073163
010100030304,4.28000005032
010100030305,3.27999991599
010100030306,3.89999992265
010100030307,0.0800000114687
010100030308,0.0700000399418
010100030309,0.560000077677
010100030310,0.170000011766
010100030401,0.310000023824
010100030402,4.08999983978
010100030403,2.57999995119
010100040101,0.0
010100040102,0.0
010100040103,2.71328496442e-10
010100040104,0.0199999968392
010100040201,0.0
010100040202,0.0
010100040203,6.86337663335e-11
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,2.19725712936e-09
010100040306,0.0
010100040401,0.020000001032
010100040402,0.0499999980898
010100040501,0.0500000065967
010100040502,0.0800000177896
010100040503,0.0600000000843
010100040504,0.0200000039653
010100040505,0.210000000238
010100040506,0.0799999996811
010100040601,0.0199999999997
010100040602,0.0899999994718
010100040603,0.0100000036616
010100040604,0.14000000044
010100040605,0.11999999064
010100040606,0.249999999889
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0100001696104
010100040805,0.0500000002817
010100040901,0.280000007245
010100040902,0.0499999977242
010100040903,0.209999999993
010100040904,0.859999996766
010100040905,0.0900000015765
010100040906,0.0200000000025
010100040907,0.0900000388761
010100040908,5.88118850661e-12
010100040909,0.460000064274
010100041001,1.80999999258
010100041002,0.030000034753
010100041003,0.0200000863709
010100041004,0.179999996436
010100041005,0.199999999371
010100041006,1.29999990061
010100041007,2.51999998201
010100041008,1.99000000317
010100041009,2.8899999734
010100041101,2.37000000003
010100041102,3.73000000035
010100041103,0.670000067436
010100041104,0.330000076244
010100041105,0.950000048174
010100041106,1.04999999971
010100041107,1.7800000022
010100041108,1.90999972833
010100041109,3.10999999982
010100041110,2.93996992745
010100041111,3.28999994034
010100041112,3.97999992326
010100041113,3.28000000029
010100050101,0.785803929782
010100050102,2.16999997495
010100050201,0.230000000232
010100050202,3.79999980325
010100050203,1.61999996901
010100050301,0.200000068233
010100050302,1.6200000268
010100050303,3.38999999906
010100050304,3.39999997786
010100050305,1.80000001558
010100050306,5.28999999398
010100050307,5.21999985683
010100050308,4.41999996897
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,1.73267057577e-05
010100070701,0.0
010100070702,0.0
010100070703,1.1534539796e-06
010100080101,3.07147743746e-09
010100080102,0.010000012158
010100080401,0.0
010100080403,0.0
010100080404,0.0
010100080405,0.0
010100080406,0.0
010100080407,0.0
010100080408,0.0
010100080503,0.879999962604
010100080504,2.62999998407
010100081107,3.01000014571
010100081108,3.75770840118
010100090601,3.24999998443
010100090603,1.61000008589
010100090604,5.26999993066
010100090605,2.11999999732
010100090607,1.75000001958
010100090608,4.64999996763
010100100101,2.56000003159
010100100102,2.58000002182
010100100201,5.08999992621
010100100202,2.62000022744
010100100203,4.4799999373
010100100204,2.53999999625
010100100205,2.98000005971
010100100206,5.75999995628
010100100207,2.99000774037
010100110103,1.92826312479
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,2.91833009449e-10
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,1.71095784985e-11
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,5.66952105665e-11
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,2.7645109362e-09
010200010801,0.0199999958451
010200010802,0.0
010200010803,4.17933264364e-10
010200010804,1.65495380861e-09
010200010805,0.0100000006316
010200010901,6.4280169388e-11
010200010902,0.0
010200010903,0.0
010200010904,7.74754948124e-11
010200010905,0.0400000013452
010200010906,0.0500000368907
010200010907,1.1799999053
010200011001,4.39153166647e-09
010200011002,0.0399999968184
010200011003,0.129999995086
010200011004,0.0700000069135
010200011005,0.389999954692
010200011006,0.35999998088
010200011007,0.399999983446
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,1.63439039537e-09
010200020201,0.0
010200020202,1.32873746301e-09
010200020203,5.50844562031e-10
010200020204,1.70284972021e-09
010200020205,0.0199999985107
010200020301,0.219999983785
010200020302,0.0500000023737
010200020303,2.97130095017e-09
010200020304,5.1537715143e-09
010200020401,0.0100000012098
010200020402,0.0399999988744
010200020403,0.0499999949729
010200020404,0.109999997305
010200020405,0.020000002489
010200020406,0.0399999990763
010200020407,0.0300000062979
010200020408,0.100000004206
010200020501,6.08501816064e-09
010200020502,0.0100000002029
010200020503,0.0400000078286
010200020504,0.490000019209
010200020505,0.110000025507
010200020506,0.190000001701
010200020507,0.0900000119449
010200030101,0.0700000045473
010200030102,0.0100000555725
010200030103,0.259999999361
010200030104,0.220000056401
010200030105,0.350000014009
010200030106,0.649999979899
010200030107,1.32999990253
010200030108,0.220000029231
010200030109,0.350000006389
010200030110,1.01999994951
010200030111,0.429999998905
010200030112,0.200000002036
010200030113,0.0900000234013
010200030201,0.380000009482
010200030202,2.42999969152
010200030203,0.200000082302
010200030204,0.489999948254
010200030205,0.270000110451
010200030301,0.250006845203
010200030302,0.200000005391
010200030303,0.369997199647
010200030401,0.119999998084
010200030402,0.180000008018
010200030403,0.0500000112051
010200030404,0.549999883562
010200030501,0.180000005525
010200030502,0.190000007993
010200030503,0.249999999047
010200030504,0.369999986833
010200030505,0.120000003527
010200030506,0.42999998748
010200030507,0.579999799935
010200030508,0.110000032609
010200030509,0.309999989166
010200030510,0.120000016684
010200030511,0.199999995861
010200030601,1.55999980696
010200030602,1.02000000991
010200030603,1.19999996485
010200030604,0.480000063891
010200030605,0.849999838336
010200030606,0.120000017403
010200030607,0.290000029262
010200030701,0.180000044776
010200030702,0.279999998763
010200030703,0.309999998731
010200030704,0.250000018121
010200040101,0.289999991473
010200040102,0.0
010200040103,0.0100000074293
010200040104,0.0199999992609
010200040105,0.0
010200040106,0.0900000000092
010200040107,0.0899999935581
010200040108,1.18121842096e-08
010200040109,0.0899999992346
010200040110,0.0100000125861
010200040111,0.0899999938814
010200040201,0.540000001728
010200040202,0.470000005099
010200040203,0.390000002667
010200040204,0.420000003864
010200040205,1.2499999735
010200040301,0.0
010200040302,4.64081929347e-11
010200040303,0.0299999999256
010200040304,0.0100000062882
010200040305,0.109999985663
010200040306,0.0100000088007
010200040307,0.0199999997526
010200040308,0.0600000001429
010200040309,0.0199999999906
010200040310,0.00999999998887
010200040311,0.0700000005499
010200040312,0.119999999851
010200040401,0.0
010200040402,2.32890520082e-11
010200040403,0.0
010200040404,2.56960828292e-12
010200040405,0.0199999999476
010200040406,0.0
010200040407,0.0
010200040408,0.0
010200040409,0.00999999999962
010200040410,0.279999982435
010200040501,0.0799999991321
010200040502,0.149999996245
010200040503,0.0700000000573
010200040504,0.689999986711
010200040601,0.300000001997
010200040602,0.0999999997466
010200040603,0.0900000008031
010200040604,0.149999998735
010200050101,1.20999996962
010200050102,0.0800000107187
010200050103,0.130000023893
010200050104,0.160000007397
010200050201,0.609999984239
010200050202,0.269999930333
010200050203,0.279999997319
010200050204,0.19000000035
010200050205,0.110000029949
010200050206,0.0200000047023
010200050207,0.0800000005906
010200050208,0.569999992263
010200050301,0.0399271688852
010200050302,0.0200293437112
010200050303,0.339784945376
010200050304,2.03922092792e-05
010200050305,0.0799999989254
010200050306,0.0900000013731
