HUC_12,Acres_Unpo
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0
010100020711,0.0
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.0
010100030201,0.0
010100030202,0.0
010100030203,0.0
010100030204,0.0
010100030205,0.0
010100030206,0.0
010100030207,0.0
010100030301,0.0
010100030302,0.0
010100030303,0.0
010100030304,0.0
010100030305,0.0
010100030306,0.0
010100030307,0.0
010100030308,0.0
010100030309,0.0
010100030310,0.0
010100030401,0.0
010100030402,0.0
010100030403,0.0
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.0
010100040503,0.0
010100040504,0.0
010100040505,0.0
010100040506,0.0
010100040601,0.0
010100040602,0.0
010100040603,0.0
010100040604,0.0
010100040605,0.0
010100040606,0.0
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,0.0
010100040901,0.0
010100040902,0.0
010100040903,0.0
010100040904,0.0
010100040905,0.0
010100040906,0.0
010100040907,0.0
010100040908,0.0
010100040909,0.0
010100041001,0.0
010100041002,0.0
010100041003,0.0
010100041004,0.0
010100041005,0.0
010100041006,0.0
010100041007,0.0
010100041008,0.0
010100041009,0.0
010100041101,0.0
010100041102,0.0
010100041103,0.0
010100041104,0.0
010100041105,0.0
010100041106,0.0
010100041107,0.0
010100041108,0.0
010100041109,0.0
010100041110,0.0
010100041111,0.0
010100041112,0.0
010100041113,0.0
010100050101,0.0
010100050102,0.0
010100050201,0.0
010100050202,0.0
010100050203,0.0
010100050301,0.0
010100050302,0.0
010100050303,0.0
010100050304,0.0
010100050305,0.0
010100050306,0.0
010100050307,0.0
010100050308,0.0
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.0
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,0.0
010100080401,0.0
010100080403,0.0
010100080404,0.0
010100080405,0.0
010100080406,0.0
010100080407,0.0
010100080408,0.0
010100080503,0.0
010100080504,0.0
010100081107,0.0
010100081108,0.0
010100090601,0.0
010100090603,0.0
010100090604,0.0
010100090605,0.0
010100090607,0.0
010100090608,0.0
010100100101,0.0
010100100102,0.0
010100100201,0.0
010100100202,0.0
010100100203,0.0
010100100204,0.0
010100100205,0.0
010100100206,0.0
010100100207,0.0
010100110103,0.0
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,0.0
010200010905,0.0
010200010906,0.0
010200010907,0.0
010200011001,0.0
010200011002,0.0
010200011003,0.0
010200011004,0.0
010200011005,0.0
010200011006,0.0
010200011007,0.0
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0
010200020402,0.0
010200020403,0.0
010200020404,0.0
010200020405,0.0
010200020406,0.0
010200020407,0.0
010200020408,0.0
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,0.0
010200020505,0.0
010200020506,0.0
010200020507,0.0
010200030101,0.0
010200030102,0.0
010200030103,0.0
010200030104,0.0
010200030105,0.0
010200030106,0.0
010200030107,0.0
010200030108,0.0
010200030109,0.0
010200030110,0.0
010200030111,0.0
010200030112,0.0
010200030113,0.0
010200030201,0.0
010200030202,0.0
010200030203,0.0
010200030204,0.0
010200030205,0.0
010200030301,0.0
010200030302,0.0
010200030303,0.0
010200030401,0.0
010200030402,0.0
010200030403,0.0
010200030404,0.0
010200030501,0.0
010200030502,0.0
010200030503,0.0
010200030504,0.0
010200030505,0.0
010200030506,0.0
010200030507,0.0
010200030508,0.0
010200030509,0.0
010200030510,0.0
010200030511,0.0
010200030601,0.0
010200030602,0.0
010200030603,0.0
010200030604,0.0
010200030605,0.0
010200030606,0.0
010200030607,0.0
010200030701,0.0
010200030702,0.0
010200030703,0.0
010200030704,0.0
010200040101,0.0
010200040102,0.0
010200040103,0.0
010200040104,0.0
010200040105,0.0
010200040106,0.0
010200040107,0.0
010200040108,0.0
010200040109,0.0
010200040110,0.0
010200040111,0.0
010200040201,0.0
010200040202,0.0
010200040203,0.0
010200040204,0.0
010200040205,0.0
010200040301,0.0
010200040302,0.0
010200040303,0.0
010200040304,0.0
010200040305,0.0
010200040306,0.0
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.0
010200040312,0.0
010200040401,0.0
010200040402,0.0
010200040403,0.0
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.0
010200040409,0.0
010200040410,0.0
010200040501,0.0
010200040502,0.0
010200040503,0.0
010200040504,0.0
010200040601,0.0
010200040602,0.0
010200040603,0.0
010200040604,0.0
010200050101,0.0
010200050102,0.0
010200050103,0.0
010200050104,0.0
010200050201,0.0
010200050202,0.0
010200050203,0.0
010200050204,0.0
010200050205,0.0
010200050206,0.0
010200050207,0.0
010200050208,0.0
010200050301,0.0
010200050302,0.0
010200050303,0.0
010200050304,0.0
010200050305,0.0
010200050306,0.0
010200050307,0.0
010200050308,0.0
010200050309,0.0
010200050310,0.0
010200050311,0.0
010200050401,0.0
010200050402,0.0
010200050403,0.0
010200050404,0.0
010200050405,0.0
010200050406,0.0
010200050407,0.0
010200050408,0.0
010200050501,0.0
010200050502,0.0
010200050503,0.0
010200050504,0.0
010200050505,0.0
010200050506,0.0
010200050507,0.0
010200050508,0.0
010200050509,0.0
010200050510,0.0
010200050601,0.0
010200050602,0.0
010200050603,0.0
010200050701,0.0
010200050702,0.0
010200050703,0.0
010200050704,0.0
010200050705,0.0
010200050706,0.0
010200050707,0.0
010200050801,0.0
010200050802,0.0
010200050803,0.0
010200050804,0.0
010200050805,0.0
010200050901,0.0
010200050902,0.0
010200050903,0.0
010200050904,0.0
010200050905,0.0
010200050906,0.0
010200051001,0.0
010200051002,0.0
010200051003,0.0
010200051004,0.0
010200051005,0.0
010200051006,0.0
010200051007,0.0
010200051008,0.0
010200051009,0.0
010300010101,0.0
010300010102,0.0
010300010201,0.0
010300010202,0.0
010300010203,0.0
010300010204,0.0
010300010205,0.0
010300010206,0.0
010300010301,0.0
010300010302,0.0
010300010303,0.0
010300010304,0.0
010300010305,0.0
010300010306,0.0
010300010307,0.0
010300010308,0.0
010300010309,0.0
010300010310,0.0
010300010401,0.0
010300010402,0.0
010300010403,0.0
010300010404,0.0
010300010501,0.0
010300010502,0.0
010300010503,0.0
010300010504,0.0
010300010505,0.0
010300010506,0.0
010300010507,0.0
010300010508,0.0
010300010509,0.0
010300010510,0.0
010300010601,0.0
010300010602,0.0
010300010603,0.0
010300010604,0.0
010300010605,0.0
010300010606,0.0
010300010607,0.0
010300010608,0.0
010300010609,0.0
010300010610,0.0
010300020101,0.0
010300020102,0.0
010300020103,0.0
010300020104,0.0
010300020105,0.0
010300020106,0.0
010300020201,0.0
010300020202,0.0
010300020203,0.0
010300020204,0.0
010300020301,0.0
