HUC_12,R45Canopy
010100020101,60.5758591785
010100020102,67.414866582
010100020103,60.1747546347
010100020104,74.4546875
010100020105,38.9836004473
010100020201,71.0239827985
010100020202,61.3984962406
010100020203,67.2918088737
010100020204,56.7172489083
010100020301,70.9351557533
010100020302,71.3416216216
010100020303,67.9129200189
010100020304,66.8139016783
010100020305,71.207185211
010100020306,71.4197271773
010100020307,73.1866047232
010100020308,63.5131898971
010100020401,69.3323870968
010100020402,69.3126452041
010100020403,69.1002379952
010100020404,71.6210982
010100020405,74.5221610281
010100020406,71.3173896923
010100020501,68.1677031093
010100020502,70.5743004181
010100020503,73.0193006993
010100020504,72.8822999279
010100020505,67.7922762845
010100020601,74.8159011964
010100020602,71.9083574552
010100020701,71.5465
010100020702,73.6484018265
010100020703,71.35088293
010100020704,70.298981426
010100020705,65.022515528
010100020706,74.3065502183
010100020707,73.1852331606
010100020708,72.3895066018
010100020709,72.4812981298
010100020710,70.4069976077
010100020711,71.0009967032
010100030101,69.8059094126
010100030102,71.6068022886
010100030103,77.2652652653
010100030104,71.0970301519
010100030105,72.4666666667
010100030201,72.1967213115
010100030202,70.3179603767
010100030203,67.2311269417
010100030204,73.2165278668
010100030205,71.3539562624
010100030206,73.9009126467
010100030207,64.4443526171
010100030301,49.3578519856
010100030302,52.9795703946
010100030303,63.4384735202
010100030304,56.2298011578
010100030305,61.1806853583
010100030306,57.9911406423
010100030307,69.4728051392
010100030308,72.2089409056
010100030309,68.7461760142
010100030310,68.7225409553
010100030401,70.9424542995
010100030402,50.0038022814
010100030403,53.3797453148
010100040101,65.2370959961
010100040102,59.5888680212
010100040103,64.8096135721
010100040104,56.1637795276
010100040201,71.759894867
010100040202,72.0249809306
010100040203,65.2633136095
010100040301,71.8462529921
010100040302,66.6491571933
010100040303,66.2350686682
010100040304,72.7800862407
010100040305,68.3270254287
010100040306,63.0204122878
010100040401,63.0368213735
010100040402,63.2363218391
010100040501,63.7906118814
010100040502,61.7124476361
