HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
150701040707,9.0,7.39309829e+11,22542472400.0,2025.506381,61.760198
020402060602,4.0,5.60354179e+11,16487090000.0,1535.216928,45.17011
050301010310,6.0,5.36062318e+11,16725288400.0,1468.663884,45.822708
060300021107,3.0,5.356302e+11,15824046500.0,1467.48,43.353552
031300020408,24.0,4.48211255e+11,15767704800.0,1227.976042,43.199191
020503061709,7.0,4.39989352e+11,13301408300.0,1205.45028,36.442214
020301010105,5.0,4.39502421e+11,13721183100.0,1204.116223,37.592282
041401021003,3.0,4.2664923e+11,12604437300.0,1168.902,34.532705
121004010400,2.0,4.1522838e+11,12267032700.0,1137.612,33.608309
020501070307,6.0,4.10869092e+11,12234507700.0,1125.668746,33.519199
030601010802,3.0,4.0880511e+11,12077271000.0,1120.014,33.088414
030902061700,9.0,3.97693803e+11,11925289300.0,1089.572064,32.672026
060200010601,2.0,3.8935134e+11,11502551000.0,1066.716,31.513838
070900050408,2.0,3.7555434e+11,11094948200.0,1028.916,30.397118
071200050502,2.0,3.7555434e+11,11094948200.0,1028.916,30.397118
050902010605,12.0,3.74634174e+11,12355563000.0,1026.394997,33.850858
060200010608,2.0,3.742053e+11,11055093700.0,1025.22,30.287928
030501011402,4.0,3.74167474e+11,11076776500.0,1025.116368,30.347333
120602020110,2.0,3.72519e+11,11005275600.0,1020.6,30.15144
030902060402,14.0,3.71316424e+11,9325884610.0,1017.30527,25.550369
030501011506,2.0,3.6948366e+11,10915603000.0,1012.284,29.905762
020301010405,62.0,3.59898154e+11,13108515700.0,986.022341,35.913742
071200050802,2.0,3.58722e+11,10597672800.0,982.8,29.03472
180600060504,2.0,3.561159e+11,10520681200.0,975.66,28.823784
030601060805,2.0,3.55656e+11,10507094400.0,974.4,28.78656
020402031002,5.0,3.54797029e+11,10379207200.0,972.046656,28.436184
070801010402,5.0,3.50977873e+11,10678708100.0,961.583213,29.256734
040400010101,2.0,3.5033649e+11,10349940900.0,959.826,28.356002
120701040408,10.0,3.45919453e+11,11798235200.0,947.724528,32.323932
050302020904,7.0,3.40182257e+11,11238221500.0,932.006184,30.789648
070102030603,4.0,3.3287217e+11,10629921900.0,911.978549,29.123074
