HUC_12,Root_BMass_Tons
010100020101,43442.1081725
010100020102,53836.0103264
010100020103,45594.6152781
010100020104,35272.410556
010100020105,69355.8515757
010100020201,62173.3201584
010100020202,30187.0328961
010100020203,31470.1852497
010100020204,59906.3080155
010100020301,30021.5692641
010100020302,33511.1451844
010100020303,38443.0131895
010100020304,85238.5189807
010100020305,35659.6899016
010100020306,30756.7576249
010100020307,39788.702104
010100020308,47839.6814364
010100020401,36826.1108892
010100020402,30020.6860699
010100020403,56112.1108832
010100020404,26950.6604845
010100020405,27590.8257565
010100020406,22939.2284138
010100020501,46908.1994161
010100020502,62719.9460541
010100020503,35272.1495334
010100020504,54963.156109
010100020505,49563.187098
010100020601,32234.5638505
010100020602,141986.428115
010100020701,26388.8934244
010100020702,30559.2025158
010100020703,52185.9105848
010100020704,100356.314774
010100020705,51650.078663
010100020706,35473.5453881
010100020707,22091.5476714
010100020708,30489.4442251
010100020709,38661.0304997
010100020710,37837.9502936
010100020711,145924.280943
010100030101,66757.3722598
010100030102,57227.5211048
010100030103,39442.7583585
010100030104,53766.2195098
010100030105,28030.1959384
010100030201,27112.703458
010100030202,26001.3779527
010100030203,84450.1651967
010100030204,62821.0101836
010100030205,102687.31609
010100030206,93856.6069803
010100030207,67657.0801811
010100030301,14207.8075097
010100030302,79475.1010064
010100030303,21332.3953309
010100030304,26289.9287724
010100030305,20606.1109466
010100030306,26111.1966542
010100030307,24386.7146219
010100030308,42750.8729028
010100030309,55511.9260026
010100030310,148462.070105
010100030401,128568.132898
010100030402,24642.781295
010100030403,56921.8937274
010100040101,45215.8604996
010100040102,66417.8584227
010100040103,37481.167462
010100040104,30953.9078232
010100040201,80807.4710878
010100040202,70778.7341102
010100040203,60585.1958872
010100040301,55348.1447113
010100040302,31534.7087755
010100040303,73005.0847825
010100040304,38604.2575801
010100040305,54234.9444596
010100040306,59963.6118955
010100040401,66738.1533144
010100040402,66943.939165
010100040501,62479.0616526
010100040502,65034.4081192
010100040503,48507.8062779
010100040504,28228.5417227
010100040505,66860.8890467
010100040506,101371.73197
010100040601,53521.7545805
010100040602,30888.4068956
010100040603,82896.9773764
010100040604,29794.7311684
010100040605,26191.3448344
010100040606,61116.3146561
010100040701,83655.215879
010100040702,95534.5270716
010100040703,67557.4187757
010100040801,62880.3654817
010100040802,34313.2648688
010100040803,30098.4162825
010100040804,67303.0588325
010100040805,119205.546304
010100040901,109287.961161
010100040902,52553.611134
010100040903,52456.3956521
010100040904,99393.6807414
010100040905,61085.7272132
010100040906,37865.7559147
010100040907,26060.2365873
010100040908,50665.3548994
010100040909,71375.2029479
010100041001,64199.6983309
010100041002,42011.5232164
010100041003,26716.8765379
010100041004,40882.8470216
010100041005,54545.044957
010100041006,30590.3613846
010100041007,53362.6818437
010100041008,51071.465918
010100041009,55567.3746377
010100041101,49232.6489294
010100041102,16164.2215044
010100041103,47242.7205281
010100041104,69573.2838331
010100041105,42837.9881508
010100041106,49033.5119485
010100041107,34115.2203654
010100041108,54041.815656
010100041109,31266.4490517
010100041110,24636.709596
010100041111,6179.71317628
010100041112,38991.5959037
010100041113,30900.9740002
010100050101,28900.3256939
010100050102,58524.0512494
010100050201,95479.9098255
010100050202,17978.3300314
010100050203,93783.3658056
010100050301,33163.2740986
010100050302,50349.1434756
010100050303,37376.7891566
010100050304,25843.4046079
010100050305,62756.8540078
010100050306,18456.7632185
010100050307,38306.2043726
010100050308,11911.37786
010100060101,35576.6121244
010100060102,32361.7186677
010100060103,58074.0436517
010100060104,119956.794126
010100060105,34724.1781255
010100060106,27629.3534437
010100060107,35871.9257487
010100060108,82575.8153545
010100060109,81267.9653845
010100060201,26631.1710795
010100060202,28051.9931315
010100060203,9241.64261019
010100060204,71523.7516842
010100060205,40409.7515055
010100060206,28452.3880846
010100060207,53392.3357396
010100060208,65535.1406041
010100060305,6594.50817393
010100060306,2502.24534108
010100060307,1172.44938978
010100060312,13666.276852
010100060313,58376.0943373
010100070101,52716.1654232
010100070102,29849.7929124
010100070103,71236.2996232
010100070204,2093.8036221
010100070205,13328.9026998
010100070206,32641.4885752
010100070207,21979.2888121
010100070208,53786.1065811
010100070209,46070.3724018
010100070301,11381.7727745
010100070302,10258.6517639
010100070303,30766.6021936
010100070304,52949.4171986
010100070305,63567.022441
010100070306,52168.6660212
010100070401,35624.0874896
010100070402,34029.4048881
010100070403,83191.3513547
010100070404,55387.6330773
010100070405,61954.0201274
010100070502,933.858683442
010100070503,59130.9944202
010100070504,21192.2107088
010100070505,34786.3897685
010100070506,37816.6780652
010100070507,104048.577847
010100070601,8633.37679971
010100070602,15165.2062854
010100070603,34404.7371396
010100070604,23049.7831324
010100070605,47092.9785881
010100070606,41709.6692988
010100070607,107263.466754
010100070701,35010.3459905
010100070702,37131.66062
010100070703,64719.5533989
010100080101,75567.594079
010100080102,111901.12839
010100080401,11098.7554742
010100080403,81948.2286352
010100080404,37221.3834377
010100080405,41831.8702841
010100080406,54193.054568
010100080407,69964.9613515
010100080408,25600.5587117
010100080503,59686.5592508
010100080504,19715.7863282
010100081107,28943.3967476
010100081108,24760.3168327
010100090601,50559.0500221
010100090603,98749.545723
010100090604,12185.3095329
010100090605,36835.065029
010100090607,31534.6701439
010100090608,9377.30427552
010100100101,18031.6743371
010100100102,12612.6356536
010100100201,21828.5581009
010100100202,42986.437984
010100100203,17854.2526089
010100100204,37837.8586993
010100100205,52705.4219909
010100100206,16079.4629915
010100100207,2927.1412317
010100110103,23946.1296943
010200010101,32821.8388741
010200010102,32532.02822
010200010103,60204.5085455
010200010104,73606.0365374
010200010105,49058.1925098
010200010106,167330.034976
010200010201,41443.7411008
010200010202,26335.0374567
010200010203,25406.0599909
010200010204,72827.5193185
010200010205,43385.0053622
010200010206,40060.6875153
010200010207,50476.4426146
010200010208,19237.8898689
010200010209,35654.0859278
010200010210,64071.8095524
010200010301,45093.7964656
010200010302,91692.5485077
010200010303,28010.0557912
010200010304,19094.2136497
010200010305,50155.5895215
010200010306,31946.3459764
010200010307,40473.558949
010200010308,96623.3693043
010200010401,98573.9898753
010200010402,39014.7680969
010200010403,76845.3808287
010200010404,81834.1204176
010200010501,63641.2838343
010200010502,35915.8666323
010200010503,40023.1080354
010200010504,21549.1938805
010200010505,47164.8506019
010200010506,36300.8652011
010200010507,50316.0160282
010200010508,31481.0103006
010200010509,157651.551832
010200010601,23288.6792929
010200010602,71949.6348904
010200010701,19956.5937903
010200010702,78258.6888025
010200010703,54245.0103476
010200010704,28479.7582411
010200010801,39279.0488509
010200010802,21338.1882053
010200010803,28659.4270843
010200010804,22543.5055736
010200010805,27654.0894297
010200010901,29616.2942837
010200010902,24507.9773204
010200010903,44533.3229261
010200010904,103242.357446
010200010905,86604.2248484
010200010906,29221.1132834
010200010907,26739.8835032
010200011001,25578.8603072
010200011002,77935.1787795
010200011003,34951.083476
010200011004,46681.4784308
010200011005,42448.0324171
010200011006,27349.4167492
010200011007,56147.7481122
010200020101,33089.3341824
010200020102,99546.358608
010200020103,39416.9078332
010200020104,24655.4314605
010200020105,104527.139894
010200020106,65385.7058936
010200020107,40141.3177224
010200020108,42160.9327296
010200020201,53607.5820526
010200020202,43040.1776161
010200020203,27694.9241031
010200020204,151693.759577
010200020205,89819.5286929
010200020301,36653.3522383
010200020302,48198.8772348
010200020303,37626.952436
010200020304,49188.5297898
010200020401,62022.2480978
010200020402,72677.2822098
010200020403,29495.7432985
010200020404,22695.8362751
010200020405,52822.0421825
010200020406,44846.0129209
010200020407,59197.1231976
010200020408,98305.1198064
010200020501,37327.3140848
010200020502,170162.538907
010200020503,31049.8576816
010200020504,50919.4477571
010200020505,43513.5785774
010200020506,23693.8043311
010200020507,87102.2204234
010200030101,48653.7660875
010200030102,29085.4055974
010200030103,37082.9529479
010200030104,41070.3874038
010200030105,50903.4685499
010200030106,36722.35495
010200030107,79731.5907058
010200030108,49402.0509592
010200030109,62953.3979493
010200030110,41373.7961054
010200030111,30250.196136
010200030112,48017.9738457
010200030113,38092.5938468
010200030201,66973.3703162
010200030202,33394.2151695
010200030203,10812.242353
010200030204,42664.5191618
010200030205,89109.7770209
010200030301,64431.4712448
010200030302,27698.6068624
010200030303,59278.4424616
010200030401,149340.741557
010200030402,76520.7377912
010200030403,45493.8523931
010200030404,41504.196356
010200030501,32365.3651513
010200030502,63749.5082196
010200030503,71624.188205
010200030504,24756.6362368
010200030505,26322.0275771
010200030506,22820.8807997
010200030507,18357.6183306
010200030508,31944.5278729
010200030509,33278.0860475
010200030510,29890.8859151
010200030511,79286.5075118
010200030601,29151.1982794
010200030602,32351.3014163
