HUC_12,AvgWindEnergy,kWhkm2day
010100020101,1.563881125,1563881.125
010100020102,1.73940775,1739407.75
010100020103,1.4882655,1488265.5
010100020104,1.9885265,1988526.5
010100020105,1.585025,1585025.0
010100020201,2.118074,2118074.0
010100020202,1.34126625,1341266.25
010100020203,1.703108125,1703108.125
010100020204,1.460060875,1460060.875
010100020301,2.6060225,2606022.5
010100020302,2.27384275,2273842.75
010100020303,2.6160455,2616045.5
010100020304,1.876739875,1876739.875
010100020305,2.11137775,2111377.75
010100020306,1.7497435,1749743.5
010100020307,1.70700175,1707001.75
010100020308,1.483938375,1483938.375
010100020401,1.7833135,1783313.5
010100020402,1.88192575,1881925.75
010100020403,1.685642,1685642.0
010100020404,2.16976025,2169760.25
010100020405,2.2460325,2246032.5
010100020406,1.464154375,1464154.375
010100020501,1.930278,1930278.0
010100020502,1.8554655,1855465.5
010100020503,2.088320375,2088320.375
010100020504,2.139486,2139486.0
010100020505,1.6487555,1648755.5
010100020601,2.017863875,2017863.875
010100020602,2.096790375,2096790.375
010100020701,1.798371,1798371.0
010100020702,1.640375375,1640375.375
010100020703,1.6886735,1688673.5
010100020704,1.3536935,1353693.5
010100020705,1.995966125,1995966.125
010100020706,1.705893875,1705893.875
010100020707,1.482356125,1482356.125
010100020708,1.556056625,1556056.625
010100020709,1.73547925,1735479.25
010100020710,1.73576075,1735760.75
010100020711,1.406156625,1406156.625
010100030101,2.159625,2159625.0
010100030102,1.4655345,1465534.5
010100030103,2.23890775,2238907.75
010100030104,2.13586875,2135868.75
010100030105,1.413400375,1413400.375
010100030201,1.308045,1308045.0
010100030202,1.21449075,1214490.75
010100030203,1.2951835,1295183.5
010100030204,2.051907375,2051907.375
010100030205,1.731846875,1731846.875
010100030206,2.072729,2072729.0
010100030207,1.374690375,1374690.375
010100030301,1.7945815,1794581.5
010100030302,1.95932225,1959322.25
010100030303,1.50487825,1504878.25
010100030304,2.26253775,2262537.75
010100030305,1.840676625,1840676.625
010100030306,1.471852625,1471852.625
010100030307,1.26019425,1260194.25
010100030308,1.34540075,1345400.75
010100030309,1.7062695,1706269.5
010100030310,1.483774375,1483774.375
010100030401,2.0903735,2090373.5
010100030402,2.25577125,2255771.25
010100030403,1.755721875,1755721.875
010100040101,1.3497915,1349791.5
010100040102,1.33904375,1339043.75
010100040103,1.427751375,1427751.375
010100040104,1.23596625,1235966.25
010100040201,1.673457875,1673457.875
010100040202,1.75687425,1756874.25
010100040203,1.51323875,1513238.75
010100040301,1.571387875,1571387.875
010100040302,1.541926625,1541926.625
010100040303,1.72073225,1720732.25
010100040304,2.019274625,2019274.625
010100040305,1.567724,1567724.0
010100040306,1.441459625,1441459.625
010100040401,1.412649125,1412649.125
010100040402,1.533229875,1533229.875
010100040501,1.63170625,1631706.25
010100040502,1.644599125,1644599.125
010100040503,1.755220375,1755220.375
010100040504,1.4740365,1474036.5
010100040505,1.364248125,1364248.125
010100040506,1.283221625,1283221.625
010100040601,1.299367375,1299367.375
010100040602,1.220996875,1220996.875
010100040603,1.252678375,1252678.375
010100040604,1.202968125,1202968.125
010100040605,1.2618815,1261881.5
010100040606,1.20829375,1208293.75
010100040701,2.010790625,2010790.625
010100040702,1.721744125,1721744.125
010100040703,1.88915725,1889157.25
010100040801,1.406734875,1406734.875
010100040802,1.60157775,1601577.75
010100040803,1.2,1200000.0
010100040804,1.400862125,1400862.125
010100040805,1.387627125,1387627.125
010100040901,1.36048175,1360481.75
010100040902,1.227541125,1227541.125
010100040903,1.201197875,1201197.875
010100040904,1.287844375,1287844.375
010100040905,1.329289125,1329289.125
010100040906,1.239497625,1239497.625
010100040907,1.228865875,1228865.875
010100040908,1.206159625,1206159.625
010100040909,1.340720375,1340720.375
010100041001,1.594476375,1594476.375
010100041002,1.689661375,1689661.375
010100041003,1.806301875,1806301.875
010100041004,1.74192775,1741927.75
010100041005,1.306069375,1306069.375
010100041006,1.3828945,1382894.5
010100041007,1.639355375,1639355.375
010100041008,1.750803,1750803.0
010100041009,2.30396225,2303962.25
010100041101,1.651310625,1651310.625
010100041102,1.84865775,1848657.75
010100041103,1.328823625,1328823.625
010100041104,1.416533125,1416533.125
010100041105,1.356053375,1356053.375
010100041106,1.367841625,1367841.625
010100041107,1.490316625,1490316.625
010100041108,1.5427835,1542783.5
010100041109,1.8768765,1876876.5
010100041110,3.22694125,3226941.25
010100041111,2.13245975,2132459.75
010100041112,2.21733675,2217336.75
010100041113,2.72160875,2721608.75
010100050101,1.22241825,1222418.25
010100050102,1.348648625,1348648.625
010100050201,1.691974125,1691974.125
010100050202,1.674632625,1674632.625
010100050203,1.61333125,1613331.25
010100050301,1.7246195,1724619.5
010100050302,1.508552875,1508552.875
010100050303,1.471717,1471717.0
010100050304,1.457933125,1457933.125
010100050305,1.4156845,1415684.5
010100050306,1.510789625,1510789.625
010100050307,1.752644375,1752644.375
010100050308,1.56403425,1564034.25
010100060101,3.28269625,3282696.25
010100060102,3.084972,3084972.0
010100060103,2.03097,2030970.0
010100060104,2.51185975,2511859.75
010100060105,2.15599875,2155998.75
010100060106,2.29965675,2299656.75
010100060107,1.88839975,1888399.75
010100060108,2.18363525,2183635.25
010100060109,1.580118125,1580118.125
010100060201,2.79607025,2796070.25
010100060202,2.24445375,2244453.75
010100060203,2.058251875,2058251.875
010100060204,2.59223225,2592232.25
010100060205,1.5634295,1563429.5
010100060206,2.022789,2022789.0
010100060207,2.13102575,2131025.75
010100060208,1.395157375,1395157.375
010100060305,2.260405,2260405.0
010100060306,2.19478225,2194782.25
010100060307,4.1078855,4107885.5
010100060312,2.026821875,2026821.875
010100060313,1.455734375,1455734.375
010100070101,1.53327025,1533270.25
010100070102,1.210718,1210718.0
010100070103,1.276115875,1276115.875
010100070204,3.21513525,3215135.25
010100070205,1.662418875,1662418.875
010100070206,1.297394875,1297394.875
010100070207,1.948682875,1948682.875
010100070208,1.432797625,1432797.625
010100070209,1.240756125,1240756.125
010100070301,1.997787875,1997787.875
010100070302,2.13893,2138930.0
010100070303,1.2898885,1289888.5
010100070304,1.305359,1305359.0
010100070305,1.35373675,1353736.75
010100070306,1.201524375,1201524.375
010100070401,1.212798625,1212798.625
010100070402,1.430115,1430115.0
010100070403,1.35851225,1358512.25
010100070404,1.438984875,1438984.875
010100070405,1.67547025,1675470.25
010100070502,3.73492825,3734928.25
010100070503,1.3355155,1335515.5
010100070504,1.51660425,1516604.25
010100070505,1.227445,1227445.0
010100070506,1.3094935,1309493.5
010100070507,1.4299315,1429931.5
010100070601,1.683320625,1683320.625
010100070602,1.544865125,1544865.125
010100070603,1.747369375,1747369.375
010100070604,1.4015125,1401512.5
010100070605,1.3847435,1384743.5
010100070606,1.25165625,1251656.25
010100070607,1.469066875,1469066.875
010100070701,1.404321875,1404321.875
010100070702,1.68893875,1688938.75
010100070703,1.5214765,1521476.5
010100080101,2.05671625,2056716.25
010100080102,1.626768,1626768.0
010100080401,2.05254675,2052546.75
010100080403,1.5051875,1505187.5
010100080404,1.658602,1658602.0
010100080405,1.845125125,1845125.125
010100080406,1.56710275,1567102.75
010100080407,1.378631375,1378631.375
010100080408,1.347708,1347708.0
010100080503,1.7422755,1742275.5
010100080504,1.625123,1625123.0
010100081107,1.9357085,1935708.5
010100081108,2.15101675,2151016.75
010100090601,1.916818375,1916818.375
010100090603,1.507059375,1507059.375
010100090604,3.54944275,3549442.75
010100090605,1.61825525,1618255.25
010100090607,1.691522,1691522.0
010100090608,1.56088975,1560889.75
010100100101,2.41483925,2414839.25
010100100102,2.243149,2243149.0
010100100201,2.97053625,2970536.25
010100100202,2.17857175,2178571.75
010100100203,2.61926175,2619261.75
010100100204,1.81988275,1819882.75
010100100205,1.507030375,1507030.375
010100100206,1.94440225,1944402.25
010100100207,1.596650375,1596650.375
010100110103,1.480876125,1480876.125
010200010101,2.28482025,2284820.25
010200010102,2.1507085,2150708.5
010200010103,2.407079,2407079.0
010200010104,2.73258475,2732584.75
010200010105,2.25292825,2252928.25
010200010106,2.22301225,2223012.25
010200010201,3.1174395,3117439.5
010200010202,3.22873425,3228734.25
010200010203,2.685127,2685127.0
010200010204,2.45667575,2456675.75
010200010205,2.9699985,2969998.5
010200010206,2.64297875,2642978.75
010200010207,2.29574925,2295749.25
010200010208,2.85813175,2858131.75
010200010209,2.2276275,2227627.5
010200010210,2.1120975,2112097.5
010200010301,1.97291575,1972915.75
010200010302,2.127032,2127032.0
010200010303,2.4651255,2465125.5
010200010304,2.45442975,2454429.75
010200010305,1.87692,1876920.0
010200010306,1.309631375,1309631.375
010200010307,1.5664465,1566446.5
010200010308,1.452627375,1452627.375
010200010401,2.1716895,2171689.5
010200010402,1.461255,1461255.0
010200010403,1.90966875,1909668.75
010200010404,2.247063,2247063.0
010200010501,1.3500855,1350085.5
010200010502,1.497093125,1497093.125
010200010503,1.397628875,1397628.875
010200010504,1.40370425,1403704.25
010200010505,2.21739975,2217399.75
010200010506,1.919018,1919018.0
010200010507,2.748113,2748113.0
010200010508,1.63208525,1632085.25
010200010509,2.097017875,2097017.875
010200010601,2.87755725,2877557.25
010200010602,3.8406395,3840639.5
010200010701,2.84352075,2843520.75
010200010702,2.067834,2067834.0
