HUC_12,SNFA_MEAN
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.0
010100020302,0.0
010100020303,0.0
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.0
010100020505,0.0
010100020601,0.0
010100020602,0.0
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.0
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.0
010100020710,0.0
010100020711,0.11446236074
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.441544026136
010100030201,0.0
010100030202,0.0
010100030203,0.837557792664
010100030204,0.204475715756
010100030205,0.0554474033415
010100030206,0.0190519783646
010100030207,1.78908121586
010100030301,39.776134491
010100030302,28.164560318
010100030303,2.47047924995
010100030304,49.7393226624
010100030305,34.3617172241
010100030306,2.90596938133
010100030307,0.0
010100030308,0.0
010100030309,1.10712122917
010100030310,0.548438370228
010100030401,2.96768736839
010100030402,40.6859512329
010100030403,21.9362621307
010100040101,0.0
010100040102,0.0
010100040103,0.0
010100040104,0.0
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.480080395937
010100040306,0.345441311598
010100040401,0.0
010100040402,0.0
010100040501,0.0
010100040502,0.0704966261983
010100040503,0.0
010100040504,0.0
010100040505,0.871037900448
010100040506,0.102163851261
010100040601,0.0
010100040602,0.0
010100040603,0.0509101748466
010100040604,0.0
010100040605,0.0762279704213
010100040606,2.02578139305
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.0
010100040804,0.0
010100040805,1.17384934425
010100040901,4.36590147018
010100040902,0.0856003016233
010100040903,0.868790507317
010100040904,11.7866230011
010100040905,0.530831217766
010100040906,0.0331481397152
010100040907,0.843531370163
010100040908,0.0
010100040909,9.46503067017
010100041001,33.3894577026
010100041002,0.0
010100041003,0.0
010100041004,0.0521544963121
010100041005,1.70368623734
010100041006,16.2642345428
010100041007,35.1610412598
010100041008,27.0555515289
010100041009,71.230758667
010100041101,42.4974479675
010100041102,57.4324188232
010100041103,2.26186132431
010100041104,3.92311501503
010100041105,1.68684887886
010100041106,9.72326850891
010100041107,19.8679275513
010100041108,26.3010845184
010100041109,54.9807128906
010100041110,58.5059356689
010100041111,56.9579620361
010100041112,53.5572433472
010100041113,77.9964752197
010100050101,3.14435815811
010100050102,14.8060445786
010100050201,0.0
010100050202,50.7140808105
010100050203,12.1982221603
010100050301,0.0
010100050302,10.0921802521
010100050303,32.2654190063
010100050304,20.7213134766
010100050305,10.0241613388
010100050306,40.9639015198
010100050307,46.2146759033
010100050308,51.4344787598
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0
010100060109,0.0
010100060201,0.0
010100060202,0.0
010100060203,0.0
010100060204,0.0
010100060205,0.0
010100060206,0.0
010100060207,0.0
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.0
010100070205,0.268837571144
010100070206,0.0
010100070207,0.0
010100070208,0.0
010100070209,0.0
010100070301,0.0
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,0.0
010100070701,0.0
010100070702,0.0
010100070703,0.0
010100080101,0.0
010100080102,2.15168046951
010100080401,4.06713151932
010100080403,0.0372833870351
010100080404,0.0
010100080405,0.926144778728
010100080406,0.0
010100080407,0.0
010100080408,0.0
010100080503,4.72335720062
010100080504,15.9143371582
010100081107,24.8632831573
010100081108,26.3215198517
010100090601,28.5439300537
010100090603,11.7158937454
010100090604,34.9053382874
010100090605,27.3272857666
010100090607,27.7623519897
010100090608,26.7238311768
010100100101,47.0214920044
010100100102,37.6448020935
010100100201,72.1571731567
010100100202,39.2055892944
010100100203,60.0587921143
010100100204,21.0262336731
010100100205,25.3261985779
010100100206,63.9821395874
010100100207,39.6556129456
010100110103,20.6645908356
010200010101,0.0
010200010102,0.0
010200010103,0.0
010200010104,0.0
010200010105,0.0
010200010106,0.0
010200010201,0.0
010200010202,0.0
010200010203,0.0
010200010204,0.0
010200010205,0.0
010200010206,0.0
010200010207,0.0
010200010208,0.0
010200010209,0.0
010200010210,0.0
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,0.0
010200010308,0.0
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.0
010200010508,0.0
010200010509,0.0
010200010601,0.0
010200010602,0.0
010200010701,0.0
010200010702,0.0
010200010703,0.0
010200010704,0.0
010200010801,0.0
010200010802,0.0
010200010803,0.0
010200010804,0.0
010200010805,0.0
010200010901,0.0
010200010902,0.0
010200010903,0.0
010200010904,0.0
010200010905,0.125051170588
010200010906,0.0
010200010907,0.0
010200011001,0.0
010200011002,0.00402702530846
010200011003,0.142284035683
010200011004,0.0
010200011005,0.430720210075
010200011006,0.161838278174
010200011007,0.663176476955
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.0
010200020105,0.0
010200020106,0.0
010200020107,0.0
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.0
010200020205,0.0
010200020301,0.0
010200020302,0.0
010200020303,0.0
010200020304,0.0
010200020401,0.0206183902919
010200020402,0.0170906372368
010200020403,0.0
010200020404,0.0708095133305
010200020405,0.0
010200020406,0.0
010200020407,0.00593178439885
010200020408,0.00220211269334
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,1.70251882076
010200020505,0.296575039625
010200020506,0.0742890313268
010200020507,0.0944033414125
010200030101,0.0
010200030102,0.0890003144741
010200030103,1.01411449909
010200030104,1.61407530308
010200030105,2.87552976608
010200030106,10.8276443481
010200030107,8.03303432465
010200030108,2.12217831612
010200030109,2.94451403618
010200030110,9.48690509796
010200030111,0.956586837769
010200030112,0.0
010200030113,0.0
010200030201,4.62972545624
010200030202,22.950750351
010200030203,2.26794433594
010200030204,0.661884784698
010200030205,0.285514622927
010200030301,0.675213873386
010200030302,0.109621070325
010200030303,0.870540082455
010200030401,0.312951415777
010200030402,1.73184144497
010200030403,0.215146303177
010200030404,3.41172409058
010200030501,0.0
010200030502,0.114915110171
010200030503,1.4535279274
010200030504,0.459992349148
010200030505,0.0
010200030506,0.567012548447
010200030507,0.0
010200030508,0.0375813692808
010200030509,1.80418181419
010200030510,0.0
010200030511,0.369546711445
010200030601,7.77475738525
010200030602,12.9804944992
010200030603,14.1947450638
010200030604,2.64856553078
010200030605,11.7628574371
010200030606,0.195187389851
010200030607,2.17756438255
010200030701,1.88310956955
010200030702,0.79026144743
010200030703,2.01882314682
010200030704,0.342893153429
010200040101,0.0
010200040102,0.00496079772711
010200040103,0.0478312075138
010200040104,0.0106443120167
010200040105,0.185515239835
010200040106,1.39724874496
010200040107,0.113227367401
010200040108,0.00205122516491
010200040109,0.185099080205
010200040110,0.622362732887
010200040111,1.07839822769
010200040201,2.55847263336
010200040202,2.46790337563
010200040203,3.30865764618
010200040204,3.30000758171
010200040205,4.25173425674
010200040301,0.0
010200040302,0.0
010200040303,0.00205937866122
010200040304,0.13255892694
010200040305,0.857080996037
010200040306,0.0690221861005
010200040307,0.0
010200040308,0.0
010200040309,0.0
010200040310,0.0
010200040311,0.0947772487998
010200040312,0.7847905159
010200040401,0.0
010200040402,0.0
010200040403,0.00376773322932
010200040404,0.0
010200040405,0.0
010200040406,0.0
010200040407,0.0
010200040408,0.125154525042
010200040409,0.0972450450063
010200040410,1.4109660387
010200040501,0.070411503315
010200040502,0.0
010200040503,0.0
010200040504,0.00774218514562
010200040601,0.514599561691
010200040602,0.0347608216107
010200040603,0.0
010200040604,0.761670410633
010200050101,5.40798473358
010200050102,0.0126484138891
010200050103,0.0851999819279
010200050104,0.341238349676
010200050201,3.21409320831
010200050202,2.58002328873
010200050203,0.88018155098
010200050204,0.241165742278
010200050205,1.27281999588
010200050206,0.0202534850687
010200050207,0.103908151388
010200050208,1.64787721634
010200050301,0.961857795715
010200050302,0.0
010200050303,0.0817803218961
010200050304,0.0
010200050305,0.156545177102
010200050306,0.165982276201
010200050307,0.549020707607
010200050308,0.384807854891
010200050309,0.269603341818
010200050310,0.826446533203
010200050311,0.375413805246
010200050401,0.358211755753
010200050402,0.493069440126
010200050403,0.141559824347
010200050404,0.180787980556
010200050405,0.0865169540048
010200050406,0.049036886543
010200050407,0.0875564217567
010200050408,0.344352811575
010200050501,1.56472980976
010200050502,1.34769177437
010200050503,3.18542957306
010200050504,1.09484314919
010200050505,8.06193637848
010200050506,6.85800218582
010200050507,1.06448197365
010200050508,0.802990198135
010200050509,1.09747290611
010200050510,1.87125563622
010200050601,0.185844108462
010200050602,0.763829052448
010200050603,2.5642888546
010200050701,11.3134241104
010200050702,8.99501419067
010200050703,8.7824420929
