HUC_12,SolE_Area,SolE_Mean
010100020101,69.544794924,3.68796000466
010100020102,81.1539010416,3.69871000232
010100020103,75.089701963,3.6878200025
010100020104,57.6656967381,3.68400000598
010100020105,154.486994314,3.72747999743
010100020201,109.201996064,3.75508999575
010100020202,50.5863013315,3.75220000031
010100020203,49.2723058843,3.82299999477
010100020204,126.492003313,3.74014000425
010100020301,40.6449009855,3.62828001917
010100020302,41.048998638,3.54143001088
010100020303,69.890390836,3.67316999367
010100020304,158.652999483,3.71163000575
010100020305,64.200595939,3.82299999504
010100020306,45.9818965638,3.80721998691
010100020307,53.2890000311,3.81372000528
010100020308,81.7713061014,3.82198999326
010100020401,65.9393991907,3.82299999938
010100020402,47.2590004585,3.82300000225
010100020403,113.398988192,3.82299999882
010100020404,58.8941984293,3.82299999684
010100020405,44.8713008686,3.82300000042
010100020406,41.8410040905,3.82300000482
010100020501,91.6514984224,3.82299999734
010100020502,104.141007455,3.82299999773
010100020503,47.3453958984,3.82300000336
010100020504,77.2100993189,3.80482999948
010100020505,81.4760975345,3.79652000433
010100020601,42.3000076379,3.83837001064
010100020602,220.795998505,3.84452000194
010100020701,36.8136054758,3.79792999483
010100020702,42.2622018422,3.80074
010100020703,66.2337059573,3.77756000616
010100020704,152.287992585,3.80665999562
010100020705,80.9721015436,3.82789000182
010100020706,45.887408709,3.75900000433
010100020707,30.3471016005,3.85086999
010100020708,43.631998978,3.75416000724
010100020709,58.3488033789,3.86999998334
010100020710,45.2178038888,3.80126000479
010100020711,230.027984797,3.77878999942
010100030101,79.1892014683,3.86999999847
010100030102,98.0999888563,3.88440999864
010100030103,45.5093986854,3.86999999569
010100030104,64.8503985013,3.86955999946
010100030105,45.452714394,3.87000000598
010100030201,40.3316999789,3.87347001559
010100030202,41.1209982644,3.88507999898
010100030203,158.086999099,3.88041999616
010100030204,76.258802868,3.85626999217
010100030205,159.043992607,3.88027999775
010100030206,114.027007853,3.67251999818
010100030207,122.882999427,3.88841999836
010100030301,33.5528929129,3.36199999567
010100030302,195.674017279,3.32172999906
010100030303,34.0577999295,3.4201199956
010100030304,67.7573985246,3.36156000344
010100030305,40.7411979616,3.42714000383
010100030306,52.4295024844,3.45915999611
010100030307,36.9702003086,3.71710999865
010100030308,71.7543035603,3.76721998606
010100030309,120.0459968,3.5633900019
010100030310,258.19199746,3.63718000235
010100030401,176.491988662,3.57906000239
010100030402,52.6157923405,3.36095000583
010100030403,118.942014986,3.47718998974
010100040101,67.3307957919,3.68856000531
010100040102,112.223001323,3.78064999783
010100040103,61.213497081,3.86528000071
010100040104,40.3704079522,3.85731999515
010100040201,120.329002438,3.76108999491
010100040202,101.821997561,3.68793000287
010100040203,89.2143038937,3.78623999719
010100040301,79.6140000466,3.71407999806
010100040302,47.1006000526,3.82543000566
010100040303,107.843003206,3.74890000981
010100040304,47.5739980085,3.7160099974
010100040305,68.957091698,3.83209000108
010100040306,86.58179827,3.79774999026
010100040401,105.477960893,3.89889999939
010100040402,107.826990877,3.90405999764
010100040501,108.776998581,3.90399999587
010100040502,103.31801221,3.60343997951
