State,Tract,Acute Bronchitis & Bronchiolitis,Alzheimers Disease,Anemias,Aortic Aneurysm & Dissection,Appendix Diseases,Atherosclerosis,Cerebrovascular Diseases,Cholelithiasis & Other Gallbladder Disorders,Chronic Liver Disease & Cirrhosis,Chronic Lower Respiratory Disease,Congenital Malformations,Diabetes Mellitus,Essen Hypertension & Hypertensive Renal Dis,Female Pelvic Organs-Inflammatory Diseases,Heart Diseases,Hernia,Homicide,Hyperplasia of Prostate,"In Situ, Benign, Uncertain and Unknown Behavior Neoplasms",Influenza & Pneumonia,Kidney Infections,Legal Intervention,Malaria,Malignant Neoplasm or Cancer,Medical & Surgical Care Complications,Meningitis,Meningococcal Infection,"Nephritis, Nephrotic Syndrome, Nephrosis",Nutritional Deficiencies,Other Non-rankable Cause of Death,Parkinsons Disease,Peptic Ulcer,Perinatal Period Conditions,Pneumoconiosis & Chemical Effects,Pneumonitis Due To Solids & Liquids,"Pregnancy, Childbirth and the Puerperium",Salmonella Infections,Septicemia,Syphilis,Tuberculosis,Unintentional Injury,Viral Hepatitis
FL,12001000200,0,0,0,0,0,0,6,0,3,7,0,4,1,0,16,0,0,0,1,2,0,0,0,23,0,0,0,1,0,22,0,0,1,0,1,0,0,1,0,0,2,1
FL,12001000301,0,1,0,0,0,1,8,0,4,7,0,3,0,0,20,0,2,0,0,2,0,0,0,19,1,0,0,2,0,22,0,2,1,0,1,0,0,2,0,0,5,1
FL,12001000302,0,2,0,0,0,0,5,2,2,2,3,6,1,0,17,0,0,0,0,3,0,0,0,33,0,0,0,1,0,24,2,0,2,0,0,0,0,2,0,0,9,1
FL,12001000400,0,2,2,1,0,0,11,0,3,6,4,16,3,0,40,0,2,0,2,0,0,0,0,57,0,0,0,2,0,53,0,0,2,0,2,0,0,3,0,0,8,0
FL,12001000500,0,7,1,0,0,2,9,0,7,10,0,3,0,0,31,0,2,0,0,5,0,0,0,45,1,0,0,1,0,33,1,1,2,0,0,0,0,4,0,0,12,1
FL,12001000600,0,0,1,1,0,0,12,0,1,8,4,8,1,0,34,0,0,0,1,3,0,0,0,63,0,0,0,4,0,45,0,0,3,0,2,1,0,5,0,0,6,1
FL,12001000700,0,4,1,2,0,0,20,0,8,16,0,20,10,0,62,1,5,0,0,6,0,0,0,85,2,0,0,10,0,80,1,0,3,0,3,1,0,6,0,0,9,1
FL,12001000806,0,1,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,1,1,0,0,0,9,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,3,1
FL,12001000808,0,0,1,0,0,0,2,0,0,5,0,1,0,0,8,0,2,0,0,0,0,0,0,5,1,1,0,1,0,7,0,0,2,0,0,0,0,2,0,0,3,0
FL,12001000809,0,3,0,0,0,0,2,0,0,8,0,1,0,0,13,0,0,0,0,1,0,0,0,10,0,0,0,1,0,24,0,0,0,0,1,0,0,2,0,0,6,0
