TABLE 16A.—UPDATED PROXY HOSPITAL VALUE-BASED PURCHASING (VBP) PROGRAM ADJUSTMENT FACTORS FOR FY 2019*					
CMS Certification Number (CCN)	Proxy FY 2019 Hospital VBP Adjustment Factor				
010001	1.0005372848				
010005	0.9993680489				
010006	0.9931160757				
010007	0.9959199493				
010011	0.9965412491				
010012	0.9996190907				
010016	0.9953307461				
010019	0.9981919351				
010021	1.0009912234				
010022	0.9998357432				
010023	0.9968713863				
010024	0.9944435024				
010029	1.0017546657				
010033	1.0097604927				
010034	1.0137015055				
010035	1.0010943913				
010036	1.0093684548				
010038	1.0046020990				
010039	0.9953582575				
010040	0.9955370818				
010044	1.0227527670				
010045	1.0154347258				
010046	1.0072982195				
010049	0.9988487706				
010055	0.9983019808				
010056	0.9985289502				
010059	0.9973322028				
010061	0.9975488554				
010062	0.9936731822				
010065	1.0033262563				
010069	1.0090795847				
010073	0.9917473819				
010078	0.9964793484				
010079	0.9947323724				
010083	1.0046639997				
010085	0.9966719284				
010086	0.9981025230				
010087	1.0011196101				
010089	0.9994024382				
010090	0.9936456708				
010091	1.0156273058				
010092	0.9881296285				
010097	1.0033021838				
010099	0.9967544627				
010100	1.0070574944				
010101	1.0013282385				
010103	0.9932398772				
010104	1.0030614588				
010108	1.0092721648				
010112	0.9834664406				
010113	1.0030201916				
010114	1.0000352011				
010118	1.0041687939				
010120	1.0068167694				
010125	0.9990654231				
010126	1.0033984738				
010128	1.0017615436				
010129	1.0076593070				
010130	1.0102350649				
010131	0.9969401649				
010139	0.9964174477				
010144	0.9969057756				
010148	1.0048428241				
010149	1.0013351163				
010150	0.9955989825				
010157	0.9908326268				
010158	1.0031096038				
010164	0.9943953573				
010169	1.0146644057				
020001	1.0007229870				
020006	1.0136396048				
020008	1.0116794152				
020012	1.0176493961				
020017	1.0056337778				
020024	1.0012800935				
020026	1.0009912234				
030001	1.0021467036				
030002	0.9998907661				
030006	0.9920293741				
030007	1.0001246133				
030010	0.9942990673				
030011	0.9946773495				
030012	0.9924970685				
030013	0.9958190740				
030014	0.9932398772				
030016	1.0023530394				
030022	0.9890787729				
030023	1.0056131442				
030024	0.9968576306				
030030	0.9973253250				
030033	1.0131719104				
030036	0.9955577154				
030037	0.9917198705				
030038	0.9914241226				
030043	0.9958328297				
030055	0.9983501259				
030061	1.0054205641				
030062	1.0082129746				
030064	0.9976967293				
030065	1.0003240712				
030068	1.0122250586				
030069	1.0036735881				
030071	1.0160124659				
030073	1.0140144480				
030078	1.0216614801				
030083	0.9988040645				
030084	1.0176814928				
030085	0.9911490082				
030087	0.9975660500				
030088	1.0029032680				
030089	1.0001658804				
030092	0.9915066569				
030093	0.9995950182				
030094	0.9955370818				
030101	1.0045539540				
030103	1.0198159215				
030105	1.0068649144				
030110	1.0055581213				
030111	1.0044095190				
030114	1.0001246133				
030115	1.0055168542				
030117	1.0140385206				
030119	1.0012044370				
030121	0.9955370818				
030122	1.0010875134				
030123	1.0067686244				
030130	1.0119923577				
040001	0.9987284081				
040002	1.0049872591				
040004	0.9926621371				
040007	0.9895258337				
040010	1.0007367427				
040011	1.0213405134				
040014	1.0020229022				
040015	1.0029651687				
040016	0.9998976440				
040017	1.0076593070				
040019	1.0068649144				
040020	0.9949249524				
040022	0.9948492960				
040026	0.9915685576				
040027	0.9932054879				
040029	1.0020985586				
040036	0.9928684728				
040039	0.9962970852				
040041	0.9996431632				
040050	1.0028207337				
040051	1.0125460253				
040055	0.9917267483				
040062	0.9961904784				
040067	0.9988246981				
040069	1.0020504136				
040071	0.9919605955				
040072	1.0160606109				
040076	1.0077315245				
040078	0.9956952726				
040084	0.9908670161				
040085	1.0185641513				
040088	0.9994987282				
040114	0.9896633909				
040118	1.0023392836				
040119	1.0014382842				
040134	1.0158680309				
040137	0.9935287472				
040153	0.9963693027				
050002	0.9988246981				
050006	0.9980887672				
050007	1.0091277298				
050008	0.9981988130				
050009	0.9997738425				
050013	1.0007986434				
050014	1.0002209033				
050017	1.0031508709				
050018	0.9990654231				
050022	0.9942165330				
050025	0.9993749267				
050026	0.9948149067				
050030	1.0190456014				
050036	0.9910871075				
050038	0.9956264940				
050039	0.9983845151				
050040	1.0093271876				
050042	0.9994987282				
050043	0.9978136529				
050045	1.0055168542				
050047	1.0060120600				
050054	0.9939620523				
050055	1.0052761291				
050056	0.9903099095				
050057	0.9947323724				
050058	1.0010256127				
050060	0.9925245799				
050063	1.0003653383				
050067	1.0002209033				
050069	0.9955577154				
050070	1.0137015055				
050071	1.0090520733				
050072	1.0096023020				
050073	1.0133232233				
050075	0.9996637968				
050076	1.0079241046				
050077	0.9996156518				
050078	1.0013763835				
050082	1.0013557499				
050084	1.0018234443				
050089	0.9932398772				
050090	1.0022429936				
050091	1.0002209033				
050093	0.9903374210				
050099	0.9988934767				
050100	0.9972840578				
050101	0.9945879374				
050102	0.9947254945				
050103	1.0007780098				
050104	1.0009705899				
