TABLE 16B.?ACTUAL HOSPITAL VALUE-BASED PURCHASING PROGRAM (VBP) ADJUSTMENT FACTORS FOR FY 2018*					
CMS Certification Number (CCN)	Actual FY 2018 Hospital VBP Adjustment Factor				
010001	1.0005528171				
010005	0.9993826969				
010006	0.9931259954				
010007	0.9959319895				
010011	0.9965537592				
010012	0.9996339286				
010016	0.9953423407				
010019	0.9982056936				
010021	1.0010070990				
010022	0.9998507450				
010023	0.9968841461				
010024	0.9944544259				
010029	1.0017711187				
010033	1.0097830005				
010034	1.0137269939				
010035	1.0011103449				
010036	1.0093906661				
010038	1.0046207055				
010039	0.9953698729				
010040	0.9955488325				
010044	1.0227851008				
010045	1.0154615250				
010046	1.0073188650				
010049	0.9988630259				
010055	0.9983158226				
010056	0.9985429636				
010059	0.9973453111				
010061	0.9975621275				
010062	0.9936835232				
010065	1.0033438979				
010069	1.0091015776				
010073	0.9917562664				
010078	0.9964918117				
010079	0.9947435145				
010083	1.0046826531				
010085	0.9966845374				
010086	0.9981162138				
010087	1.0011355828				
010089	0.9994171122				
010090	0.9936559910				
010091	1.0156542507				
010092	0.9881357769				
010097	1.0033198072				
010099	0.9967671341				
010100	1.0070779579				
010101	1.0013443690				
010103	0.9932498904				
010104	1.0030789001				
010108	1.0092943032				
010112	0.9834690622				
010113	1.0030376017				
010114	1.0000503537				
010118	1.0041870727				
010120	1.0068370508				
010125	0.9990798422				
010126	1.0034161700				
010128	1.0017780018				
010129	1.0076802257				
010130	1.0102579316				
010131	0.9969529767				
010139	0.9964298642				
010144	0.9969185614				
010148	1.0048616126				
010149	1.0013512520				
010150	0.9956107800				
010157	0.9908408195				
010158	1.0031270815				
010164	0.9944062445				
010169	1.0146906223				
020001	1.0007386597				
020006	1.0136650463				
020008	1.0117033742				
020012	1.0176778703				
020017	1.0056531645				
020024	1.0012961876				
020026	1.0010070990				
030001	1.0021634531				
030002	0.9999058094				
030006	0.9920384719				
030007	1.0001398335				
030010	0.9943098817				
030011	0.9946884500				
030012	0.9925065200				
030013	0.9958310379				
030014	0.9932498904				
030016	1.0023699449				
030022	0.9890856392				
030023	1.0056325153				
030024	0.9968703800				
030030	0.9973384281				
030033	1.0131969982				
030036	0.9955694817				
030037	0.9917287342				
030038	0.9914327626				
030043	0.9958448041				
030055	0.9983640040				
030061	1.0054397897				
030062	1.0082343120				
030064	0.9977101133				
030065	1.0003394422				
030068	1.0122494303				
030069	1.0036914924				
030071	1.0160397020				
030073	1.0140401731				
030078	1.0216929886				
030083	0.9988182860				
030084	1.0177099912				
030085	0.9911574402				
030087	0.9975793352				
030088	1.0029205897				
030089	1.0001811318				
030092	0.9915153593				
030093	0.9996098379				
030094	0.9955488325				
030101	1.0045725241				
030103	1.0198460342				
030105	1.0068852323				
030110	1.0055774509				
030111	1.0044279798				
030114	1.0001398335				
030115	1.0055361525				
030117	1.0140642638				
030119	1.0012204739				
030121	0.9955488325				
030122	1.0011034619				
030123	1.0067888694				
030130	1.0120165535				
040001	0.9987425723				
040002	1.0050061569				
040004	0.9926717134				
040007	0.9895330381				
040010	1.0007524258				
040011	1.0213717791				
040014	1.0020395580				
040015	1.0029825372				
040016	0.9999126925				
040017	1.0076802257				
040019	1.0068852323				
040020	0.9949362401				
040022	0.9948605265				
040026	0.9915773069				
040027	0.9932154751				
040029	1.0021152717				
040036	0.9928782052				
040039	0.9963094106				
040041	0.9996580193				
040050	1.0028379930				
040051	1.0125706398				
040055	0.9917356173				
040062	0.9962027232				
040067	0.9988389351				
040069	1.0020670903				
040071	0.9919696413				
040072	1.0160878834				
040076	1.0077524978				
040078	0.9957071429				
040084	0.9908752348				
040085	1.0185933173				
040088	0.9995134750				
040114	0.9896706993				
040118	1.0023561788				
040119	1.0014544979				
040134	1.0158951578				
040137	0.9935389790				
040153	0.9963816827				
050002	0.9988389351				
050006	0.9981024477				
050007	1.0091497590				
050008	0.9982125767				
050009	0.9997887974				
050013	1.0008143734				
050014	1.0002361963				
050017	1.0031683799				
050018	0.9990798422				
050022	0.9942272850				
050025	0.9993895799				
050026	0.9948261112				
050030	1.0190751315				
050036	0.9910954927				
050038	0.9956383123				
050039	0.9983984193				
050040	1.0093493677				
050042	0.9995134750				
050043	0.9978271253				
050045	1.0055361525				
050047	1.0060317328				
050054	0.9939726117				
050055	1.0052952454				
050056	0.9903177069				
050057	0.9947435145				
050058	1.0010415143				
050060	0.9925340522				
050063	1.0003807406				
050067	1.0002361963				
050069	0.9955694817				
050070	1.0137269939				
050071	1.0090740453				
050072	1.0096246901				
050073	1.0133484256				
050075	0.9996786685				
050076	1.0079452235				
050077	0.9996304870				
050078	1.0013925504				
050082	1.0013719012				
050084	1.0018399493				
050089	0.9932498904				
050090	1.0022598159				
050091	1.0002361963				
050093	0.9903452391				
050099	0.9989077657				
050100	0.9972971297				
050101	0.9945989702				
050102	0.9947366314				
050103	1.0007937242				
050104	1.0009864499				
050107	1.0070022443				
050108	0.9975931013				
050110	1.0052711547				
050112	1.0056806968				
050113	0.9898290096				
050115	0.9966432390				
050116	0.9944957243				
050118	1.0020670903				
050121	0.9989215319				
050122	0.9983089395				
050124	0.9969116784				
050125	1.0028311099				
050126	1.0051094028				
050127	0.9987425723				
050128	0.9943649462				
050129	0.9936904063				
050131	1.0031270815				
050132	1.0051507011				
050133	0.9924239232				
050136	1.0023079974				
050137	1.0187103293				
050138	1.0024112433				
050139	1.0092943032				
050140	1.0041733066				
050145	1.0060867973				
050149	1.0021359209				
050150	1.0044761613				
050152	0.9984053024				
050153	0.9951702642				
050158	1.0055040315				
050159	0.9956383123				
050167	0.9948261112				
050168	0.9999815231				
050169	1.0065479623				
050174	0.9966294729				
050179	1.0010759296				
050180	1.0000297045				
050189	1.0121851884				
050191	0.9963954489				
050192	1.0143694128				
050194	0.9998507450				
050195	1.0072087361				
050197	1.0073670464				
050204	0.9967189527				
050211	0.9990075701				
050222	1.0052126487				
050224	1.0009795668				
050225	1.0109324715				
050226	1.0019500783				
050228	0.9967809002				
050230	1.0030307187				
050231	0.9925409353				
050232	1.0066443252				
050234	1.0119924627				
050235	0.9910128960				
050236	1.0008625548				
050238	1.0053984913				
050239	1.0019156630				
050242	0.9943167647				
050243	0.9907995211				
050245	0.9956314292				
050248	0.9932154751				
050261	0.9902144610				
050262	1.0088882027				
050272	1.0023217635				
050278	1.0006560630				
050279	1.0029825372				
050280	0.9911918555				
050281	1.0040425285				
050283	0.9993413985				
050289	0.9977789439				
050290	1.0044968104				
050291	1.0078970421				
050292	1.0006560630				
050295	0.9962440215				
050296	1.0065961437				
050298	1.0032234443				
050300	0.9995960717				
050301	1.0053434268				
050305	0.9909991298				
050308	1.0008350225				
050309	1.0028517591				
050313	1.0009589176				
050315	0.9918388632				
050320	0.9918388632				
050324	0.9994171122				
050327	0.9946953330				
050329	0.9959686991				
050334	0.9948467604				
050335	1.0072706836				
050336	1.0004839865				
050342	1.0017298203				
050348	0.9971250532				
050350	1.0032578596				
050351	1.0036364279				
050352	1.0162806091				
050353	1.0034161700				
050357	1.0038979842				
050359	0.9907203659				
050360	0.9972971297				
050367	0.9953010423				
050373	0.9998232127				
050376	0.9948467604				
050378	1.0003807406				
050380	0.9926510642				
050382	0.9982469920				
050390	0.9882665550				
050393	1.0001260674				
050394	0.9996511362				
050396	1.0056393984				
050407	1.0152045574				
050411	1.0106984475				
050414	1.0036088957				
050417	1.0070056858				
050424	1.0079934049				
050425	1.0082664330				
050426	0.9939726117				
050438	1.0035194159				
050441	1.0004771034				
050444	1.0028724083				
050454	1.0038979842				
050455	0.9972076499				
050457	1.0005252848				
050464	0.9933875516				
050468	1.0036570771				
050471	0.9997750313				
050481	0.9994652936				
050485	0.9967671341				
050488	0.9954593527				
050492	0.9934288500				
050496	1.0014407318				
050498	0.9958035057				
050502	1.0019707274				
050503	0.9999264586				
050506	0.9963954489				
050510	1.0104506573				
050512	1.0148833479				
050515	1.0121851884				
050516	1.0004702204				
050517	0.9962922030				
050523	1.0004564542				
050526	0.9969357691				
050528	1.0086679448				
050534	0.9940689746				
050537	1.0086197634				
050541	1.0052745962				
050549	0.9935458620				
050551	0.9959893483				
050557	1.0008832040				
050561	0.9983089395				
050567	1.0065066640				
050568	1.0020911810				
050570	0.9928850883				
050573	0.9980680324				
050580	1.0057288782				
050581	0.9922380806				
050586	1.0134379053				
050588	1.0047170684				
050589	0.9966948620				
050590	1.0039736979				
050597	1.0023079974				
050599	1.0028242269				
050603	0.9943236478				
050604	1.0042421372				
050608	1.0038016214				
050609	1.0150210091				
050616	1.0019707274				
050624	1.0027416301				
050625	1.0055223864				
050633	0.9966466805				
050636	0.9945852041				
050641	1.0022116345				
050674	1.0102303994				
